seq,latency_m2m_ns,callback_jitter,publish_jitter
38,8206000,199651000,257000
39,8631000,200426000,277000
40,8714000,200082000,269000
41,9443000,200730000,269000
42,9301000,199858000,253000
43,8819000,199518000,272000
44,8826000,200007000,268000
45,9001000,200174000,261000
46,8638000,199638000,269000
47,8785000,200147000,273000
48,8734000,199949000,257000
49,9223000,200489000,265000
50,9334000,200111000,249000
51,9189000,199854000,269000
52,9277000,200088000,257000
53,8437000,199161000,273000
54,8751000,200313000,260000
55,8806000,200056000,273000
56,9039000,200233000,264000
57,9189000,200149000,265000
58,9121000,199933000,265000
59,9131000,200009000,261000
60,9425000,200294000,253000
61,8732000,199308000,261000
62,9311000,200579000,257000
63,8995000,199683000,261000
64,9121000,200127000,264000
65,9348000,200227000,257000
66,9353000,200005000,261000
67,9353000,200000000,269000
68,9093000,199740000,272000
69,9308000,200215000,273000
70,8910000,199602000,265000
71,8915000,200004000,265000
72,9285000,200371000,261000
73,8788000,199503000,269000
74,9103000,200315000,261000
75,9307000,200204000,273000
76,9121000,199814000,257000
77,9117000,199995000,265000
78,9333000,200216000,261000
79,8926000,199594000,261000
80,8939000,200013000,257000
81,9238000,200298000,253000
82,9180000,199943000,261000
83,8998000,199817000,253000
84,8985000,199988000,261000
85,8675000,199689000,257000
86,9083000,200409000,253000
87,9298000,200215000,261000
88,9099000,199801000,261000
89,9247000,200147000,273000
90,9398000,200152000,261000
91,9202000,199804000,269000
92,9360000,200158000,257000
93,9139000,199779000,273000
94,8701000,199561000,253000
95,8906000,200206000,257000
96,8836000,199930000,264000
97,8770000,199933000,265000
98,8732000,199963000,261000
99,9212000,200480000,277000
100,8665000,199453000,256000
101,9323000,200658000,264000
102,9184000,199861000,252000
103,9117000,199933000,265000
104,9139000,200022000,260000
105,9281000,200142000,268000
106,8802000,199521000,252000
107,8697000,199895000,268000
108,8754000,200057000,264000
109,9333000,200578000,272000
110,9346000,200014000,252000
111,9378000,200031000,261000
112,9429000,200051000,252000
113,9164000,199735000,256000
114,8959000,199796000,260000
115,8693000,199734000,272000
116,9338000,200645000,260000
117,9345000,200006000,260000
118,9152000,199807000,252000
119,9090000,199939000,257000
120,9193000,200102000,252000
121,8688000,199495000,268000
122,9346000,200658000,256000
123,9194000,199848000,256000
124,9364000,200170000,256000
125,10125000,200762000,257000
126,10478000,200353000,256000
127,9323000,198845000,264000
128,9189000,199865000,264000
129,9332000,200144000,272000
130,8710000,199378000,264000
131,9293000,200583000,268000
132,9160000,199867000,264000
133,9108000,199947000,264000
134,8977000,199870000,252000
135,10027000,201049000,264000
136,9687000,199661000,256000
137,9294000,199607000,264000
138,9082000,199788000,264000
139,9095000,200013000,264000
140,9247000,200151000,252000
141,9334000,200087000,264000
142,9269000,199935000,256000
143,10327000,201058000,272000
144,9094000,198767000,260000
145,8947000,199854000,264000
146,10160000,201213000,256000
147,10217000,200056000,272000
148,10103000,199887000,268000
149,9333000,199230000,276000
150,9240000,199907000,252000
151,10056000,200815000,264000
152,10278000,200222000,260000
153,10354000,200076000,272000
