seq,rtt_h2m_ns
0,9826303
1,9733956
2,9646517
3,10100328
4,9846515
5,10043686
6,9498343
7,8629209
8,9886765
9,9894905
10,10025268
11,10219064
12,8987741
13,10234068
14,9598147
15,10091815
16,9704203
17,9762482
18,8900239
19,9974210
20,9228429
21,10404379
22,10115465
23,10074332
24,10205297
25,9808557
26,9369259
27,10133188
28,8929402
29,10287929
30,9222055
31,8716455
32,9086266
33,9880845
34,9767745
35,10100443
36,10004251
37,10088106
38,10053985
39,10068069
40,10152799
41,10133755
42,10091300
43,9374598
44,9951162
45,10043458
46,10178410
47,10056797
48,9839885
49,9978875
50,9982884
51,10093659
52,9902334
53,10010462
54,10034787
55,9988816
56,10114358
57,9923793
58,9661684
59,9787848
60,8451007
61,9838960
62,8681896
63,8819338
64,10129947
65,9973803
66,8852406
67,10127387
68,9403114
69,10024797
70,9417263
71,10064146
72,9652566
73,10064239
74,10033448
75,10111986
76,10068668
77,9838102
78,9238610
79,9510618
80,9984030
81,9256505
82,9284186
83,9264877
84,10098164
85,9890344
86,9274288
87,9696357
88,8716839
89,9380006
90,9242928
91,9285663
92,10095252
93,9298472
94,8914855
95,7673215
96,10215253
97,10043088
98,10115032
99,9183254
100,9190232
101,9045281
102,9290938
103,10109473
104,10042502
105,10103717
106,8848887
107,10282879
108,10010357
109,9409028
110,9513685
111,10272248
112,9716099
113,9314944
114,9096745
115,9287359
116,9200419
117,9248635
118,8465318
119,9993009
120,10131472
121,9322210
122,9832256
123,9460536
124,9764292
125,10219782
126,10018686
127,9608763
128,9269417
129,8855945
130,9582244
131,10007124
132,9962206
133,8808900
134,9939098
135,10154525
136,9982036
137,10027419
138,9217158
139,9931964
140,9257014
141,10029121
142,8987150
143,10123642
144,10030043
145,10006446
146,9444286
147,9557153
148,8677007
149,9920056
150,10004112
151,9708846
152,10053904
153,9945256
154,9911625
155,9989530
156,9938025
157,10277457
158,10070547
159,9946809
160,9983443
161,10048037
162,8942183
163,10126168
164,10036119
165,9195632
166,9917916
167,9274491
168,10013097
169,9962562
170,9988443
171,9310158
172,9944438
173,8574639
174,9750423
175,9284953
176,9890568
177,9978257
178,10010001
179,10069821
180,10028705
181,10008255
182,8883411
183,8766663
184,9727437
185,10031238
186,9232533
187,10029738
188,9622266
189,10044880
190,10001570
191,9685164
192,10039832
193,9263722
194,9575102
195,9269703
196,9906618
197,8807088
198,9251195
199,9988489
200,9952946
201,9873476
202,9998997
203,9468026
204,10085459
205,9130704
206,9246463
207,9697607
208,8812305
209,10048631
210,10012032
211,9696804
212,10035226
213,10166760
214,8973025
215,9226613
216,9992017
217,9674877
218,10045181
219,9857467
220,9584762
221,9962734
222,9320832
223,9955744
224,9787228
225,9122237
226,8837931
227,9971094
228,9929985
229,9907922
230,9875117
231,9574907
232,10021940
233,10036771
234,10094888
235,10107232
236,9960489
237,9889933
238,10235167
239,9916975
240,9996455
241,9750379
242,10130395
243,9982095
244,9252669
245,9758308
246,10160551
247,9945394
248,10056032
249,9994473
250,10000787
251,9462990
252,9700922
253,8703848
254,9554875
255,10130088
256,9978179
257,9353732
258,9867848
259,9269923
260,10189613
261,9949671
262,8839160
263,9699201
264,9991049
265,10063519
266,9231927
267,9424608
268,8754833
269,9973970
270,9760941
271,10068415
272,10047932
273,9965280
274,9630851
275,8868956
276,9711428
277,9946673
278,9995972
279,9659568
280,9968870
281,9968217
282,9959837
283,9838129
284,9043287
285,9481540
286,9144809
287,10271310
288,9272341
289,9470367
290,9974839
291,10072522
292,9704202
293,9919834
294,10131193
295,9835539
296,10101700
297,10075117
298,9101849
299,9892949
300,10113365
301,9994615
302,8633297
303,10090932
304,10066685
305,10092877
306,9096771
307,10100566
308,10079479
309,10046329
310,10065832
311,10086629
312,10031001
313,9912233
314,9691320
315,10091372
316,9997132
317,10124015
318,9627040
319,9883521
320,10098671
321,10004668
322,10053412
323,10071727
324,10099709
325,10017502
326,9206074
327,10095281
328,8805656
329,9739449
330,9980608
331,9937611
332,9970672
333,9371316
334,10001742
335,9751262
336,10053965
337,9111681
338,10100616
339,9098382
340,9451048
341,9861012
342,9613752
343,10282394
344,9964485
345,10051006
346,9944095
347,9659781
348,9975889
349,10142032
350,9413294
351,9269729
352,9107365
353,10030372
354,9756232
355,9317934
356,9505952
357,10128670
358,9980938
359,8857610
360,9280868
361,10064110
362,9288649
363,9905682
364,10201914
365,9113576
366,9045118
367,9163396
368,9969273
369,10036157
370,9110002
371,9188641
372,9287335
373,9156252
374,9441357
375,9895322
376,9058705
377,9640434
378,9187613
379,9789257
380,9113466
381,9884641
382,9718473
383,9199125
384,9106363
385,8945592
386,8851139
387,9942365
388,8708608
389,9978213
390,9214967
391,9299085
392,10115356
393,9984149
394,10196584
395,10114721
396,9259821
397,10075529
398,9253111
399,9887962
400,9219470
401,9042820
402,9913405
403,9171759
404,9598566
405,9153409
406,9185035
407,10045932
408,9731918
409,9147926
410,9176750
411,9998308
412,9692796
413,9507153
414,9989968
415,9890877
416,9856498
417,9154311
418,8934695
419,8715379
420,9335521
421,8898825
422,8924141
423,9136480
424,9391395
425,9283157
426,9201377
427,10059169
428,10185967
429,10073810
430,10113165
431,8852848
432,9713937
433,9759085
434,8902334
435,9211438
436,9150627
437,9652513
438,9969708
439,9571951
440,10154084
441,9961553
442,9921512
443,9586543
444,10083315
445,9831965
446,9264560
447,9885294
448,8714347
449,9640704
450,8903895
451,10128462
452,10215140
453,9626666
454,10108011
455,9880382
456,10092712
457,9595276
458,9482751
459,9441935
460,10236984
461,9860915
462,9580053
463,9431911
464,9979157
465,9787255
466,9225544
467,9592337
468,9992803
469,9976983
470,9945612
471,9987417
472,8907873
473,9183646
474,9876814
475,10003406
476,9972995
477,9614277
478,10102600
479,9429128
480,9236148
481,9904147
482,8631179
483,9607917
484,9591379
485,9152201
486,9111472
487,9126777
488,9413707
489,10022261
490,8948374
491,9588356
492,10117496
493,9110028
494,8949499
495,9837450
496,9175497
497,9090448
498,10121987
499,8665479
500,9670745
501,10012396
502,10035607
503,9999781
504,10008449
505,9094975
506,9124747
507,8982797
508,8691607
509,10011065
510,10061846
511,9958893
512,9050066
513,9320021
514,10021324
515,9210379
516,10448969
517,9004775
518,10033189
519,10019679
520,10068396
521,10122103
522,9244595
523,9739296
524,10031439
525,10025114
526,9795249
527,9626867
528,10120224
529,10091955
530,9069289
531,9222952
532,9752329
533,10041972
534,10090347
535,9847262
536,9000662
537,9549815
538,9809442
539,8726244
540,8813190
541,9787347
542,9903994
543,9838893
544,10235848
545,9831139
546,9780304
547,9900945
548,9393202
549,9832587
550,8985613
551,9837999
552,9791357
553,9021797
554,9558455
555,9598840
556,8945935
557,9921031
558,8847804
559,8975036
560,8990202
561,9817625
562,9233637
563,9825200
564,8436023
565,9741447
566,9853905
567,9905730
568,9362603
569,9849204
570,9512092
571,8802731
572,9235652
573,9049467
574,9897420
575,9863848
576,9881486
577,9869048
578,8688037
579,9499092
580,9870400
581,8882485
582,9854597
583,9888660
584,9807450
585,9972440
586,10433127
587,9610120
588,9506751
589,9641121
590,9561321
591,9787491
592,9983134
593,10073159
594,9245490
595,8832095
596,9676001
597,9490420
598,9426127
599,9696853
600,9338255
601,9953699
602,9953980
603,9590460
604,9648519
605,9989223
606,9179602
607,9522833
608,8727296
609,9864444
610,9858313
611,9849580
612,9921743
613,9113620
614,9950667
615,9943751
616,9518805
617,9895298
618,9643170
619,9571697
620,9374901
621,9017690
622,9217800
623,10047572
624,8887369
625,8903148
626,9492909
627,9198379
628,8361446
629,9411986
630,9668559
631,9137351
632,9767580
633,9172455
634,9934181
635,9898557
636,9794834
637,10124376
638,9969371
639,9828213
640,9081610
641,9086036
642,9857375
643,9041816
644,9785937
645,9109675
646,9924339
647,10033285
648,9903149
649,9148737
650,9804736
651,9106625
652,9804635
653,10013279
654,9455032
655,9375196
656,9844923
657,9105905
658,9040368
659,8785574
660,9162813
661,9077899
662,9745769
663,8723909
664,10078369
665,9180067
666,8873983
667,9228676
668,9311796
669,9215466
670,9983932
671,9248855
672,9507039
673,9411090
674,9854977
675,9190834
676,9951318
677,9250453
678,9376844
679,8543280
680,9579041
681,9217958
682,10050365
683,9802743
684,9578445
685,9787338
686,9033673
687,10018892
688,9496784
689,9667798
690,9897597
691,10026136
692,9527939
693,10059291
694,9102401
695,10062702
696,9211105
697,9622165
698,9669984
699,9096247
700,9624225
701,9635519
702,9642337
703,10011491
704,9484766
705,10176449
706,9845918
707,9447269
708,10027639
709,9664353
710,9909139
711,9954952
712,9522682
713,9979085
714,9715864
715,9738517
716,9935049
717,9545289
718,9882171
719,9807982
720,9868696
721,9055605
722,9823593
723,8902767
724,8956594
725,10067542
726,10013376
727,9920002
728,8916760
729,9694206
730,9996464
731,9905037
732,9967095
733,9802481
734,9112213
735,9674361
736,9763518
737,9712088
738,8797011
739,9927064
740,9105454
741,9843967
742,10104873
743,9981307
744,9222414
745,9890278
