seq,latency_m2m_ns,callback_jitter,publish_jitter
38,12657000,200076000,10051000
39,12576000,199920000,10621000
40,12576000,199999000,10273000
41,12577000,200001000,10790000
42,12577000,200000000,10164000
43,12661000,200084000,10444000
44,12572000,199912000,10670000
45,12576000,200004000,10327000
46,12572000,199996000,10140000
47,12580000,200008000,10422000
48,12657000,200076000,10788000
49,12569000,199912000,10170000
50,12573000,200005000,10051000
51,12572000,199999000,10192000
52,12573000,200000000,10268000
53,12656000,200083000,10005000
54,12565000,199909000,10228000
55,12580000,200016000,10654000
56,12569000,199988000,10380000
57,12589000,200020000,10812000
58,12657000,200069000,10553000
59,12573000,199915000,10570000
60,12572000,200000000,10646000
61,12572000,200000000,10169000
62,12561000,199988000,10314000
63,12656000,200095000,10678000
64,12573000,199917000,10340000
65,12580000,200008000,10351000
66,12586000,200006000,10147000
67,12577000,199991000,10434000
68,12653000,200076000,10453000
69,12577000,199923000,10251000
70,12581000,200004000,10331000
71,12577000,199996000,10334000
72,12576000,200000000,10206000
73,12657000,200080000,10377000
74,12577000,199920000,10513000
75,12576000,200000000,10316000
76,12579000,200003000,10129000
77,12565000,199985000,10268000
78,12653000,200089000,10348000
79,12583000,199929000,10355000
80,12576000,199994000,10288000
81,12649000,200073000,10381000
82,12573000,199923000,10383000
83,12657000,200085000,10607000
84,12577000,199919000,10336000
85,12557000,199980000,10485000
86,12580000,200024000,10583000
87,12584000,200004000,10368000
88,12665000,200080000,10452000
89,12596000,199932000,10325000
90,12572000,199976000,10470000
91,12577000,200004000,10081000
92,12590000,200014000,10222000
93,12653000,200062000,10302000
94,12561000,199908000,10513000
95,12561000,200000000,10181000
96,12573000,200012000,10555000
97,12572000,200000000,10345000
98,12645000,200073000,10422000
99,12580000,199935000,10372000
100,12573000,199992000,10369000
101,12564000,199992000,10453000
102,12572000,200008000,10452000
103,12654000,200081000,10467000
104,12581000,199927000,10620000
105,12575000,199994000,10362000
106,12577000,200003000,10160000
107,12577000,200000000,10375000
108,12657000,200080000,10534000
109,12564000,199907000,10397000
110,12560000,199996000,10403000
111,12564000,200004000,10565000
112,12568000,200004000,10087000
113,12630000,200061000,10440000
114,12573000,199944000,10385000
115,12668000,200094000,10400000
116,12649000,199982000,10692000
117,12576000,199927000,10352000
118,12664000,200087000,10359000
119,12577000,199914000,10374000
120,12581000,200004000,10172000
121,12564000,199983000,10120000
122,12573000,200009000,10467000
123,12653000,200080000,10209000
124,12577000,199923000,10485000
125,12581000,200004000,10439000
126,12580000,200000000,10586000
127,12568000,199988000,10383000
128,12659000,200091000,10390000
129,12573000,199913000,10552000
130,12589000,200016000,10342000
131,12587000,199999000,10496000
132,12569000,199982000,10363000
133,12653000,200084000,10382000
134,12572000,199919000,10539000
135,12576000,200004000,10408000
136,12581000,200005000,10147000
137,12565000,199984000,10491000
138,12653000,200088000,10578000
139,12577000,199923000,10447000
140,12573000,199997000,10450000
141,12584000,200011000,10404000
142,12573000,199988000,10471000
143,12657000,200085000,10636000
