seq,latency_m2m_ns,callback_jitter,publish_jitter
347,31553000,20948000,10178000
348,33246000,22700000,11888000
349,33485000,21230000,10108000
350,31577000,21102000,10212000
351,32576000,21991000,10198000
352,32651000,22083000,10286000
353,32592000,21934000,10213000
354,32785000,22200000,10425000
355,32589000,21796000,10200000
356,32643000,22070000,10284000
357,34388000,23730000,12014000
358,34589000,22208000,10216000
359,32730000,22140000,10355000
360,32589000,21860000,10218000
361,32666000,22075000,10293000
362,32589000,21925000,10226000
363,32523000,21924000,10146000
364,32672000,22159000,10305000
365,32597000,21917000,10222000
366,34324000,23727000,11956000
367,33713000,21389000,10334000
368,32627000,21922000,10254000
369,32630000,22004000,10259000
370,32627000,21996000,10262000
371,32704000,22070000,10328000
372,32769000,22072000,10413000
373,32766000,21990000,10396000
374,32695000,21936000,10331000
375,34428000,23725000,12057000
376,34705000,22285000,10336000
377,32781000,22076000,10418000
378,32705000,21924000,10338000
379,32707000,22000000,10335000
380,32705000,22000000,10342000
381,32713000,22000000,10335000
382,32701000,21996000,10342000
383,32721000,22012000,10344000
384,34439000,23726000,12083000
385,34729000,22282000,10355000
386,32581000,21860000,10223000
387,32791000,22200000,10418000
388,32709000,21928000,10349000
389,32588000,21872000,10211000
390,32581000,22000000,10218000
391,32722000,22132000,10346000
392,32705000,21992000,10347000
393,34396000,23681000,12023000
394,34660000,22274000,10292000
395,32656000,21996000,10288000
396,32734000,22078000,10372000
397,32734000,21991000,10364000
398,32667000,21935000,10298000
399,32668000,22000000,10291000
400,32794000,22134000,10438000
401,32671000,21870000,10287000
402,34458000,23801000,12109000
403,34690000,22216000,10311000
404,32681000,22000000,10321000
405,32693000,22001000,10311000
406,32746000,22064000,10383000
407,32754000,22000000,10376000
408,32602000,21856000,10235000
409,32604000,22000000,10232000
410,32738000,22135000,10378000
411,34484000,23738000,12112000
412,34623000,22148000,10252000
413,32689000,22066000,10324000
414,32697000,21999000,10324000
415,32700000,22004000,10321000
416,32692000,22000000,10328000
417,32696000,21996000,10317000
418,32894000,22206000,10538000
419,32703000,21801000,10316000
420,34417000,23730000,12069000
421,34704000,22271000,10332000
422,32708000,22005000,10339000
423,32631000,21922000,10255000
424,32695000,22072000,10331000
425,32776000,22074000,10406000
426,32697000,21928000,10326000
427,32623000,21926000,10255000
428,32686000,22063000,10322000
429,34423000,23729000,12059000
430,34717000,22294000,10340000
431,32709000,22000000,10339000
432,32709000,22000000,10346000
433,32647000,21930000,10269000
434,32639000,22000000,10279000
435,32719000,22070000,10342000
436,32701000,21992000,10341000
437,32789000,22080000,10418000
438,34443000,23661000,12086000
439,34722000,22271000,10346000
440,32714000,22000000,10353000
441,32722000,22000000,10346000
442,32853000,22140000,10493000
443,32717000,21856000,10341000
444,32714000,22004000,10355000
445,32719000,21996000,10341000
446,32790000,22081000,10430000
447,34527000,23728000,12158000
448,34680000,22154000,10299000
449,32742000,22069000,10369000
450,32933000,22192000,10573000
451,32749000,21808000,10367000
452,32589000,21848000,10224000
453,32610000,22013000,10229000
454,32664000,22062000,10297000
455,32668000,21996000,10286000
456,34602000,23942000,12235000
457,34754000,22144000,10372000
458,32676000,21930000,10312000
459,32674000,21988000,10293000
460,32741000,22074000,10374000
461,32679000,21934000,10301000
462,32734000,22062000,10370000
463,32668000,21926000,10292000
464,32663000,22000000,10296000
465,32749000,22082000,10370000
466,32598000,21855000,10223000
467,32598000,22000000,10223000
468,32598000,22000000,10237000
469,32604000,21996000,10223000
470,32594000,22000000,10229000
471,32609000,22009000,10234000
472,32596000,21987000,10225000
473,32601000,22004000,10226000
474,32585000,21992000,10225000
475,32596000,22004000,10221000
476,32594000,22004000,10232000
477,32597000,21996000,10221000
478,32585000,21996000,10224000
479,32592000,22000000,10217000
480,32589000,22004000,10227000
481,32675000,22079000,10297000
482,32585000,21917000,10223000
483,32518000,21924000,10146000
484,31476000,20967000,10113000
485,32537000,22061000,10177000
486,32691000,22151000,10324000
487,32691000,21996000,10313000
488,32684000,22000000,10319000
489,32625000,21934000,10251000
490,32627000,22009000,10267000
491,31502000,20868000,10132000
492,31594000,21098000,10236000
493,34702000,24099000,11041000
494,33412000,21998000,10326000
495,32702000,22004000,10323000
496,32614000,21920000,10253000
497,32701000,22079000,10322000
498,32627000,21934000,10264000
499,32698000,22063000,10318000
500,32614000,21924000,10251000
501,32696000,22075000,10318000
502,34686000,23996000,11049000
503,33357000,21938000,10253000
504,32635000,22012000,10271000
505,32638000,21996000,10260000
506,32627000,21996000,10263000
507,32700000,22066000,10321000
508,32623000,21930000,10263000
509,32709000,22078000,10334000
510,32692000,21991000,10328000
511,35821000,25122000,11173000
512,33415000,21875000,10317000
513,32627000,21934000,10251000
514,32948000,22329000,10584000
515,32688000,21735000,10308000
516,32679000,21995000,10319000
517,32622000,21928000,10242000
518,32690000,22076000,10322000
519,32693000,21996000,10311000
520,35870000,25183000,11217000
521,33597000,22012000,10511000
522,32660000,21783000,10290000
523,32734000,22070000,10356000
524,32660000,21934000,10297000
525,32660000,21992000,10286000
526,32726000,22069000,10362000
527,32672000,21939000,10297000
528,32659000,21992000,10292000
529,34680000,24016000,11039000
530,33409000,22000000,10308000
531,32683000,22004000,10309000
532,32672000,21996000,10312000
533,32675000,21996000,10301000
534,32685000,22017000,10321000
