seq,latency_h2h_ns
0,889155
1,1208904
2,776110
3,1118890
4,756504
5,1034527
6,855022
7,793011
8,1022561
9,1030815
10,1054125
11,786049
12,734960
13,970864
14,980477
15,777079
16,842895
17,1053832
18,1104187
19,1173309
20,1149617
21,860915
22,1119622
23,1055313
24,1167891
25,924901
26,927239
27,919591
28,1140953
29,1042728
30,828378
31,740869
32,902195
33,1080285
34,1045863
35,1111907
36,1045262
37,1140785
38,928856
39,1211243
40,1005538
41,1071165
42,759069
43,900523
44,1192099
45,794300
46,1141107
47,1092543
48,1130512
49,1214370
50,1100191
51,1028576
52,1015569
53,1099300
54,1159242
55,1008153
56,771085
57,853474
58,1037941
59,1085487
60,1071722
61,1062849
62,1022978
63,1023191
64,932593
65,1161966
66,1081539
67,925693
68,1046328
69,1121269
70,1142578
71,991185
72,1102650
73,838586
74,1112952
75,1101648
76,1140347
77,1125530
78,895838
79,1045561
80,1139060
81,1144505
82,854463
83,1170159
84,1113180
85,1155245
86,1176176
87,1111828
88,1188971
89,1171917
90,1147157
91,1047586
92,870747
93,1052850
94,1106273
95,767218
96,872410
97,1060651
98,900824
99,1382543
100,997313
101,1152812
102,859493
103,1128572
104,1155279
105,1100358
106,1105636
107,953255
108,1097757
109,1058657
110,1111828
111,1124924
112,847838
113,1152882
114,1079757
115,1035927
116,1054668
117,1036685
118,1161800
119,1187820
120,1039987
121,1041629
122,1131044
123,1019266
124,1087126
125,1122303
126,1154804
127,1101765
128,1066205
129,809993
130,1038738
131,1130702
132,750473
133,1096878
134,1042923
135,856611
136,792594
137,1105767
138,741752
139,1170579
140,1144958
141,1078866
142,1027396
143,1132309
144,1045385
145,861880
146,940279
147,1136615
148,1052629
149,1228591
150,1145700
151,1033199
152,923257
153,838709
154,1124151
155,841393
156,891856
157,903196
158,1055177
159,1211593
160,1068854
161,1061065
162,1003287
163,866899
164,1142832
165,1109706
166,1108011
167,1119296
168,1057367
169,1245775
170,1144442
171,1106000
172,1121711
173,1057399
174,1154472
175,811717
176,946584
177,1027477
178,1150558
179,1188369
180,1139986
181,1116855
182,903417
183,1165251
184,945391
185,1063365
186,1134615
187,918403
188,1104574
189,1025820
190,955844
191,1128009
192,1105855
193,958219
194,1138586
195,1107465
196,1102333
197,895490
198,1106383
199,1311345
200,1103245
201,971562
202,1028481
203,964006
204,1156294
205,895561
206,935850
207,1071648
208,933692
209,904395
210,1110079
211,1037837
212,1039479
213,988645
214,1063154
215,969638
216,1139072
217,1043771
218,1113721
219,1180562
220,824995
221,1184101
222,1046433
223,884978
224,1089542
225,1123772
226,908814
227,1164443
228,1203165
229,1157065
230,1204436
231,1101890
232,1020696
233,815395
234,886200
235,848031
236,1168659
237,995864
238,1103706
239,1114968
240,795193
241,854092
242,1049951
243,1130388
244,1091244
245,1116123
246,1028303
247,1051912
248,1089833
249,1111433
250,1047618
251,1109539
252,1085879
253,991035
254,940030
255,1041544
256,1003726
257,1027501
258,950945
259,1030875
260,1103155
261,1113183
262,1096243
263,982693
264,1135087
265,1109090
266,1120465
267,1140567
268,949007
269,1177839
270,928338
271,1174513
272,1058096
273,1088808
274,1112941
275,1035958
276,1157065
277,1105220
278,983747
279,1195792
280,984365
281,1136445
282,1094843
283,1138330
284,1208000
285,1161164
286,1029727
287,1112137
288,1146704
289,1020999
290,1162266
291,1092048
292,1104564
293,1130335
294,1168313
295,739806
296,1119861
297,1142309
298,1055040
299,1457218
300,1102777
301,1123379
302,1146264
303,922379
304,1029746
305,1062780
306,1206444
307,1028620
308,1144373
309,1235815
310,1139408
311,1054948
312,1088535
313,993873
314,934355
315,1097914
316,1137338
317,1078048
318,1059908
319,1081136
320,1046890
321,923369
322,980739
323,1134373
324,1138687
325,1136870
326,1134000
327,952814
328,965258
329,1176072
330,1148630
331,930348
332,1072585
333,971880
334,1115750
335,1065582
336,1091837
337,1003355
338,1141834
339,1149168
340,794134
341,1072133
342,907444
343,1003291
344,1134415
345,1096191
346,1165881
347,1066157
348,913945
349,1264087
350,968011
351,916097
352,1105905
353,917667
354,805821
355,1111380
356,1069795
357,955781
358,1102105
359,1201139
360,1140477
361,1125168
362,1076904
363,1177959
364,1040745
365,1144608
366,847705
367,921417
368,1047484
369,1221367
370,1151116
371,1103793
372,1236519
373,1059830
374,1197055
375,771369
376,869947
377,877672
378,1155525
379,1063461
380,1089738
381,1071269
382,947006
383,740551
384,1153658
385,955438
386,1144094
387,882753
388,1121704
389,1211798
390,1149123
391,1125524
392,945003
393,907893
394,1173258
395,867172
396,1115151
397,1114604
398,1157982
399,1349577
400,1106292
401,1111076
402,1131040
403,1161830
404,1190278
405,1104487
406,1061120
407,1023977
408,946790
409,1213640
410,1103973
411,1127970
412,1149757
413,1081172
414,976148
415,793029
416,1001328
417,950486
418,1154442
419,1261311
420,1045499
421,1112817
422,1122842
423,1157508
424,1044891
425,1166751
426,1127220
427,1138751
428,1128041
429,1177006
430,1111811
431,1108948
432,1132094
433,797762
434,1129967
435,1040968
436,1093575
437,1203620
438,1145751
439,1104251
440,1145127
441,1163331
442,1139780
443,1106947
444,944078
445,887623
446,1141474
447,1091036
448,1144513
449,1094723
450,1138545
451,1188511
452,831934
453,729110
454,919078
455,963140
456,1059232
457,858536
458,1122487
459,1231570
460,1136984
461,1110118
462,1109341
463,987788
464,1064858
465,1060655
466,941774
467,918521
468,1136425
469,1265439
470,1069722
471,1141606
472,1083834
473,708094
474,1185312
475,1121991
476,1106305
477,1194310
478,833033
479,1069092
480,1128032
481,1070482
482,1088601
483,1145592
484,1000450
485,1174470
486,1108508
487,840380
488,1102592
489,1194106
490,993796
491,1146683
492,1111971
493,826924
494,1112244
495,737704
496,1057024
497,1009092
498,1046055
499,1364429
500,982113
501,1113827
502,1121721
503,1196429
504,1132413
505,1113719
506,1163517
507,1153905
508,1121586
509,1073957
510,944505
511,781004
512,1097351
513,831855
514,1065692
515,943315
516,1120895
517,1098439
518,1149541
519,1221100
520,876887
521,1137366
522,1029199
523,1010209
524,1090829
525,1008058
526,1117605
527,1083757
528,1093584
529,992952
530,1026079
531,1104089
532,1080268
533,1124558
534,1149032
535,1121347
536,980553
537,1021676
538,1100780
539,1188320
540,1039062
541,1052183
542,1126367
543,1056227
544,1032948
545,913854
546,998585
547,1094757
548,1152009
549,1240945
550,1035965
551,1150814
552,887774
553,1095233
554,1150792
555,1075740
556,1024620
557,1163190
558,1098141
559,1232445
560,1157915
561,1053130
562,1094183
