seq,rtt_m2h_ns
768,154090000
769,165993000
770,178066000
771,190066000
779,99669000
780,98804000
781,97857000
782,97975000
783,97781000
784,98915000
785,97806000
786,96783000
787,95747000
788,94779000
789,94650000
790,95741000
791,97814000
792,98792000
793,97709000
794,98759000
795,98701000
796,98762000
797,101725000
798,100804000
799,98674000
800,96715000
801,93429000
802,91804000
803,91941000
804,93635000
805,93785000
806,97508000
807,97608000
808,97761000
809,97747000
810,96775000
811,93725000
812,93725000
813,92772000
814,94705000
815,94755000
816,94733000
817,93604000
818,92755000
819,91747000
820,93381000
821,94708000
822,96715000
823,96747000
824,98787000
825,100624000
826,100808000
827,100961000
828,101799000
829,100853000
830,97779000
831,96777000
832,94812000
833,93847000
834,94779000
835,93983000
836,96485000
837,96839000
838,97750000
839,97869000
840,98779000
841,98797000
842,97808000
843,96866000
844,97771000
845,96935000
846,96032000
847,95793000
848,96910000
849,95899000
850,96804000
851,97950000
852,97836000
853,99592000
854,99800000
855,98850000
856,98768000
857,99768000
858,97767000
859,97797000
860,97816000
861,96868000
862,95804000
863,94781000
864,95776000
865,95875000
866,96787000
867,98806000
868,97822000
869,96789000
870,96741000
871,96818000
872,95845000
873,95810000
874,96791000
875,96905000
876,95791000
877,95814000
878,96812000
879,95935000
880,96854000
881,99521000
882,100783000
883,100797000
884,101783000
885,100896000
886,98808000
887,97785000
888,96804000
889,95764000
890,95791000
891,95826000
892,95755000
893,96903000
894,96867000
895,96883000
896,96902000
897,96841000
898,97044000
899,98110000
900,98768000
901,98773000
902,98775000
903,98786000
904,98442000
905,99923000
906,99988000
907,99855000
908,99916000
909,99794000
910,99690000
911,98739000
912,98741000
913,98794000
914,98814000
915,98764000
916,98754000
917,97743000
918,97715000
919,96768000
920,97750000
921,97764000
922,98821000
923,97797000
924,98781000
925,98793000
926,98711000
927,99555000
928,98660000
929,98751000
930,97832000
931,97773000
932,97852000
933,97797000
934,98800000
935,96729000
936,95737000
937,94708000
938,94733000
939,93733000
940,95711000
941,94764000
942,96673000
943,95691000
944,95622000
945,95725000
946,95598000
947,96729000
948,97741000
949,96860000
950,97707000
951,97712000
952,98779000
953,98777000
954,99767000
955,101738000
956,101732000
957,100764000
958,100750000
959,100691000
960,97622000
961,95721000
962,95651000
963,93789000
964,93678000
965,95717000
966,97641000
967,98588000
968,100632000
969,98670000
970,97699000
971,96738000
972,95598000
973,95725000
974,95652000
975,94705000
976,96553000
977,95729000
978,96690000
979,95651000
980,95656000
981,95711000
982,95724000
983,95682000
984,95639000
985,95827000
986,95691000
987,94670000
988,95682000
989,94651000
990,96715000
991,96682000
992,96759000
993,96810000
994,96666000
995,96842000
996,98032000
997,99188000
998,99094000
999,98180000
1000,98213000
1001,98236000
1002,99977000
1003,101582000
1004,100989000
1005,100084000
1006,98973000
1007,95930000
1008,95948000
1009,95999000
1010,96081000
1011,96053000
1012,95992000
1013,96046000
1014,96955000
1015,98029000
1016,99049000
1017,98988000
1018,97941000
1019,97055000
1020,96973000
1021,97071000
1022,97040000
1023,96936000
1024,95939000
1025,95989000
1026,95942000
1027,95976000
1028,95990000
1029,96040000
1030,95973000
1031,95946000
1032,95969000
1033,95039000
1034,94002000
1035,95016000
1036,94985000
1037,95729000
1038,96608000
1039,95922000
1040,96070000
1041,95988000
1042,95928000
1043,95958000
1044,96061000
1045,96094000
1046,96039000
1047,96086000
1048,96184000
1049,96056000
1050,95947000
1051,96055000
1052,96065000
1053,95979000
1054,97031000
1055,97074000
1056,98052000
1057,97957000
1058,97043000
1059,97221000
1060,96038000
1061,96004000
1062,97054000
1063,97028000
1064,97037000
1065,97075000
1066,96032000
1067,96010000
1068,96087000
1069,96053000
1070,96092000
1071,95985000
1072,96054000
1073,96117000
1074,96135000
1075,96087000
1076,95969000
1077,97051000
1078,96992000
1079,97039000
1080,96979000
1081,96026000
1082,96108000
1083,97063000
1084,98047000
1085,97939000
1086,98925000
1087,99781000
1088,98986000
1089,99039000
1090,97999000
1091,98169000
1092,96037000
1093,96082000
1094,96098000
1095,96061000
1096,96014000
1097,98913000
1098,98917000
1099,100017000
1100,100082000
1101,97784000
1102,98038000
1103,97019000
1104,97032000
1105,98045000
1106,97000000
1107,97094000
1108,97039000
1109,96093000
1110,95955000
1111,97105000
1112,97973000
1113,98076000
1114,98002000
1115,96990000
1116,96014000
1117,95983000
1118,96056000
1119,95980000
1120,95987000
1121,96016000
1122,95989000
1123,96080000
1124,95949000
1125,97042000
1126,96919000
1127,96887000
1128,96913000
1129,95949000
1130,95955000
1131,95886000
1132,95883000
1133,95929000
1134,95942000
1135,95987000
1136,95989000
1137,95898000
1138,95934000
1139,95895000
1140,95896000
1141,95940000
1142,95901000
1143,95925000
1144,95878000
1145,95983000
1146,95858000
1147,95910000
1148,95911000
1149,95887000
1150,95917000
1151,95960000
1152,95950000
1153,95925000
1154,95954000
1155,95917000
1156,95865000
1157,95921000
1158,95927000
1159,95899000
1160,95930000
1161,95953000
1162,95896000
1163,96013000
1164,95895000
1165,95925000
1166,95870000
1167,95924000
1168,95908000
1169,95903000
1170,95866000
1171,95894000
1172,95900000
1173,95952000
1174,95896000
1175,95933000
1176,95882000
1177,95929000
1178,95928000
1179,95904000
1180,95911000
1181,95950000
1182,95906000
1183,95886000
1184,95892000
1185,95921000
1186,95887000
1187,96070000
1188,95929000
1189,95913000
1190,95920000
1191,95887000
1192,95976000
1193,96014000
1194,95956000
1195,95993000
1196,95960000
1197,95989000
1198,95937000
1199,95990000
1200,95995000
1201,95967000
1202,95985000
1203,96023000
1204,96036000
1205,95932000
1206,96036000
1207,95985000
1208,96075000
1209,96053000
1210,95995000
1211,98051000
1212,98072000
1213,99067000
1214,100045000
1215,98039000
1216,98044000
1217,97086000
1218,96109000
1219,97332000
1220,98096000
1221,99066000
1222,100103000
1223,100054000
1224,99067000
1225,99076000
1226,99127000
1227,99162000
1228,100071000
1229,100067000
1230,100118000
1231,99046000
1232,98042000
1233,97086000
1234,97150000
1235,98220000
1236,99078000
1237,100155000
1238,100779000
1239,100017000
1240,100154000
1241,100085000
1242,101136000
1243,100146000
1244,100006000
1245,100224000
1246,100143000
1247,101903000
1248,101045000
1249,101056000
1250,100015000
1251,99054000
1252,98089000
1253,98275000
1254,97988000
1255,99131000
1256,99116000
1257,98188000
1258,99166000
1259,99024000
1260,99096000
1261,100180000
1262,99030000
1263,98091000
1264,98077000
1265,97043000
1266,98097000
1267,99115000
1268,99107000
1269,100185000
1270,100036000
1271,100185000
1272,99139000
1273,98184000
1274,97118000
1275,97187000
1276,97074000
1277,98080000
1278,98090000
1279,97071000
1280,98132000
1281,98136000
1282,99217000
1283,100301000
1284,100754000
1285,100058000
1286,99088000
1287,98056000
1288,97983000
1289,96199000
1290,95094000
1291,96100000
1292,96045000
1293,97063000
1294,100783000
1295,101067000
1296,101039000
1297,101107000
1298,99816000
1299,97026000
1300,97104000
1301,97114000
1302,97108000
1303,97742000
1304,98990000
1305,99076000
1306,98028000
1307,99032000
1308,99049000
1309,98063000
1310,97997000
1311,98174000
1312,98847000
1313,99014000
1314,100141000
1315,99057000
1316,100044000
1317,99110000
1318,97999000
1319,99081000
1320,98986000
1321,97906000
1322,97985000
1323,98063000
1324,98118000
1325,98169000
1326,98051000
1327,98123000
1328,97076000
1329,97110000
1330,98092000
1331,99994000
1332,100129000
1333,100097000
1334,99115000
1335,96821000
1336,96042000
1337,96063000
1338,96101000
1339,97256000
1340,97049000
1341,98140000
1342,98138000
1343,98163000
1344,99086000
1345,99094000
1346,99043000
1347,98076000
1348,97250000
1349,98923000
1350,100032000
1351,101125000
1352,102035000
1353,102049000
1354,100041000
1355,100045000
1356,99053000
1357,99148000
1358,98089000
1359,97055000
1360,98041000
1361,98073000
1362,99116000
1363,99081000
1364,97980000
1365,98053000
1366,98036000
1367,99120000
1368,102050000
1369,102063000
1370,101985000
1371,101092000
1372,99721000
1373,98120000
1374,98109000
1375,98074000
1376,98064000
1377,97980000
1378,98036000
1379,98131000
1380,97024000
1381,98085000
1382,98020000
1383,99163000
1384,99030000
1385,99112000
1386,99816000
1387,100165000
1388,101139000
1389,101083000
1390,102147000
1391,100164000
1392,99182000
1393,99059000
1394,98060000
1395,99739000
1396,101076000
1397,100057000
1398,101096000
1399,99044000
1400,97104000
1401,98108000
1402,95948000
1403,96779000
1404,95174000
1405,95022000
1406,94705000
1407,96098000
1408,97743000
1409,98025000
1410,99689000
1411,99258000
1412,99039000
1413,99117000
1414,99095000
1415,99000000
1416,97958000
1417,97132000
1418,97120000
1419,97174000
1420,98142000
1421,99090000
1422,99135000
1423,100169000
1424,100068000
1425,100020000
1426,99104000
1427,99057000
1428,99051000
1429,99121000
1430,99058000
1431,99080000
1432,99763000
1433,99003000
1434,99082000
1435,98128000
1436,99118000
1437,98127000
1438,99052000
1439,100066000
1440,100041000
1441,99043000
1442,98043000
1443,98110000
1444,98036000
1445,99052000
1446,100178000
1447,100050000
1448,98241000
1449,98108000
1450,97044000
1451,97223000
1452,98787000
1453,99115000
1454,100125000
1455,98966000
1456,97896000
1457,97013000
1458,95959000
1459,95929000
1460,97689000
1461,98000000
1462,98030000
1463,97991000
1464,97931000
1465,95983000
1466,95906000
1467,97301000
1468,99061000
1469,100196000
1470,100051000
1471,100013000
1472,97874000
1473,97058000
1474,96998000
1475,95980000
1476,95930000
1477,95966000
1478,95980000
1479,95945000
1480,95904000
1481,95944000
1482,95954000
1483,95933000
1484,96007000
