seq,rtt_m2h_ns
38,11389000
39,10724000
40,10782000
41,10375000
42,10244000
43,10679000
44,10395000
45,10850000
46,10147000
47,10181000
48,11272000
49,10750000
50,10325000
51,11535000
52,12235000
53,10790000
54,11003000
55,10745000
56,10465000
57,10335000
58,10071000
59,10167000
60,10234000
61,10108000
62,10314000
63,11033000
64,11038000
65,10356000
66,10218000
67,11159000
68,10372000
69,11029000
70,11246000
71,10348000
72,11125000
73,11132000
74,10238000
75,11015000
76,10474000
77,10624000
78,11535000
79,11063000
80,10310000
81,11011000
82,10678000
83,11042000
84,10778000
85,10724000
86,10803000
87,11075000
88,11227000
89,11025000
90,10614000
91,10355000
92,10815000
93,10798000
94,11367000
95,10959000
96,10774000
97,10616000
98,10940000
99,10936000
100,10959000
101,11358000
102,10895000
103,10970000
104,10790000
105,10791000
106,10527000
107,10947000
108,11046000
109,10967000
110,11477000
111,11054000
112,10603000
113,10951000
114,11025000
115,11517000
116,10998000
117,10979000
118,11007000
119,11417000
120,10967000
121,10468000
122,10556000
123,11466000
124,10651000
125,11067000
126,12243000
127,11504000
128,12239000
129,11185000
130,10795000
131,10568000
132,10746000
133,10741000
134,12231000
135,10977000
136,10417000
137,10428000
138,11003000
139,10653000
140,10551000
141,10541000
142,10686000
143,10218000
144,10787000
145,10878000
146,10531000
147,10604000
148,10478000
149,10502000
150,10520000
151,10367000
152,10732000
153,10468000
154,10839000
155,11054000
156,10363000
157,10644000
158,10176000
159,11236000
160,10688000
161,10704000
162,10502000
163,10583000
164,10934000
165,10754000
166,10190000
167,10694000
168,10498000
169,10449000
170,11151000
171,10947000
172,10469000
173,10841000
174,11112000
175,10928000
176,11075000
177,10955000
178,10741000
179,11301000
180,10546000
181,10231000
182,10790000
183,11353000
184,10955000
185,10620000
186,10398000
187,10629000
188,10853000
189,11015000
190,10811000
191,11439000
192,10332000
193,11337000
194,10851000
195,10936000
196,10371000
197,11029000
198,10903000
199,12239000
200,12243000
201,11421000
202,10506000
203,11500000
204,11500000
205,10696000
206,10977000
207,10853000
208,10857000
209,11417000
210,12235000
211,10261000
212,11520000
213,11188000
214,10782000
215,10578000
216,10942000
217,12231000
218,11314000
219,10836000
220,13387000
221,11263000
222,12239000
223,11019000
224,10970000
225,12235000
226,10079000
227,10576000
228,11564000
229,12235000
230,10911000
231,12235000
232,10283000
233,11399000
234,12240000
235,10874000
236,10824000
237,11439000
238,12243000
239,11253000
240,12243000
241,11007000
242,11239000
243,11577000
244,12235000
245,12227000
246,13404000
247,11415000
248,12227000
249,11499000
250,12248000
251,12231000
252,11122000
253,12231000
254,12244000
255,12235000
256,11042000
257,11239000
258,12247000
259,12239000
260,12247000
261,12231000
262,11518000
263,11242000
264,12235000
265,13375000
266,11368000
267,12242000
268,11504000
269,12231000
270,11390000
271,11189000
272,11480000
273,12231000
274,11498000
275,12231000
276,12243000
277,12227000
278,12243000
279,13383000
280,12235000
281,13391000
282,11377000
283,12247000
284,11474000
285,12235000
286,11067000
287,11226000
288,11581000
289,12223000
290,12239000
291,11480000
292,11543000
293,11438000
294,12231000
295,12243000
296,12243000
297,11337000
298,12243000
299,11161000
300,12239000
301,11104000
302,12231000
303,11554000
304,11476000
305,12219000
306,11346000
307,12236000
308,12235000
309,12239000
310,12247000
311,11504000
312,12235000
313,11175000
314,11310000
315,12243000
316,10907000
317,12231000
318,12243000
319,11377000
320,12243000
321,12235000
322,11184000
323,12240000
324,11333000
325,11352000
326,11086000
327,12240000
328,12239000
329,12231000
330,11264000
331,10882000
332,12243000
333,12274000
334,12235000
335,11339000
336,11199000
337,12231000
338,11306000
339,12227000
340,12276000
341,12231000
342,11481000
343,12235000
344,12235000
345,12227000
346,11112000
347,12235000
348,11123000
349,12239000
350,12243000
351,12227000
352,11086000
353,11440000
354,11391000
355,11195000
356,11482000
357,12231000
358,11019000
359,12239000
360,12240000
361,10919000
362,10999000
363,11211000
364,12247000
365,12235000
366,12239000
367,12231000
368,12252000
369,12239000
370,12251000
371,12231000
372,12247000
373,12235000
374,12231000
375,12314000
376,10890000
377,12227000
378,12235000
379,12239000
380,12248000
381,12242000
382,12247000
383,12330000
384,12248000
385,12239000
386,11198000
387,12235000
388,12248000
389,12231000
390,12243000
391,11033000
392,12248000
393,12243000
394,12239000
395,12235000
396,12240000
397,12231000
398,12235000
399,11462000
400,12256000
401,11135000
402,11222000
403,11019000
404,11540000
405,12231000
406,10928000
407,12231000
408,11286000
409,12239000
410,12239000
411,11319000
412,12247000
413,12235000
414,11062000
415,12227000
416,12239000
417,12231000
418,12242000
419,12309000
420,12295000
421,11003000
422,11574000
423,12227000
424,12243000
425,12235000
426,12235000
427,12231000
428,12306000
429,11438000
430,12231000
431,12223000
432,12235000
433,11551000
434,12235000
435,11364000
436,10963000
437,11539000
438,12238000
439,12243000
440,12235000
441,11500000
442,11023000
443,12231000
444,12235000
445,12240000
446,12235000
447,12227000
448,11577000
449,11193000
450,12239000
451,10989000
452,11537000
453,12236000
454,12235000
455,12235000
456,12239000
457,12243000
458,11396000
459,11494000
460,11559000
461,12236000
462,12295000
463,12227000
464,12231000
465,12240000
466,11143000
467,12227000
468,11439000
469,12244000
470,12251000
471,12238000
472,11544000
473,12243000
474,12235000
475,11523000
476,12243000
477,12232000
478,11548000
479,11418000
480,12235000
481,10899000
482,11318000
483,12314000
484,11542000
485,12254000
486,12247000
487,11231000
488,11443000
489,11388000
490,11551000
491,12227000
492,11561000
493,12238000
494,12247000
495,12231000
496,10993000
497,12239000
498,12239000
499,12235000
500,11504000
501,12235000
502,12248000
503,12235000
504,12239000
505,11276000
506,12239000
507,12235000
508,12231000
509,12250000
510,12248000
511,11003000
512,12239000
513,12227000
514,12248000
515,12227000
516,12235000
517,12227000
518,12244000
519,11434000
520,12250000
521,12227000
522,12247000
523,12239000
524,11569000
525,12239000
526,10980000
527,12231000
528,12231000
529,12234000
530,12256000
531,12235000
532,12242000
533,12234000
534,12244000
535,12231000
536,12239000
537,12238000
538,12240000
539,12243000
540,11539000
541,10847000
542,11494000
543,12231000
544,12231000
545,12227000
546,11449000
547,11189000
548,12239000
549,12235000
550,11218000
551,11015000
552,12235000
553,12231000
554,12235000
555,10928000
556,11075000
557,12231000
558,11578000
559,12231000
560,12243000
561,12231000
562,11147000
563,11154000
564,11430000
565,11523000
566,12235000
567,11410000
568,12235000
569,12235000
570,12239000
571,11100000
572,12239000
573,12235000
574,12235000
575,12232000
576,11498000
577,12231000
578,11517000
579,12244000
580,11395000
581,11495000
582,12243000
583,12248000
584,12247000
585,12227000
586,11054000
587,12251000
588,12243000
589,12235000
590,12246000
591,12248000
592,12251000
593,12235000
594,11210000
595,11313000
596,12247000
597,11378000
598,12243000
599,12244000
600,12239000
601,10946000
602,11420000
603,12306000
604,12231000
605,12231000
606,12235000
607,12243000
608,12239000
609,12231000
610,11446000
611,12231000
612,12239000
613,12227000
614,12231000
615,11426000
616,11025000
617,12235000
618,12235000
619,10936000
620,11415000
621,12293000
622,12313000
623,12305000
624,12313000
625,11604000
626,11612000
627,12306000
628,12306000
629,12299000
630,12313000
631,11042000
632,12235000
633,12235000
634,12235000
635,11353000
636,12231000
637,11322000
638,12231000
639,12239000
640,12247000
641,11495000
642,11112000
643,11515000
644,12244000
645,11538000
646,10946000
647,12247000
648,12240000
649,12231000
650,12309000
651,11539000
652,12239000
653,12235000
654,12231000
655,12231000
656,12244000
657,11472000
658,12231000
659,12239000
660,11595000
661,11103000
662,11466000
663,12227000
664,12244000
665,12231000
666,11293000
667,11432000
668,12307000
669,12227000
670,11342000
671,11545000
672,12252000
673,11362000
674,12235000
675,12313000
676,10999000
677,10920000
678,10807000
679,11226000
680,11193000
681,12235000
682,11338000
683,12231000
684,12239000
685,11498000
686,11441000
687,10986000
688,12247000
689,12235000
690,12239000
691,11079000
692,11421000
693,11440000
694,12239000
695,12239000
696,11337000
697,12239000
698,12239000
699,11509000
700,12235000
701,12235000
702,11473000
703,12227000
704,11510000
705,12239000
706,10959000
707,12235000
708,11123000
709,12290000
710,12235000
711,12239000
712,11440000
713,12243000
714,11317000
715,12235000
716,12246000
717,11425000
718,12231000
719,12239000
720,12250000
721,10938000
722,11333000
723,12231000
724,12231000
725,12243000
726,11315000
727,12231000
728,11472000
729,12240000
730,11158000
731,11430000
732,11379000
733,12240000
734,11119000
735,11415000
736,10803000
737,11314000
738,11225000
739,12231000
740,11392000
741,12243000
742,12235000
743,11292000
744,12235000
745,12235000
746,11246000
747,11478000
748,11212000
749,12248000
750,11091000
751,11189000
752,12231000
753,11484000
754,12235000
755,11419000
756,12231000
757,11446000
758,11444000
759,12235000
760,11408000
761,11477000
762,11429000
763,10754000
764,11370000
765,11469000
766,11046000
767,12231000
768,12231000
769,11015000
770,12235000
771,11462000
772,11245000
773,11054000
774,11416000
775,11362000
776,11226000
777,11317000
778,11245000
779,12317000
780,12243000
781,11011000
782,11532000
783,12235000
784,12235000
785,11408000
786,11355000
787,10865000
788,12239000
789,11247000
790,11330000
791,11246000
792,12235000
793,11272000
794,11579000
795,11226000
796,10903000
797,11321000
798,12252000
799,10932000
800,12318000
801,11285000
802,11259000
803,12235000
804,10993000
805,12231000
806,11295000
807,11288000
808,10894000
809,11182000
810,11261000
811,10856000
812,11222000
813,10803000
814,10967000
815,11238000
816,12243000
817,12235000
818,12255000
819,12235000
820,11230000
821,12231000
822,11325000
823,11319000
824,12239000
825,11342000
826,10811000
827,11576000
828,11175000
829,12239000
830,12235000
831,11338000
832,11148000
833,11155000
834,11366000
835,12235000
836,10984000
837,11395000
838,12247000
839,12247000
840,10959000
841,10832000
842,11046000
843,11329000
844,12243000
845,11158000
846,11293000
847,11247000
848,11319000
849,11136000
850,10787000
851,11168000
852,11353000
853,11313000
854,11103000
855,11209000
856,10720000
857,10799000
858,10869000
859,11313000
860,12231000
861,10984000
862,11254000
863,11219000
864,11556000
865,11294000
866,12239000
867,10911000
868,11188000
869,12239000
870,11143000
871,11029000
872,11174000
873,11462000
874,11190000
875,12244000
876,11142000
877,10878000
878,12251000
879,10911000
880,11188000
881,11002000
882,11203000
883,12244000
884,12243000
885,10973000
886,10972000
887,10923000
888,11257000
889,11268000
890,11212000
891,12227000
892,11297000
893,11245000
894,11256000
895,12239000
896,12243000
897,11221000
898,11576000
899,11311000
900,11531000
901,10853000
902,12243000
903,12223000
904,11230000
905,11370000
906,11247000
907,12239000
908,12247000
909,12231000
910,11230000
911,12239000
912,11127000
913,11381000
914,11136000
915,11208000
916,11235000
917,11086000
918,11246000
919,11245000
920,12240000
921,11203000
922,11154000
923,11292000
924,11529000
925,11107000
926,11535000
