seq,latency_m2m_ns,callback_jitter,publish_jitter
386,8666000,20905000,256000
387,8673000,19078000,268000
388,8511000,19092000,273000
389,8798000,20962000,268000
390,8826000,21025000,272000
391,8608000,18860000,269000
392,8868000,21186000,268000
393,8826000,19029000,264000
394,8909000,21008000,264000
395,8714000,18880000,265000
396,8810000,21025000,264000
397,8773000,19029000,265000
398,8868000,21025000,260000
399,8731000,18942000,272000
400,8837000,21030000,268000
401,8770000,19008000,273000
402,8887000,21038000,252000
403,8880000,19072000,269000
404,8924000,20970000,268000
405,8789000,18940000,269000
406,8852000,20984000,264000
407,8843000,19062000,272000
408,9165000,21255000,276000
409,8959000,18864000,265000
410,8524000,18819000,265000
411,8801000,20953000,264000
412,8980000,21175000,260000
413,8767000,18861000,261000
414,8536000,19027000,265000
415,8656000,20116000,265000
416,9087000,21106000,252000
417,8827000,20744000,272000
418,8781000,19026000,245000
419,8957000,21101000,272000
420,8890000,19000000,256000
421,8946000,20056000,272000
422,8913000,20896000,260000
423,8869000,19027000,261000
424,8545000,18936000,265000
425,8909000,21033000,268000
426,8936000,21031000,252000
427,8793000,18928000,272000
428,8826000,20958000,260000
429,8766000,19015000,264000
430,8868000,21031000,260000
431,8882000,19085000,268000
432,8602000,18972000,269000
433,8932000,21007000,272000
434,8973000,21036000,268000
435,8818000,18921000,264000
436,8880000,20991000,272000
437,8789000,18980000,272000
438,8917000,21053000,260000
439,8850000,19008000,272000
440,9018000,21096000,273000
441,8886000,18936000,268000
442,8932000,20975000,264000
443,8856000,18999000,276000
444,8630000,19030000,265000
445,9005000,21044000,272000
446,9009000,21008000,268000
447,8811000,18873000,280000
448,8988000,21102000,260000
449,8865000,18952000,272000
450,8897000,20961000,252000
451,8830000,19004000,276000
452,8884000,20057000,260000
453,8930000,20968000,268000
454,9084000,19221000,253000
455,8906000,20758000,260000
456,8846000,19008000,256000
457,9013000,21096000,272000
458,8830000,18892000,256000
459,8917000,21016000,268000
460,8867000,19021000,260000
461,9094000,21152000,276000
462,8846000,18823000,256000
463,9005000,21091000,272000
464,8886000,18953000,256000
465,8909000,20948000,276000
466,8852000,19017000,252000
467,8613000,19017000,277000
468,8970000,21027000,264000
469,8988000,21022000,276000
470,8942000,19025000,264000
471,8653000,18963000,277000
472,9065000,21089000,256000
473,8809000,20740000,276000
474,8824000,19085000,252000
475,8868000,20978000,260000
476,8789000,18992000,256000
477,8826000,20962000,264000
478,8834000,19079000,253000
479,8868000,20967000,272000
480,8819000,19021000,260000
481,8909000,21016000,268000
482,8847000,19017000,260000
483,8822000,20900000,268000
484,8780000,19029000,252000
485,8936000,21080000,272000
486,8734000,18874000,252000
487,8909000,21104000,256000
488,8793000,18955000,264000
489,8885000,21016000,272000
490,8764000,18950000,256000
491,8860000,21030000,260000
492,8809000,19020000,253000
493,8905000,21021000,268000
494,8767000,18937000,264000
495,8612000,19100000,269000
496,8895000,20952000,256000
497,9001000,21110000,272000
498,8781000,18852000,252000
499,8830000,20974000,264000
500,8830000,19075000,268000
501,8890000,20989000,264000
502,8805000,18986000,264000
503,8772000,20892000,264000
504,8785000,19088000,256000
505,8818000,20962000,264000
506,8755000,19008000,249000
507,8519000,19016000,269000
508,8876000,21034000,264000
509,8838000,20958000,260000
510,8718000,18955000,264000
511,8801000,21012000,268000
512,8896000,19165000,252000
513,8784000,20814000,264000
514,8743000,19034000,252000
515,8895000,21081000,264000
516,8767000,18943000,260000
517,8793000,20951000,264000
518,8751000,19033000,256000
519,8832000,21010000,272000
520,8718000,18953000,264000
521,8490000,19029000,273000
522,8839000,21024000,260000
523,8609000,19094000,281000
524,8876000,20944000,252000
525,8984000,21104000,268000
526,8777000,18872000,260000
527,8563000,19038000,269000
528,8830000,20936000,260000
529,8524000,19024000,261000
530,8872000,21018000,268000
531,8559000,19018000,269000
532,8926000,21036000,252000
533,8868000,20946000,272000
534,8764000,18963000,256000
535,8573000,19066000,273000
536,8744000,20846000,260000
537,8421000,19000000,265000
538,8846000,21103000,264000
539,8737000,19215000,277000
540,8966000,20905000,264000
541,8770000,19127000,277000
542,8926000,20832000,264000
543,8533000,18931000,277000
544,9042000,21186000,256000
545,8874000,19902000,276000
