seq,latency_m2m_ns,callback_jitter,publish_jitter
554,28600000,14008000,280000
555,28597000,13996000,292000
556,28608000,14008000,284000
557,28601000,13997000,296000
558,28613000,14016000,292000
559,28597000,13979000,292000
560,28609000,14017000,288000
561,28597000,13983000,292000
562,28608000,14008000,288000
563,28601000,13996000,296000
564,28612000,14004000,280000
565,28597000,13992000,292000
566,29592000,15004000,288000
567,29581000,13981000,280000
568,28612000,14023000,288000
569,28601000,13996000,300000
570,28608000,14004000,288000
571,28593000,13988000,292000
572,28596000,14008000,288000
573,28601000,14000000,300000
574,28600000,14000000,284000
575,28581000,13981000,284000
576,28609000,14032000,292000
577,28605000,13987000,300000
578,28588000,13992000,280000
579,28577000,13985000,284000
580,28612000,14027000,284000
581,28601000,13989000,296000
582,28592000,14007000,284000
583,28593000,13989000,288000
584,28609000,14024000,292000
585,28613000,14000000,304000
586,28596000,13987000,280000
587,28589000,13989000,284000
588,28588000,14003000,276000
589,28585000,13993000,284000
590,28612000,14019000,284000
591,28605000,13996000,292000
592,28609000,14013000,288000
593,28581000,13972000,280000
594,28592000,14011000,280000
595,28577000,13981000,277000
596,28592000,14015000,272000
597,28581000,13984000,280000
598,28584000,14012000,272000
599,28605000,14008000,292000
600,28596000,14000000,276000
601,28613000,14017000,300000
602,28589000,13979000,272000
603,28573000,13985000,280000
604,28596000,14023000,284000
605,28609000,14000000,296000
606,28600000,14000000,280000
607,28612000,14004000,300000
608,28596000,13996000,280000
609,28612000,14004000,300000
610,28592000,13992000,276000
611,28577000,13981000,284000
612,28596000,14023000,276000
613,28605000,13992000,288000
614,28580000,13996000,272000
615,28612000,14016000,300000
616,28612000,14000000,284000
617,28601000,13996000,296000
618,28592000,13996000,276000
619,28585000,13989000,284000
620,28592000,14011000,280000
621,28605000,14004000,296000
622,28612000,14004000,284000
623,28589000,13985000,284000
624,28581000,13995000,268000
625,28593000,14008000,292000
626,28585000,13992000,264000
627,28593000,14004000,292000
628,28592000,14008000,272000
629,28609000,14004000,296000
630,28580000,13988000,276000
631,28585000,13997000,284000
632,28612000,14019000,288000
633,28589000,13984000,292000
634,28592000,14008000,284000
635,28616000,14008000,304000
636,28585000,13980000,272000
637,28622000,14037000,312000
638,29600000,14979000,284000
639,30581000,14981000,288000
640,29596000,14019000,284000
641,28620000,14004000,304000
642,28592000,13992000,280000
643,28589000,13993000,292000
644,28608000,14015000,284000
645,28630000,14021000,304000
646,28604000,13979000,288000
647,28585000,13988000,292000
648,28592000,14004000,280000
649,28601000,14004000,296000
650,28588000,13992000,276000
651,28597000,14008000,296000
652,28584000,13988000,276000
653,28609000,14025000,308000
654,28600000,13987000,284000
655,28601000,14000000,300000
656,28588000,13992000,276000
657,28593000,14001000,288000
658,28580000,13991000,272000
659,28589000,14008000,292000
660,28600000,14008000,280000
661,28601000,14000000,296000
662,28604000,14004000,284000
663,28608000,14000000,300000
664,28604000,14000000,288000
665,28597000,13996000,304000
666,28609000,14013000,292000
667,28593000,13976000,288000
668,28608000,14015000,288000
669,28593000,13989000,296000
670,28608000,14011000,288000
671,28616000,14000000,304000
672,28592000,13992000,284000
673,28597000,14001000,296000
674,28600000,14003000,284000
675,28617000,14017000,308000
676,28608000,13987000,284000
677,28589000,13988000,292000
678,28584000,14000000,280000
679,28612000,14012000,304000
680,28612000,14000000,288000
681,28596000,13992000,296000
682,28608000,14008000,288000
683,28617000,14013000,308000
684,28597000,13983000,280000
685,28613000,14013000,300000
686,28592000,13983000,276000
687,28589000,13997000,296000
688,28608000,14011000,284000
689,28597000,13984000,288000
690,28588000,14004000,272000
691,28597000,14000000,288000
692,28596000,14008000,276000
693,28597000,13997000,296000
694,29592000,15003000,284000
695,29597000,13992000,292000
696,28613000,14025000,296000
697,28597000,13979000,296000
698,28584000,13992000,272000
699,28593000,14004000,292000
700,28609000,14021000,292000
701,28593000,13979000,292000
702,28596000,14008000,284000
703,28589000,13989000,292000
704,28596000,14011000,284000
705,28605000,14000000,300000
706,28592000,13996000,280000
707,28581000,13985000,284000
708,28596000,14019000,280000
709,28589000,13984000,292000
710,28592000,14016000,281000
711,28608000,14000000,300000
712,28610000,14017000,296000
713,28593000,13975000,292000
714,28613000,14025000,296000
715,28589000,13971000,288000
716,28613000,14029000,296000
717,28589000,13972000,288000
718,28592000,14007000,280000
719,28593000,13996000,296000
720,28609000,14021000,292000
721,28597000,13979000,292000
722,28596000,14008000,284000
723,28589000,13988000,288000
724,28596000,14012000,280000
725,28612000,14004000,304000
726,28609000,14013000,296000
727,28601000,13983000,300000
728,28613000,14017000,296000
729,28601000,13983000,300000
730,28596000,14000000,288000
731,28593000,13992000,292000
732,28592000,14000000,280000
733,28597000,14004000,296000
