seq,rtt_h2m_ns
531,11569403
532,11463605
533,11107610
534,11615656
535,11717030
536,11265078
537,11297930
538,11188302
539,11569501
540,11813694
541,11557479
542,11423963
543,10912090
544,11315020
545,11171428
546,11769780
547,11223680
548,11077390
549,11292801
550,11027162
551,11139541
552,11179968
553,10891387
554,11479360
555,11176286
556,11217782
557,11449382
558,10969399
559,11094992
560,11364497
561,11322851
562,11441354
563,10886098
564,11597107
565,11233048
566,11573791
567,10569581
568,10945333
569,10460055
570,11351937
571,11564122
572,11311007
573,10699132
574,11169395
575,11272931
576,11261697
577,11563927
578,11106976
579,11234633
580,11177530
581,11077404
582,11150475
583,11134381
584,11122172
585,11336868
586,11387396
587,11545246
588,11105717
589,11396415
590,11139301
591,11100388
592,11280149
593,11114330
594,11679569
595,11445852
596,11687365
597,11421573
598,10975260
599,11523670
600,10447042
601,11249000
602,11251584
603,10918286
604,11266821
605,11272768
606,11280483
607,11609669
608,11034854
609,11357240
610,11625873
611,11202654
612,10422074
613,10939026
614,11360753
615,10740629
616,10418216
617,11078897
618,11098385
619,10358812
620,11195093
621,11143945
622,10959013
623,10954457
624,11316827
625,11164636
626,11043387
627,11109230
628,10759060
629,11078481
630,11122256
631,11263248
632,11142023
633,10827244
634,11109088
635,11202553
636,11287042
637,10374807
638,11299381
639,11166212
640,11127986
641,11039473
642,11106121
643,10819692
644,11592908
645,11583767
646,11178354
647,11249372
648,10716157
649,11143433
650,10249408
651,11057664
652,10368529
653,10091357
654,11111373
655,10205437
656,10566263
657,11273804
658,10262300
659,11254627
660,10496557
661,11313821
662,10633602
663,10312315
664,11270631
665,11235474
666,11066227
667,10734757
668,10574823
669,10774785
670,10759339
671,10470122
672,10982505
673,10954103
674,10351727
675,11293048
676,11255955
677,11158994
678,10707145
679,11234992
680,10273234
681,10524631
682,11284600
683,10662188
684,11232551
685,11180476
686,11454549
687,11101576
688,11041264
689,10758321
690,10982064
691,11442609
692,10946487
693,10492921
694,11094117
695,11438089
696,10417641
697,11406532
698,10212062
699,11145930
700,11238391
701,11095893
702,11146560
703,10904214
704,12247192
705,13156791
706,12326619
707,12327692
708,11949157
709,12295579
710,13048563
711,13515255
712,12860806
713,13685453
714,12266878
715,12952034
716,12611318
717,13506313
718,12072959
719,13291835
720,12275328
721,11364229
722,11293043
723,10928502
724,11513129
725,11267861
726,11203369
727,11274222
728,10958669
729,11213719
730,11396236
731,11029441
732,11251238
733,11014700
734,11034054
735,11201396
736,10578672
737,10955902
738,10737422
739,11239131
740,11152134
741,11245572
742,11309408
743,11043568
744,11137063
745,11462734
746,10757362
747,11196681
748,11050652
749,11285970
750,11640689
751,11239595
752,11082011
753,10726291
754,11189103
755,11109365
756,10789538
757,11577645
758,10987679
759,11486799
760,11229058
761,11460509
762,11036016
763,10999987
764,11279971
765,10950116
766,11412737
767,11130242
768,10989060
769,11243555
770,11225360
771,11192391
772,11239173
773,10907865
774,11509760
775,11213867
776,10476728
777,11270785
778,11188764
779,11274551
780,11350509
781,11246712
782,11263952
783,11192896
784,11352214
785,11250968
786,10617733
787,11125315
788,11211642
789,11092873
790,11211043
791,11502035
792,11280584
793,11169890
794,11099621
795,11070818
796,10474090
797,11245391
798,11054755
799,11420502
800,11252966
801,11040770
802,11301872
803,11072341
804,11412197
805,11279678
806,11359208
807,11370304
808,10974316
809,11267053
810,11327451
811,11303426
812,11418657
813,11006945
814,11270238
815,11248265
816,10406367
817,11415482
818,10989755
819,11323695
820,11393170
821,11372608
822,11385865
823,11095133
824,11214640
825,11247124
826,10167630
827,11085997
828,10973716
829,11225598
830,11541084
831,11398015
832,10984998
833,11090492
834,11344273
835,11242876
836,10361019
837,11337435
838,10995661
839,11385444
840,11364907
841,11087296
842,11378008
843,10371618
844,11574116
845,11546909
846,11169395
847,11328055
848,11301189
849,11301495
850,10543751
851,11113726
852,11239391
853,11041608
854,11498020
855,11177416
856,10577001
857,10497470
858,10994164
859,11252119
860,11388642
861,10435644
862,11354886
863,11212667
864,11289457
865,11211482
866,11300992
867,11404687
868,11176480
869,11277392
870,11017187
871,11509988
872,11390550
873,10992148
874,11215147
875,11199677
876,11399681
877,11093613
878,10933985
879,11226501
880,11324533
881,11596707
882,11175966
883,10956792
884,11226395
885,11306878
886,11374326
887,11604544
888,10487386
889,11152785
890,11271477
891,11289926
892,11156867
893,10580081
894,11203790
895,10431852
896,11229945
897,11315088
898,10963861
899,11284445
900,11191411
901,11201647
902,11318081
903,10983982
904,11160880
905,11601747
906,11254980
907,11400313
908,10971086
909,11207101
910,11184236
911,11338105
912,11581134
913,11165710
914,11439430
915,11249373
916,11486143
917,11551358
918,11166436
919,11403740
920,11462531
921,11705272
922,11751731
923,10506297
924,11493533
925,11285041
926,11331978
927,11469367
928,11244859
929,11072381
930,11564989
931,11197902
932,11325937
933,10882997
934,11212632
935,11492658
936,11574556
937,11212472
938,10914913
939,11233700
940,11560045
941,11282352
942,11240955
943,11070451
944,11239092
945,11214878
946,11353549
947,11401962
948,10954635
949,11129532
950,11260302
951,10282645
952,11132848
953,11011536
954,10985755
955,11010633
956,10979571
957,11025394
958,10339955
959,11345214
960,11311288
961,11168556
962,10363178
963,11069755
964,11284004
965,11179117
966,11118593
967,11514084
968,10891534
969,11100519
970,11578638
971,11024944
972,11639492
973,11189280
974,11148006
975,10416642
976,11166638
977,10572239
978,11050027
979,11574713
980,11284651
981,11168725
982,11168297
983,11157512
984,11077614
985,11158842
986,11379653
987,11402627
988,11422195
989,11494566
990,11057343
991,11224519
992,10502519
993,11013378
994,11598461
995,11203794
996,11428574
997,11035609
998,10991045
999,11342396
1000,12464828
1001,12190560
1002,12161832
1003,12048321
1004,12162400
1005,12016801
1006,12047559
1007,11630448
1008,11847787
1009,12160212
1010,11998026
1011,12066907
1012,12021259
1013,10948106
1014,11288262
1015,11183058
1016,12181310
1017,12276770
1018,11348390
1019,11441492
1020,11447200
1021,12197300
1022,11455569
1023,11160417
1024,11515657
1025,11431424
1026,11241653
1027,11630317
1028,11045487
1029,11573625
1030,12135102
1031,11245086
1032,11283443
1033,10836351
1034,11449050
1035,11422336
1036,12187276
1037,11620417
1038,12133151
1039,11563283
1040,12084503
1041,12052041
1042,12032727
1043,11974401
1044,12060987
1045,11454246
1046,12147015
1047,11538858
1048,10927966
1049,12089697
1050,11360569
1051,12156448
1052,11288262
1053,12051258
1054,12027864
1055,12152491
1056,11866496
1057,11222597
1058,11876576
1059,11980238
1060,12178295
1061,12188009
1062,11160510
1063,11859893
1064,12223113
1065,11953882
1066,12326522
1067,11224293
1068,12020481
1069,12130834
1070,11916443
1071,11108891
1072,12058932
1073,12003764
1074,12086672
1075,10911147
1076,11087131
1077,11989259
1078,11231794
1079,11795086
1080,11947997
1081,11922468
1082,11232712
1083,12089731
1084,11920468
1085,12071655
1086,12082926
1087,11344790
1088,11113532
1089,12016413
1090,11255604
1091,12061441
1092,12127370
1093,11987757
1094,12192169
1095,11841330
1096,11296370
1097,12214330
1098,12073167
1099,12172701
1100,12233579
1101,11999507
1102,12052560
1103,11992741
1104,11999975
1105,12114750
1106,11068160
1107,11197557
1108,11913017
1109,12096502
1110,12046376
1111,11275832
1112,11396840
1113,12017889
1114,11187298
1115,11199579
1116,11321093
1117,12037896
1118,11950460
1119,12066776
1120,11146698
1121,11237641
1122,11278022
1123,11534136
1124,12025634
1125,11291913
1126,12008191
1127,11348464
1128,10916667
1129,11299876
1130,11190587
1131,11268155
1132,12033496
1133,11833471
1134,11983478
1135,11984407
1136,12140113
1137,12134082
1138,11818251
1139,11971584
1140,12042367
1141,12055851
1142,12147635
1143,11785661
1144,12223002
1145,12144298
1146,12145673
1147,12179599
1148,11802957
1149,12206552
1150,11803162
1151,12027067
1152,12121234
1153,11770032
1154,12231045
1155,12182311
1156,12297661
1157,11200159
1158,11798357
1159,12133989
1160,12250293
1161,12212705
1162,12313746
1163,11785548
1164,12357331
1165,12181606
1166,12412493
1167,11632868
1168,11223505
1169,12276332
1170,12176803
1171,12196480
1172,12266314
1173,11756836
1174,11967581
1175,12239194
1176,12161561
1177,12277272
1178,11812003
1179,12047243
1180,12095354
1181,12300860
1182,11098245
1183,11036373
1184,12193681
1185,12328943
1186,11467661
1187,11705334
1188,11739716
1189,12192753
1190,12300664
1191,11628366
1192,12114966
1193,12553870
1194,12082727
1195,12301773
1196,12106385
1197,12249111
1198,11770782
1199,11033091
1200,12201980
1201,11978854
1202,11503381
1203,11167780
1204,12241000
1205,11989652
1206,11208839
1207,12171191
1208,11922235
1209,12024300
1210,11329763
1211,11180496
1212,12279214
1213,11798633
1214,12203885
1215,11345069
1216,12347375
1217,12398404
1218,12126261
1219,12383721
1220,12270505
1221,11603951
1222,12190023
1223,11986923
1224,12363720
1225,11395245
1226,11353354
1227,11442909
1228,11890485
1229,12167162
1230,12323471
1231,12365964
1232,11517217
1233,11319742
1234,12165561
1235,12145010
1236,11945189
1237,11306488
1238,11204824
1239,12116681
1240,11450675
1241,11308257
1242,12215022
1243,10965305
1244,12159525
1245,11223684
1246,12137704
1247,12218331
1248,12071926
1249,11560271
1250,11240096
1251,12238552
1252,12181219
1253,12004246
1254,12221569
1255,11225469
1256,12245668
1257,12169696
1258,12105407
1259,12196199
1260,11687515
1261,11628375
1262,12293296
1263,11137516
1264,11265973
1265,11547240
1266,11452611
1267,11374029
1268,11853334
1269,11280501
1270,11369477
1271,11216347
1272,11568067
1273,11155493
1274,12171167
1275,11395450
1276,11460512
1277,11385898
1278,11152120
1279,11433513
1280,11529432
1281,11271337
1282,11384103
1283,12036017
1284,11257823
1285,11570730
1286,11524671
1287,11377459
1288,11113821
1289,11392170
1290,11684231
1291,12233231
1292,11409004
1293,11303714
1294,11373231
1295,11545336
1296,11546285
1297,11471832
1298,11150115
1299,11448128
1300,11579190
1301,11372746
1302,11687895
1303,11176320
1304,12409565
1305,11891777
1306,11953113
1307,11734358
1308,11050390
1309,11357368
1310,11699915
1311,11478316
1312,11413341
1313,11296750
1314,11861869
1315,12125459
1316,11872819
1317,12378355
1318,11913809
1319,11510531
1320,11449702
1321,12273813
1322,11367924
1323,11927453
1324,12334995
1325,11404861
1326,12163976
1327,11522223
1328,11476710
1329,11423260
1330,11584370
1331,11695279
1332,11628797
1333,11323989
1334,12532750
1335,11493450
1336,11457222
1337,11511889
1338,11998799
1339,11576568
1340,11589013
1341,11241786
1342,11202802
1343,10959746
1344,11231814
1345,11512426
1346,13471794
1347,13329953
1348,12941664
1349,13041947
1350,13372853
1351,13659085
1352,13337094
1353,12987684
1354,13825992
1355,13220969
1356,13506379
1357,13267512
1358,12954427
1359,13221972
1360,13340057
1361,13161160
1362,13583532
1363,11083372
1364,11298892
1365,11316767
1366,11365766
1367,11433936
1368,10949012
1369,12138141
1370,11403500
1371,11438133
1372,12172095
1373,12112570
1374,12551921
1375,12174744
1376,11650161
1377,11663874
1378,11462855
1379,12444661
1380,12301427
1381,11501338
1382,11357916
1383,12041625
1384,12333740
1385,12273687
1386,11592819
1387,12130440
1388,11935576
1389,11429403
1390,11274320
1391,12041700
1392,12055307
1393,11698539
1394,12316124
1395,11947260
1396,12221799
1397,11317424
1398,11873147
1399,12068622
1400,11307494
1401,12114880
1402,11373108
1403,12112950
1404,12167818
1405,12185518
1406,11347741
1407,11488947
1408,12051879
1409,11304778
1410,12104877
1411,12037772
1412,11908599
1413,11633233
1414,12002076
1415,11969956
1416,12003195
1417,11334130
1418,10983457
1419,12137825
1420,12163178
1421,12088527
1422,12161280
1423,12091544
1424,12179525
1425,11500360
1426,11429083
1427,11623175
1428,12302729
1429,12265538
1430,11425491
1431,12100964
1432,12137063
1433,11788767
1434,12153800
1435,11326262
1436,12178551
1437,12208075
1438,11776942
1439,12023328
1440,12183928
1441,12127380
1442,12279170
1443,11187846
1444,12234144
1445,12350953
1446,12094422
1447,11550954
1448,11038652
1449,12282556
1450,12154985
1451,12174768
1452,11667566
1453,11182680
1454,12174695
1455,12103666
1456,12298881
1457,11275089
1458,11204039
1459,12219829
1460,12143642
1461,12200010
1462,11326262
1463,11136209
1464,12214498
1465,12403366
1466,11916634
1467,12360302
1468,12003876
1469,11293126
1470,12178181
1471,12148050
1472,11594680
1473,11991374
1474,12050048
1475,11559741
1476,12084381
1477,12088493
1478,11215907
1479,11560191
1480,12074514
1481,11317820
1482,12078963
1483,12197007
1484,12219513
1485,12127722
1486,11476246
1487,11409984
1488,11015084
1489,11704616
1490,11983840
1491,12099049
1492,12238082
1493,10999646
1494,12265861
1495,12077215
1496,12163795
1497,12252438
1498,11950474
1499,11474472
1500,11794359
1501,11751935
1502,12269408
1503,11655244
1504,11225340
1505,12122162
1506,12111367
1507,12027004
1508,11982844
1509,12204848
1510,11534323
1511,12390887
1512,12375501
1513,12209027
1514,12210822
1515,12351445
1516,12358163
1517,11593789
1518,11209589
1519,11405754
1520,12121871
1521,11388085
1522,11396891
1523,11079079
1524,12130193
1525,11619662
1526,11240251
1527,11313350
1528,11292261
1529,12111751
1530,12183558
1531,12249840
1532,11470502
1533,12203542
1534,12095038
1535,12268031
1536,12658440
1537,11338208
1538,11689818
1539,12242567
1540,12133207
1541,12048903
1542,12301507
1543,11916509
1544,12278131
1545,12153548
1546,12146014
1547,11912442
1548,11803907
1549,11378277
1550,11533661
1551,11515175
1552,12185144
1553,11800810
1554,12163607
1555,12230197
1556,12306201
1557,12014298
1558,11149263
1559,12014180
1560,12179322
1561,12191692
1562,11343233
1563,12004220
1564,12365559
1565,12250978
1566,12009549
1567,11353934
1568,11802805
1569,12319135
1570,11854751
1571,12000405
1572,11761635
1573,11395159
1574,11249146
1575,11648149
1576,12130592
1577,11427110
1578,11349422
1579,11344134
1580,12101193
1581,12059822
1582,12296677
1583,11919982
1584,12241250
1585,12140659
1586,11563023
1587,11804122
1588,12098638
1589,12024211
1590,12108006
1591,12050428
1592,11145858
1593,11881125
1594,12171399
1595,12002013
1596,12030838
1597,11597596
1598,11796323
1599,12036816
1600,11150429
1601,12152861
1602,11329909
1603,11922511
1604,11999742
1605,11278970
1606,12036357
1607,11428684
1608,11977006
1609,12053008
1610,12156070
1611,11351793
1612,12177177
1613,11151736
1614,12132997
1615,11243335
1616,11280403
1617,11219474
1618,12007375
1619,11248847
1620,12045556
1621,11296516
1622,11730767
1623,11271259
1624,11770551
1625,11186234
1626,11794434
1627,11159854
