seq,rtt_m2h_ns
610,11028000
611,12231000
612,11026000
613,12235000
614,12231000
615,12243000
616,11208000
617,12235000
618,12231000
619,11203000
620,12247000
621,11422000
622,11355000
623,12231000
624,11241000
625,12231000
626,11251000
627,11232000
628,11259000
629,11123000
630,12246000
631,12235000
632,11500000
633,10870000
634,12235000
635,11570000
636,11177000
637,12276000
638,11238000
639,12251000
640,11262000
641,10984000
642,12227000
643,12239000
644,11276000
645,12243000
646,11011000
647,12235000
648,11582000
649,12235000
650,11536000
651,11577000
652,12236000
653,12235000
654,12231000
655,12235000
656,12235000
657,12239000
658,12231000
659,12243000
660,11564000
661,10733000
662,11282000
663,10882000
664,12231000
665,12231000
666,11454000
667,11318000
668,11387000
669,12235000
670,11268000
671,11411000
672,11347000
673,11414000
674,11624000
675,11432000
676,11426000
677,11506000
678,12239000
679,12239000
680,12235000
681,11474000
682,12243000
683,11418000
684,12239000
685,12255000
686,11574000
687,11572000
688,11573000
689,12288000
690,12235000
691,12243000
692,12239000
693,10861000
694,12231000
695,12243000
696,12239000
697,11174000
698,12235000
699,11427000
700,12239000
701,12243000
702,12235000
703,12235000
704,12227000
705,12235000
706,12239000
707,12239000
708,12235000
709,11565000
710,11284000
711,11566000
712,11502000
713,10968000
714,12227000
715,12243000
716,12306000
717,12318000
718,12227000
719,12239000
720,11535000
721,12248000
722,12235000
723,10807000
724,12227000
725,12240000
726,11222000
727,12227000
728,11310000
729,11034000
730,11319000
731,12239000
732,11469000
733,11469000
734,12227000
735,11541000
736,11555000
737,11412000
738,12231000
739,11577000
740,11499000
741,11241000
742,11515000
743,11458000
744,12235000
745,12235000
746,12235000
747,12243000
748,12227000
749,12239000
750,11235000
751,12239000
752,12235000
753,10666000
754,11459000
755,12235000
756,12231000
757,12239000
758,11278000
759,11335000
760,12235000
761,12290000
762,11422000
763,11353000
764,12235000
765,12231000
766,11386000
767,12243000
768,12235000
769,12235000
770,11007000
771,12231000
772,12235000
773,11129000
774,11232000
775,11284000
776,11174000
777,11514000
778,12248000
779,11243000
780,11379000
781,11247000
782,11203000
783,10852000
784,11207000
785,11265000
786,11228000
787,11499000
788,11214000
789,11151000
790,11320000
791,11095000
792,10688000
793,10894000
794,11531000
795,11184000
796,11270000
797,11063000
798,11129000
799,11147000
800,11075000
801,11278000
802,11159000
803,11222000
804,11178000
805,11181000
806,11181000
807,11249000
808,10983000
809,10928000
810,11261000
811,11542000
812,11493000
813,10791000
