seq,latency_h2h_ns
0,1263295
1,1172321
2,1015301
3,804280
4,1261267
5,1047204
6,1069259
7,1104257
8,798337
9,1229971
10,1071206
11,1087503
12,1185078
13,793334
14,891706
15,718927
16,1127413
17,1118931
18,978269
19,1063074
20,1154392
21,1122503
22,918134
23,1038419
24,890667
25,1127715
26,860790
27,1154566
28,928909
29,1183952
30,1106573
31,1042602
32,1111172
33,1112015
34,1012491
35,1128359
36,926480
37,994922
38,1117244
39,1213404
40,1159935
41,1162285
42,823705
43,1159471
44,1254415
45,924530
46,1193630
47,986861
48,1111104
49,1240636
50,1108784
51,1115374
52,1055551
53,1163845
54,1014822
55,935902
56,984692
57,1095838
58,1161654
59,1242407
60,1149238
61,1189173
62,812227
63,1015406
64,990447
65,1162995
66,1126579
67,797007
68,1136229
69,1105802
70,1167448
71,982408
72,946752
73,1121271
74,1126437
75,1057040
76,1152924
77,1112135
78,1111580
79,1197846
80,915611
81,1144587
82,958835
83,984532
84,867669
85,1190902
86,1187110
87,912963
88,1113012
89,1254232
90,1098878
91,1047658
92,1162451
93,1237188
94,1120131
95,1061978
96,1142945
97,1205798
98,813535
99,1193989
100,1107251
101,1133002
102,987666
103,1113469
104,925797
105,1049135
106,1140469
107,900575
108,927699
109,1195645
110,1068992
111,1120778
112,1052522
113,1146483
114,1221964
115,966962
116,1110453
117,1109412
118,1098502
119,1245767
120,911676
121,1100664
122,842122
123,1153955
124,872626
125,1110420
126,1161445
127,1152002
128,1105755
129,923639
130,1082094
131,1159144
132,1176499
133,820737
134,887697
135,1104913
136,1007762
137,1143761
138,1166700
139,970725
140,1090537
141,1167174
142,942399
143,1137335
144,1008509
145,1168888
146,1027181
147,978927
148,918427
149,1230874
150,1117848
151,1176311
152,1106936
153,1154966
154,988065
155,1163376
156,1147337
157,921338
158,856321
159,1232333
160,1120352
161,1155259
162,876442
163,824904
164,936996
165,1159401
166,1049729
167,1095855
168,1111336
169,1003566
170,1052255
171,895893
172,1167538
173,1143759
174,1222725
175,1111093
176,1187761
177,1099818
178,1004276
179,1190721
180,1099462
181,1164154
182,828187
183,1143153
184,1130578
185,1168608
186,1139382
187,1141330
188,1093091
189,1265726
190,997761
191,1182128
192,1178463
193,1097943
194,1126118
195,1151933
196,1204538
197,1098713
198,1148083
199,1353351
200,1046977
201,1155605
202,1005931
203,1158033
204,923924
205,1054469
206,1140404
207,1044770
208,983723
209,1214985
210,966911
211,1182192
212,1088920
213,954897
214,1084084
215,1148022
216,1115948
217,1167605
218,1163128
219,1167029
220,1144358
221,1059142
222,914352
223,950843
224,1205562
225,1098281
226,1119347
227,952243
228,789570
229,1099069
230,874702
231,1053855
232,1213616
233,842259
234,824887
235,1135442
236,1109681
237,1055535
238,1149474
239,1138934
240,1091134
241,963191
242,890739
243,828069
244,1103150
245,1111665
246,992944
247,959043
248,1126108
249,1094737
250,1162151
251,1106896
252,841591
253,1135584
254,869781
255,1142423
256,1159571
257,1173992
258,714508
259,1255486
260,1034073
261,1091112
262,1008618
263,1055032
264,852793
265,1033525
266,1074874
267,956729
268,1137806
269,1137319
270,1087795
271,1099919
272,1055815
273,1096488
274,1128936
275,770034
276,1179446
277,800858
278,1074221
279,901102
280,1103441
281,979088
282,843515
283,1171692
284,1083165
285,1130573
286,943044
287,1097697
288,1163587
289,1061689
290,829583
291,1074863
292,1012208
293,909771
294,1122573
295,1085245
296,1034150
297,1145597
298,970106
299,1310662
300,1077379
301,1098964
302,961577
303,1094517
304,1113848
305,1075871
306,1070075
307,1080927
308,1070627
309,1203062
310,1041809
311,1116167
312,1036282
313,1081239
314,1154698
315,1058342
316,1100899
317,1014215
318,828320
319,894073
320,753268
321,871933
322,790140
323,1132699
324,1272927
325,1113651
326,802136
327,941721
328,1168971
329,1162775
330,885156
331,1183639
332,1026682
333,1031664
334,1137257
335,1064684
336,1078347
337,1127805
338,1049058
339,1129686
340,1091651
341,1080942
342,999074
343,1041400
344,1219092
345,1176444
346,958241
347,891512
348,1038581
349,1210530
350,1108219
351,1028626
352,1095725
353,1134208
354,1126511
355,1103345
356,1108418
357,1014039
358,1075680
359,1094112
360,784417
361,1098355
362,1019802
363,979497
364,1164577
365,1091845
366,1075468
367,1171834
368,1025831
369,1180949
370,1152645
371,1043056
372,1158223
373,1063227
374,1146347
375,1102268
376,1036214
377,1168969
378,999320
379,1236195
380,828471
381,1041519
382,915876
383,1117949
384,910635
385,1070893
386,1097552
387,905878
388,1134354
389,1126412
390,803290
391,1129758
392,1077643
393,1161654
394,1156930
395,1041143
396,986297
397,1078698
398,1092945
399,1160473
400,1060413
401,1001852
402,1007863
403,1115526
404,1095095
405,823396
406,1051471
407,713697
408,766752
409,1197694
410,1096313
411,1019635
412,1175469
413,1130999
414,1234770
415,765865
416,1151735
417,986589
418,1175634
419,1141385
420,1084361
421,1121353
422,886645
423,1154052
424,1217302
425,1041443
426,1089217
427,757652
428,1143154
429,1194211
430,1066959
431,880956
432,1145945
433,1142879
434,1197324
435,1002451
436,1110596
437,1093361
438,1118416
439,1216659
440,1094340
441,1111387
442,981636
443,984900
444,770034
445,1033189
446,1112358
447,763556
448,1158118
449,1125595
450,719371
451,1076499
452,1065761
453,1172764
454,1262777
455,1096432
456,1068214
457,1188211
458,897992
459,1109762
460,888527
461,1026660
462,1024707
463,1043147
464,1175674
465,1107695
466,1045347
467,918745
468,1045574
469,1124166
470,1112324
471,1032537
472,1175076
473,1140625
474,1149847
475,1016962
476,1146920
477,1138297
478,1117330
479,1204926
480,766177
481,1016970
482,862097
483,1018673
