seq,latency_m2m_ns,callback_jitter,publish_jitter
77,8508000,100144000,252000
78,8436000,99928000,264000
79,8714000,100270000,260000
80,8649000,99944000,256000
81,8656000,100005000,253000
82,8653000,99998000,264000
83,8882000,100229000,264000
84,8664000,99781000,264000
85,8761000,100097000,256000
86,8605000,99845000,256000
87,9112000,100507000,256000
88,8840000,99728000,260000
89,9111000,100270000,272000
90,9119000,100009000,260000
91,9399000,100280000,276000
92,9127000,99728000,256000
93,8794000,99667000,264000
94,8958000,100164000,252000
95,9074000,100116000,272000
96,9095000,100021000,253000
97,8744000,99649000,264000
98,9049000,100305000,260000
99,9176000,100126000,268000
100,8827000,99652000,269000
101,9306000,100478000,269000
102,8914000,99609000,253000
103,9396000,100482000,273000
104,9464000,100067000,261000
105,9336000,99873000,273000
106,9338000,100002000,257000
107,8589000,99251000,269000
108,9155000,100565000,257000
109,9233000,100078000,253000
110,9165000,99933000,257000
111,9257000,100092000,261000
112,9233000,99976000,265000
113,9094000,99861000,261000
114,8838000,99744000,253000
115,8898000,100059000,269000
116,9400000,100503000,265000
117,9116000,99715000,268000
118,9200000,100085000,261000
119,9134000,99934000,264000
120,9517000,100383000,257000
121,9496000,99979000,261000
122,9238000,99742000,245000
123,8883000,99645000,256000
124,9180000,100297000,265000
125,9381000,100201000,265000
126,9652000,100270000,265000
127,9039000,99387000,268000
128,8906000,99868000,265000
129,9319000,100413000,264000
130,8925000,99606000,249000
131,9338000,100413000,261000
132,9278000,99940000,261000
133,9166000,99888000,261000
134,9169000,100003000,249000
135,9226000,100057000,261000
136,8810000,99584000,265000
137,9306000,100496000,277000
138,9235000,99928000,257000
139,9104000,99870000,261000
140,9254000,100150000,265000
141,8977000,99722000,265000
142,9262000,100286000,261000
143,9258000,99996000,273000
144,8945000,99687000,245000
145,8937000,99992000,261000
146,9293000,100356000,261000
147,9290000,99996000,264000
148,9514000,100225000,257000
149,9431000,99916000,265000
150,9263000,99833000,245000
151,9369000,100106000,277000
152,9317000,99948000,257000
153,8761000,99443000,265000
154,8622000,99862000,257000
155,9325000,100703000,261000
156,9262000,99937000,261000
157,9340000,100078000,256000
158,9136000,99795000,261000
159,8945000,99810000,272000
160,9428000,100483000,269000
161,9300000,99872000,269000
162,9371000,100071000,261000
163,9320000,99948000,268000
164,8976000,99658000,248000
165,9190000,100213000,257000
166,9179000,99988000,264000
167,9323000,100145000,264000
168,9408000,100085000,265000
169,9479000,100070000,268000
170,9427000,99949000,261000
171,8857000,99429000,268000
172,9295000,100439000,269000
173,9145000,99850000,268000
174,9169000,100024000,269000
175,8887000,99718000,261000
176,9317000,100429000,261000
177,9448000,100131000,268000
178,9457000,100010000,253000
179,9447000,99989000,269000
180,9539000,100093000,261000
181,9211000,99672000,253000
182,9199000,99987000,265000
183,9208000,100010000,273000
184,9073000,99865000,269000
185,9441000,100368000,265000
186,9495000,100054000,265000
187,9229000,99734000,268000
188,9439000,100209000,265000
189,9460000,100022000,261000
190,9175000,99715000,265000
191,9249000,100074000,276000
192,9396000,100147000,269000
193,9389000,99992000,273000
194,9263000,99875000,261000
195,9131000,99868000,260000
196,9269000,100138000,261000
197,9132000,99862000,268000
198,9297000,100165000,257000
199,9217000,99921000,261000
200,9306000,100089000,257000
201,8598000,99292000,277000
202,9318000,100720000,257000
203,9303000,99984000,273000
204,9312000,100010000,265000
205,8840000,99527000,257000
206,9327000,100487000,253000
207,9259000,99933000,269000
208,9334000,100074000,261000
209,9139000,99806000,272000
210,8941000,99802000,257000
211,9225000,100284000,276000
212,9152000,99927000,265000
213,8740000,99587000,264000
214,9436000,100696000,253000
215,8906000,99471000,272000
216,9240000,100334000,261000
217,9178000,99938000,265000
218,9115000,99937000,261000
219,8981000,99866000,256000
220,9202000,100220000,261000
221,9069000,99868000,260000
222,9493000,100424000,257000
223,9419000,99925000,269000
224,9449000,100031000,257000
225,9287000,99837000,265000
226,9300000,100014000,265000
227,9371000,100070000,257000
228,9459000,100088000,265000
229,9174000,99716000,273000
230,8973000,99799000,261000
231,8985000,100012000,265000
232,8914000,99929000,269000
233,8997000,100083000,257000
