seq,rtt_m2h_ns
1549,12772000
1550,18878000
1551,27952000
1552,28768000
1553,28710000
1554,28722000
1555,28702000
1556,28712000
1557,28708000
1558,28710000
1559,28715000
1560,28711000
1561,28706000
1562,28708000
1563,28700000
1564,28707000
1565,28711000
1566,28715000
1567,28699000
1568,28707000
1569,28701000
1570,28705000
1571,28714000
1572,28705000
1573,28699000
1574,28707000
1575,28711000
1576,28722000
1577,28703000
1578,28715000
1579,28703000
1580,28725000
1581,28719000
1582,28710000
1583,28693000
1584,28715000
1585,28698000
1586,28708000
1587,28730000
1588,28704000
1589,28707000
1590,28711000
1591,28718000
1592,28707000
1593,28710000
1594,28719000
1595,28706000
1596,28708000
1597,28700000
1598,28715000
1599,28700000
1600,28715000
1601,28726000
1602,28711000
1603,28714000
1604,28703000
1605,28710000
1606,28722000
1607,28711000
1608,28717000
1609,28706000
1610,28711000
1611,28693000
1612,28696000
1613,28700000
1614,28715000
1615,28711000
1616,28717000
1617,28703000
1618,28717000
1619,28703000
1620,28713000
1621,28719000
1622,28708000
1623,28706000
1624,28711000
1625,28715000
1626,28721000
1627,28719000
1628,28711000
1629,28712000
1630,28715000
1631,28726000
1632,28715000
1633,28708000
1634,28711000
1635,28708000
1636,28715000
1637,28712000
1638,28722000
1639,28720000
1640,28719000
1641,28711000
1642,28712000
1643,28704000
1644,28711000
1645,28718000
1646,28716000
1647,28704000
1648,28711000
1649,28711000
1650,28722000
1651,28703000
1652,28708000
1653,28707000
1654,28715000
1655,28718000
1656,28719000
1657,28707000
1658,28708000
1659,28729000
1660,28741000
1661,28715000
1662,28708000
1663,28703000
1664,28722000
1665,28710000
1666,28716000
1667,28711000
1668,28711000
1669,28711000
1670,28711000
1671,28704000
1672,28704000
1673,28702000
1674,28702000
1675,28705000
1676,28702000
1677,28708000
1678,28699000
1679,28710000
1680,28707000
1681,28726000
1682,28714000
1683,28710000
1684,28686000
1685,28722000
1686,28716000
1687,28714000
1688,28708000
1689,28714000
1690,28718000
1691,28711000
1692,28710000
1693,28699000
1694,28711000
1695,28706000
1696,28710000
1697,28706000
1698,28711000
1699,28700000
1700,28710000
1701,28715000
