seq,latency_h2h_ns
0,275150
1,242740
2,321415
3,712497
4,605461
5,548978
6,541853
7,546716
8,1068457
9,784468
10,660882
11,574940
12,556151
13,912124
14,710631
15,579631
16,537600
17,845082
18,795537
19,579382
20,497464
21,622144
22,544668
23,712762
24,686322
25,688110
26,550327
27,537224
28,509327
29,856209
30,1136113
31,783297
32,707113
33,456427
34,611027
35,584545
36,826026
37,871208
38,700198
39,530201
40,472980
41,550895
42,625290
43,505529
44,485522
45,409756
46,592987
47,841840
48,738234
49,549968
50,455008
51,573359
52,478701
53,526979
54,404227
55,404409
56,397052
57,562165
58,512084
59,491017
60,493500
61,455650
62,510093
63,533352
64,386298
65,301394
66,460987
67,308114
68,471294
69,483623
70,466442
71,476516
72,488439
73,442042
74,432654
75,455523
76,307660
77,464900
78,445061
79,487974
80,464305
81,356992
82,461211
83,469505
84,335439
85,349209
86,460757
87,353954
88,558972
89,482007
90,404526
91,504482
92,594153
93,550602
94,531299
95,921908
96,1119740
97,1147268
98,859904
99,1348742
100,1154458
101,1123615
102,951892
103,878345
104,1075908
105,1104430
106,974629
107,866626
108,1090873
109,1184717
110,937578
111,1089206
112,1096544
113,1099880
114,1185442
115,868789
116,1087856
117,1044262
118,971283
119,1095709
120,1071309
121,1004491
122,1311425
123,899552
124,911826
125,1138270
126,1115048
127,980242
128,705808
129,1094411
130,1186233
131,1110462
132,966224
133,913882
134,1269275
135,1194912
136,940912
137,1010160
138,1195975
139,1091639
140,1066041
141,972541
142,943442
143,981008
144,1190685
145,926845
146,847790
147,1194436
148,1106488
149,873162
150,785937
151,647298
152,424713
153,752962
154,538378
155,1142561
156,742906
157,672977
158,530370
159,304421
160,365339
161,522319
162,735052
163,716735
164,541231
165,570800
166,530346
167,451781
168,484278
169,584019
170,372786
171,603504
172,966952
173,566538
174,674368
175,380368
176,587482
177,514283
178,463035
179,494123
180,466985
181,313755
182,493438
183,501007
184,489945
185,463012
186,470814
187,403258
188,1018580
189,599675
190,632225
191,431515
192,368848
193,553347
194,566273
195,494672
196,365428
197,518697
198,361574
199,614046
200,480936
201,479115
202,339900
203,448074
204,517276
205,318798
206,479674
207,489089
208,497230
209,465454
210,312491
211,481320
212,484854
213,450201
214,1066618
215,931337
216,1213090
217,1093918
218,973987
219,857765
220,1058724
221,856282
222,954593
223,1195894
224,1062298
225,1041750
226,1029266
227,1006958
228,681448
229,1190919
230,1098355
231,889817
232,1129931
233,1213043
234,850611
235,1101778
236,878030
237,1080007
238,1262217
239,858399
240,1012025
241,906094
242,1106149
243,1156861
244,1095437
245,1078507
246,963477
247,868427
248,850982
249,1300858
250,1058818
251,933814
252,1078771
253,1185617
254,1094062
255,1275663
256,1077313
257,1074549
258,861938
259,1059531
260,1002117
261,562424
262,556217
263,1213981
264,1080941
265,1082717
266,873087
267,951621
268,873252
269,891932
270,843715
271,1061434
272,1068244
273,978860
274,952590
275,1063576
276,1097187
277,848186
278,910458
279,932563
280,939891
281,894062
282,1104793
283,919667
284,1187755
285,1160183
286,1006842
287,1096304
288,978843
289,1106739
290,1081596
291,976661
292,1062253
293,1105604
294,936014
295,1154092
296,711499
297,1206724
298,1198649
299,1406026
300,1182176
301,818523
302,896389
303,952108
304,1100868
305,1228953
306,961833
307,927284
308,891146
309,1106923
310,1197972
311,944782
312,1018150
313,947266
314,985590
315,1101541
316,1185696
317,1047274
318,834139
319,852721
320,1087116
321,890999
322,1083495
323,1295933
324,1042581
325,995085
326,856484
327,969612
328,662074
329,542990
330,1224432
331,1050276
332,1157410
333,1209980
334,1190145
335,1096041
336,807415
337,891336
338,870590
339,1090683
340,1220733
341,951228
342,961846
343,1140908
344,1193765
345,1089360
346,1090969
347,968602
348,1103319
349,1034338
350,974903
351,1088183
352,1089194
353,934713
354,1030788
355,1158400
356,969974
357,1061234
358,797641
359,1084543
360,1141831
361,1082825
362,1059634
363,1187866
364,1101018
365,988085
366,1118595
367,890298
368,981876
369,921840
370,1084148
371,1103902
372,862261
373,1220002
374,1003370
375,1077701
376,1147985
377,1064703
378,725459
379,742047
380,245307
381,781420
382,559053
383,588146
384,991391
385,757758
386,639565
387,569537
388,438687
389,574384
390,353077
391,479340
392,498214
393,481835
394,480614
395,543604
396,487387
397,326856
398,522640
399,670886
400,500978
401,470081
402,408894
403,415771
404,576865
405,517491
406,370815
407,371080
408,538047
409,503939
410,468832
411,529886
412,518435
413,451325
414,1173863
415,1103088
416,1047364
417,879299
418,871151
419,1181853
420,934603
421,1030457
422,1147030
423,1262358
424,1157109
425,974462
426,939250
427,858746
428,538794
429,585469
430,1098660
431,1210566
432,911748
433,1102368
434,1273391
435,1086274
436,879107
437,859323
438,856913
439,1149615
440,1104637
441,934447
442,827686
443,1054955
444,1087643
445,1078591
446,1051300
447,844650
448,1109886
449,954520
450,977965
451,1020779
452,845359
453,944574
454,1232503
455,1099844
456,1205051
457,846960
458,1060121
459,1118687
460,1068671
461,1056028
462,882572
463,1068624
464,910703
465,1069741
466,1127724
