seq,rtt_m2h_ns
137,65666000
139,13567000
140,13567000
141,13568000
142,13567000
143,13563000
144,13567000
145,13566000
146,13665000
147,13558000
148,13587000
149,13564000
150,13579000
151,13569000
152,13575000
153,13559000
154,13579000
155,13567000
156,13555000
157,13572000
158,13567000
159,13571000
160,13584000
161,13575000
162,13571000
163,13564000
164,13583000
165,13559000
166,13575000
167,13563000
168,13571000
169,13564000
170,13575000
171,13641000
172,13559000
173,13559000
174,13575000
175,13563000
176,13575000
177,13570000
178,13579000
179,13576000
180,13571000
181,13559000
182,13579000
183,12563000
184,13576000
185,13564000
186,13571000
187,13551000
188,13580000
189,13563000
190,13576000
191,13654000
192,13571000
193,13564000
194,13576000
195,13555000
196,13571000
197,13568000
198,13583000
199,13575000
200,13576000
201,13559000
202,13575000
203,13567000
204,13583000
205,13560000
206,13575000
207,13564000
208,13579000
209,13559000
210,13571000
211,13649000
212,13571000
213,13555000
214,13575000
215,13555000
216,13575000
217,13563000
218,13579000
219,13559000
220,13572000
221,13567000
222,13582000
223,13571000
224,13579000
225,13583000
226,13583000
227,13566000
228,13604000
229,13587000
230,13591000
231,13581000
232,13568000
233,13564000
234,13576000
235,13560000
236,13602000
237,13580000
238,13587000
239,13579000
240,13577000
241,13571000
242,13584000
243,13575000
244,13571000
245,13563000
246,13579000
247,13563000
248,13579000
249,13568000
250,13583000
251,13645000
252,13658000
253,13630000
254,13586000
255,13564000
256,13559000
257,13564000
258,13576000
259,13564000
260,13567000
261,13563000
262,12571000
263,12555000
264,13674000
265,13563000
266,13576000
267,13559000
268,13583000
269,13571000
270,13575000
271,13666000
272,13579000
273,13570000
274,13585000
275,13563000
276,13579000
277,13572000
278,13571000
279,12571000
280,13588000
281,13574000
282,13567000
283,13576000
284,13575000
285,13551000
286,13587000
287,13566000
288,13579000
289,13559000
290,13575000
291,13649000
292,13583000
293,13567000
294,13590000
295,13582000
296,13579000
297,13567000
298,13579000
299,13567000
300,13575000
301,13560000
302,13571000
303,13555000
304,13572000
305,13577000
306,13575000
307,13558000
308,13585000
309,13563000
310,13560000
311,13658000
312,13579000
313,13567000
314,15680000
315,12552000
316,13575000
317,13561000
318,13583000
319,13555000
320,13600000
321,13567000
322,15577000
323,13564000
324,13567000
325,13552000
326,13592000
327,13571000
328,13575000
329,13564000
330,14576000
331,13552000
332,13588000
333,13555000
334,14572000
335,13563000
336,13587000
337,13564000
338,13583000
339,12555000
340,13571000
341,13567000
342,15581000
343,13563000
344,13591000
345,13551000
346,15584000
347,13563000
348,13588000
349,13559000
350,15581000
351,13638000
352,13584000
353,13555000
354,15588000
355,13556000
356,13579000
357,13555000
358,13932000
359,13555000
360,13587000
361,13559000
362,15576000
363,13547000
364,13576000
365,13552000
366,15584000
367,12572000
368,13575000
369,13552000
370,15597000
371,13649000
372,13591000
373,13559000
374,14588000
375,13559000
376,13579000
377,13563000
378,14593000
379,13551000
380,13583000
381,13560000
382,15601000
383,13556000
384,13568000
385,13547000
386,15581000
387,13556000
388,13576000
389,13556000
390,15589000
391,13638000
392,13580000
393,13560000
394,15584000
395,13547000
396,13674000
397,13552000
398,14580000
399,13560000
400,13587000
401,13563000
402,15593000
403,13555000
404,13590000
405,13573000
406,14592000
407,13555000
408,13584000
409,13559000
410,14580000
411,13556000
412,13583000
413,13551000
414,14572000
415,13551000
416,13563000
417,13555000
418,15580000
419,13552000
420,13575000
421,13551000
422,15589000
423,13567000
424,13575000
425,13560000
426,15576000
427,11879000
428,13588000
429,13556000
430,15572000
431,13642000
432,13591000
433,13555000
434,14593000
435,13552000
436,13571000
437,13551000
438,15593000
439,13551000
440,13579000
441,13658000
442,14588000
443,13547000
444,13582000
445,13556000
446,15564000
447,13552000
448,13579000
449,13548000
450,15589000
451,13650000
452,13587000
453,13556000
454,14581000
455,13571000
456,13591000
457,13565000
458,15588000
459,13551000
460,13600000
461,13559000
462,15584000
463,13568000
464,13579000
465,13556000
466,15593000
467,13555000
468,13587000
469,13559000
470,15592000
471,13641000
472,12592000
473,13560000
474,15588000
475,13547000
476,13564000
477,13544000
478,15584000
479,13548000
480,13571000
481,13560000
482,15592000
483,13576000
484,13591000
485,13564000
486,13620000
487,12575000
488,13578000
489,13565000
490,13613000
491,13633000
492,13584000
493,13547000
494,15565000
495,13551000
496,13583000
497,13563000
498,13632000
499,13567000
500,13579000
501,13556000
502,13631000
503,13564000
504,13572000
505,13576000
506,13583000
507,13568000
508,13673000
509,13621000
510,13596000
511,13564000
512,13591000
513,13563000
514,13575000
515,13564000
516,13571000
517,13551000
518,13592000
519,13576000
520,13571000
521,13564000
522,13571000
523,13543000
524,13581000
525,13555000
526,13571000
527,13552000
528,13575000
529,13551000
530,13572000
531,13645000
532,13579000
533,13551000
534,13579000
535,13555000
536,13571000
537,13555000
538,13576000
539,13551000
540,13579000
541,13563000
542,13587000
543,13547000
544,13588000
545,13559000
546,13583000
547,13564000
548,13584000
549,13560000
550,13599000
551,13645000
552,13579000
553,13568000
554,13579000
555,13552000
556,13588000
557,13560000
558,13560000
559,13552000
560,13575000
561,13567000
562,13587000
563,13551000
564,13586000
565,13559000
566,13583000
567,12555000
568,13575000
569,13658000
570,13575000
571,13625000
572,13579000
573,13559000
574,13571000
575,13559000
576,13580000
577,13551000
578,13575000
579,13568000
580,13579000
581,13575000
582,13600000
583,13566000
584,13568000
585,13556000
586,13580000
587,13551000
588,13603000
589,13563000
590,13594000
591,13580000
592,13584000
593,13563000
594,13584000
595,13559000
596,13563000
597,13548000
598,13588000
599,13555000
600,13572000
601,13571000
602,13591000
603,13563000
604,13583000
605,13555000
606,13571000
607,13552000
608,13571000
609,13567000
610,13584000
611,13559000
612,13576000
613,13551000
614,13579000
615,13560000
616,13584000
617,13547000
618,13581000
619,13559000
620,13563000
621,13575000
622,13563000
623,13543000
624,13585000
625,13564000
626,13571000
627,13568000
628,13580000
629,13563000
630,13593000
631,13665000
632,12588000
633,13576000
634,13592000
635,13568000
636,13580000
637,13559000
638,13595000
639,13567000
640,13575000
641,13551000
642,13571000
643,13547000
644,13576000
645,13551000
646,13571000
647,13556000
648,13579000
649,13543000
650,13568000
651,13650000
652,13575000
653,13555000
654,13571000
655,13567000
656,13583000
657,13555000
658,13592000
659,13567000
660,13579000
661,13584000
662,13579000
663,13559000
664,13592000
665,13563000
666,13583000
667,12579000
668,13579000
669,13559000
670,13589000
671,12568000
672,13592000
673,13576000
674,13583000
675,13559000
676,13583000
677,13563000
678,13571000
679,13579000
680,13575000
681,13563000
682,13563000
683,13556000
684,13584000
685,13555000
686,13583000
687,13555000
688,13580000
689,13563000
690,13567000
691,13564000
692,13580000
693,13551000
694,13579000
695,13573000
696,13576000
697,13547000
698,13584000
699,13555000
700,13571000
701,13569000
702,13568000
703,13559000
704,13591000
705,13567000
706,13584000
707,13564000
708,13580000
709,13559000
710,13592000
711,13559000
712,13570000
713,13543000
714,13576000
715,13556000
716,13580000
717,13551000
718,13575000
719,13556000
720,13567000
721,13560000
722,13575000
723,13551000
724,13571000
725,13556000
726,13571000
727,12642000
728,13579000
729,13559000
730,13579000
731,13547000
732,13572000
733,13551000
734,13568000
735,13569000
736,13579000
737,13548000
738,13588000
739,13559000
740,13579000
741,13568000
742,13583000
743,13575000
744,13580000
745,12548000
746,13563000
747,13560000
748,13572000
749,13560000
750,13575000
751,12552000
752,13575000
753,13564000
754,13575000
755,13556000
756,13579000
757,13540000
758,13564000
759,13551000
760,13571000
761,13567000
762,13584000
763,13571000
764,13666000
765,13638000
766,13580000
767,13559000
768,13571000
769,13564000
770,13555000
771,13547000
772,13581000
773,13547000
774,13575000
775,13579000
776,13580000
777,13552000
778,13584000
779,13560000
780,13576000
781,13572000
782,13575000
783,13555000
784,13581000
785,13559000
786,13575000
787,12551000
788,13567000
789,13548000
790,13567000
791,13551000
792,13571000
793,13556000
794,13564000
795,13556000
796,13575000
797,13556000
798,13579000
799,13555000
800,13571000
801,13543000
802,13579000
803,13567000
804,13575000
805,13560000
806,13601000
807,12567000
808,13579000
809,13569000
810,13584000
811,13556000
812,13588000
813,13551000
814,13572000
815,13556000
816,13571000
