seq,latency_m2m_ns,callback_jitter,publish_jitter
154,9096000,49772000,264000
155,9897000,50797000,257000
156,9305000,49412000,257000
157,9836000,50527000,269000
158,9445000,49613000,264000
159,9928000,50479000,264000
160,9386000,49462000,264000
161,10130000,50740000,273000
162,9400000,49274000,261000
163,9524000,50120000,269000
164,9885000,50365000,264000
165,9872000,49983000,261000
166,9957000,50088000,268000
167,9643000,49683000,265000
168,9901000,50262000,253000
169,10001000,50096000,272000
170,9552000,49555000,253000
171,10082000,50526000,268000
172,9220000,49142000,264000
173,10013000,50789000,269000
174,10198000,50189000,268000
175,9949000,49746000,264000
176,9997000,50053000,264000
177,9957000,49956000,269000
178,10074000,50121000,256000
179,9961000,49883000,272000
180,10001000,50044000,261000
181,9976000,49971000,257000
182,9722000,49750000,256000
183,9432000,49706000,265000
184,9944000,50515000,253000
185,10005000,50058000,261000
186,10005000,50004000,248000
187,9436000,49427000,269000
188,10017000,50585000,264000
189,10009000,49988000,265000
190,10026000,50020000,260000
191,9851000,49822000,269000
192,10034000,50187000,260000
193,9993000,49954000,265000
194,9827000,49838000,268000
195,9650000,49820000,268000
196,10184000,50538000,260000
197,10083000,49895000,269000
198,9993000,49913000,268000
199,9809000,49813000,272000
200,9785000,49980000,257000
201,9881000,50092000,268000
202,9928000,50051000,264000
203,10172000,50240000,261000
204,9993000,49824000,264000
205,9891000,49894000,257000
206,9930000,50044000,257000
207,9752000,49818000,268000
208,9794000,50045000,257000
209,9918000,50120000,261000
210,9876000,49963000,256000
211,9934000,50054000,269000
212,10009000,50079000,264000
213,9633000,49619000,268000
214,9186000,49558000,260000
215,9655000,50465000,261000
216,9404000,49753000,260000
217,9511000,50102000,268000
218,10102000,50595000,257000
219,9993000,49887000,273000
220,9678000,49690000,264000
221,10009000,50327000,272000
222,10115000,50109000,264000
223,10009000,49891000,265000
224,9993000,49987000,268000
225,9868000,49872000,261000
226,9917000,50053000,257000
227,9881000,49960000,261000
228,9937000,50060000,252000
229,10097000,50155000,261000
230,9571000,49478000,261000
231,9408000,49833000,269000
232,10202000,50799000,260000
233,9831000,49624000,268000
234,9868000,50042000,260000
235,9851000,49978000,265000
236,9868000,50022000,257000
237,9852000,49980000,269000
238,10009000,50161000,260000
239,9989000,49975000,265000
240,9810000,49826000,260000
241,9940000,50126000,264000
242,9961000,50025000,265000
243,9934000,49969000,269000
244,9967000,50036000,261000
245,9931000,49961000,273000
246,9971000,50043000,260000
247,9304000,49330000,269000
248,9980000,50680000,260000
249,10009000,50025000,268000
250,10127000,50122000,256000
251,10152000,50021000,268000
252,9993000,49844000,252000
253,9953000,49956000,272000
254,9735000,49787000,260000
255,9957000,50218000,276000
256,10065000,50112000,260000
257,9467000,49398000,269000
258,9936000,50473000,252000
259,9971000,50030000,265000
260,9652000,49685000,260000
261,9840000,50185000,261000
262,9872000,50036000,261000
263,9993000,50116000,261000
264,9815000,49826000,256000
265,9928000,50109000,265000
266,9957000,50033000,260000
267,10152000,50192000,261000
268,9953000,49804000,264000
269,9923000,49966000,276000
270,9967000,50048000,253000
271,9577000,49607000,276000
272,9418000,49845000,253000
273,10009000,50587000,261000
274,9562000,49557000,256000
275,9940000,50374000,268000
276,10001000,50065000,264000
277,9876000,49871000,272000
278,9997000,50125000,261000
279,9949000,49947000,269000
280,9953000,50008000,249000
281,9891000,49935000,268000
282,9856000,49969000,256000
283,9976000,50116000,249000
284,9860000,49888000,260000
285,9897000,50033000,268000
286,9938000,50045000,260000
287,9844000,49902000,257000
288,9944000,50103000,256000
289,9928000,49981000,272000
290,9602000,49677000,252000
291,9860000,50255000,257000
292,9815000,49958000,252000
293,9868000,50050000,265000
294,9961000,50097000,260000
295,9993000,50027000,269000
296,9971000,49982000,257000
297,9937000,49963000,265000
298,9756000,49823000,260000
299,9940000,50180000,269000
300,9621000,49684000,260000
301,9945000,50320000,269000
302,10001000,50061000,264000
303,10172000,50167000,264000
304,10065000,49897000,264000
305,9473000,49403000,265000
306,9856000,50388000,268000
307,9471000,49610000,265000
308,10139000,50673000,272000
309,9823000,49679000,272000
310,10072000,50254000,260000
311,9551000,49475000,268000
312,9872000,50325000,264000
313,9922000,50046000,253000
314,9943000,50025000,260000
315,9852000,49905000,269000
316,9880000,50032000,253000
