seq,latency_m2m_ns,callback_jitter,publish_jitter
153,14585000,51995000,12064000
154,12577000,47992000,10354000
155,12589000,50013000,10390000
156,13589000,50999000,11060000
157,14596000,51007000,12771000
158,13581000,48986000,11052000
159,23001000,59420000,11490000
160,13612000,40607000,11277000
161,15612000,52000000,13056000
162,13584000,47980000,11072000
163,12595000,49007000,10632000
164,13593000,50997000,11088000
165,15592000,52000000,12854000
166,13572000,47984000,11070000
167,13596000,50020000,11261000
168,13604000,50008000,11080000
169,15611000,52007000,12861000
170,12585000,46978000,10810000
171,13593000,50999000,11158000
172,13599000,50007000,11035000
173,14596000,50997000,12821000
174,12589000,47992000,10688000
175,13595000,51007000,11081000
176,23001000,59406000,11576000
177,15589000,42588000,12904000
178,11924000,46339000,10831000
179,13593000,51664000,11166000
180,13592000,50000000,10849000
181,13937000,50345000,12840000
182,12593000,48655000,10565000
183,13597000,51005000,11165000
184,13595000,49998000,11200000
185,15612000,52017000,13191000
186,12573000,46965000,10725000
187,12603000,50026000,10418000
188,13585000,50982000,11153000
189,13620000,50035000,11187000
190,13599000,49979000,11146000
191,13593000,49993000,11136000
192,13592000,50000000,11167000
193,13593000,50001000,11128000
194,13581000,49987000,11082000
195,13597000,50016000,10865000
196,13592000,49996000,11105000
197,12581000,48988000,10805000
198,13589000,51009000,11104000
199,12589000,49000000,10656000
200,13589000,50999000,11041000
201,13593000,50004000,11155000
202,12592000,49000000,10629000
203,13597000,51004000,11017000
204,12585000,48988000,10632000
205,13577000,50992000,11158000
206,13597000,50020000,11111000
207,13597000,50001000,11164000
208,13589000,49991000,11144000
209,12589000,49001000,10632000
210,13589000,50999000,11059000
211,13593000,50004000,11031000
212,13585000,49992000,11154000
213,12588000,49004000,10345000
214,12584000,49997000,10585000
215,13593000,51008000,11124000
216,12601000,49007000,10451000
217,13581000,50980000,11061000
218,13585000,50005000,11082000
219,13593000,50007000,11064000
220,13589000,49997000,11013000
221,13587000,49998000,11136000
222,13577000,49990000,11082000
223,13580000,50003000,11067000
224,13595000,50015000,11105000
225,13597000,50001000,11085000
226,12597000,49001000,10684000
227,13589000,50991000,11088000
228,13589000,50000000,11053000
229,13589000,50000000,11158000
230,12589000,49001000,10641000
231,13577000,50988000,11093000
232,13592000,50015000,11060000
233,12585000,48992000,10681000
234,13588000,51004000,10984000
235,13589000,50001000,11095000
236,13599000,50010000,11078000
237,13580000,49981000,11171000
238,13581000,50000000,11080000
