seq,rtt_m2h_ns
387,10655000
388,9562000
389,9824000
390,10290000
391,10257000
392,10144000
393,10387000
394,10387000
395,10221000
396,10295000
397,10061000
398,10195000
399,10369000
400,10164000
401,10192000
402,9991000
403,10307000
404,10246000
405,10286000
406,10213000
407,10061000
408,10273000
409,10304000
410,10162000
411,10205000
412,10149000
413,10199000
414,10405000
415,10239000
416,10232000
417,10271000
418,10424000
419,10118000
420,9964000
421,9871000
422,10022000
423,9927000
424,9919000
425,9904000
426,9904000
427,9883000
428,9943000
429,9995000
430,10195000
431,9880000
432,9767000
433,9882000
434,10081000
435,9848000
436,9979000
437,10377000
438,10292000
439,10271000
440,10202000
441,10325000
442,10157000
443,10313000
444,10210000
445,10212000
446,10199000
447,10066000
448,10022000
449,10038000
450,10074000
451,10065000
452,10043000
453,10073000
454,10150000
455,10100000
456,9990000
457,10132000
458,10032000
459,10048000
460,10073000
461,10015000
462,10063000
463,10065000
464,10098000
465,10106000
466,10073000
467,10073000
468,10191000
469,10065000
470,10029000
471,10009000
472,10200000
473,10206000
474,10035000
475,10171000
476,9943000
477,9887000
478,9857000
479,9788000
480,9984000
481,9874000
482,9858000
483,9844000
484,10027000
485,9813000
486,9859000
487,10070000
488,10045000
489,10035000
490,10079000
491,10071000
492,10198000
493,10062000
494,10157000
495,9896000
496,9876000
497,9856000
498,9912000
499,9839000
500,9896000
501,9874000
502,9800000
503,9788000
504,9840000
505,9822000
506,9875000
507,9796000
508,9780000
509,9869000
510,9869000
511,9775000
512,10050000
513,9989000
514,9863000
515,9840000
516,9835000
517,9883000
518,9812000
519,9796000
520,9922000
521,9816000
522,9839000
523,9812000
524,9881000
525,9848000
526,9868000
527,9826000
528,9891000
529,9863000
530,9878000
531,9831000
532,9844000
533,9804000
534,9829000
535,9863000
536,9866000
537,9767000
538,9874000
539,9771000
540,9975000
541,9776000
542,9816000
543,9862000
544,9791000
545,9838000
546,9852000
547,9804000
548,10081000
549,10065000
550,10198000
551,10021000
552,10024000
553,10069000
554,10210000
555,10056000
556,10043000
557,10084000
558,9878000
559,9992000
560,9988000
561,9896000
562,9959000
563,9955000
564,10003000
565,9988000
566,9914000
567,9892000
568,9886000
569,9931000
570,9926000
571,9908000
572,9908000
573,9955000
574,9939000
575,9927000
576,9922000
577,9914000
578,9827000
579,9825000
580,9870000
581,9784000
582,9775000
583,9839000
584,9817000
585,9886000
586,9792000
587,10001000
588,9971000
589,9976000
590,10023000
591,10009000
592,9980000
593,9988000
594,9968000
595,9972000
596,10005000
597,10011000
598,9984000
599,9979000
600,10023000
601,9943000
602,9923000
603,9993000
604,9956000
605,9964000
606,9935000
607,10016000
608,9906000
609,9984000
610,9955000
611,10039000
612,10004000
613,10167000
614,9980000
615,9988000
616,9956000
617,10037000
618,10075000
619,9939000
620,9910000
621,10024000
622,10014000
623,9939000
624,9996000
625,10062000
626,9968000
627,10044000
628,9931000
629,9931000
630,9993000
631,9964000
632,10034000
633,9943000
634,9931000
635,9996000
636,9918000
637,9972000
638,9951000
639,10033000
640,9996000
641,9980000
642,9988000
643,10040000
644,9964000
645,9927000
646,10001000
647,9984000
648,10062000
649,9879000
650,9753000
651,9866000
652,9943000
653,9836000
654,9762000
655,9899000
656,9792000
657,9788000
658,9713000
659,9911000
660,9943000
661,9759000
662,9725000
663,9853000
664,9713000
665,9891000
666,9721000
667,9728000
668,9891000
669,9744000
670,9762000
671,9804000
672,9754000
673,9930000
674,9762000
675,9771000
676,9840000
677,9743000
678,9874000
679,9713000
680,9857000
681,9746000
682,9832000
683,9727000
684,10027000
685,9743000
686,9743000
687,9746000
688,9820000
689,9732000
690,9857000
691,9759000
692,9751000
693,9878000
694,9767000
695,9784000
696,9704000
697,9845000
698,9821000
699,9808000
700,9792000
701,9767000
702,9696000
703,9832000
704,9737000
705,9795000
706,9771000
707,9759000
708,9828000
709,9730000
710,9882000
711,9742000
712,9783000
713,9775000
714,9762000
715,9882000
716,9763000
717,9800000
718,9696000
719,9851000
720,9739000
721,9824000
722,9788000
723,9705000
724,9832000
725,9763000
726,10083000
727,9972000
728,9951000
