seq,rtt_h2m_ns
0,666078643
1,30101394
2,10574649
3,10766968
4,11387094
5,11246458
6,10274767
7,11007132
8,11541529
9,11382589
10,11042683
11,10984775
12,11042071
13,11436113
14,11006608
15,11344964
16,11036685
17,11088627
18,11191351
19,10862658
20,11191005
21,11226350
22,11086401
23,11153458
24,11493994
25,11054715
26,11392116
27,10987909
28,11291963
29,11322642
30,11148784
31,11383791
32,11562682
33,11606320
34,10887248
35,11309770
36,11683282
37,11163702
38,11165677
39,10993540
40,11137620
41,11129469
42,11205223
43,11174222
44,11307446
45,11174962
46,11252214
47,10417465
48,9942992
49,11083488
50,10230129
51,10451867
52,11155006
53,11084666
54,11053592
55,11036589
56,11505605
57,11526336
58,11606574
59,11102382
60,11099034
61,11430369
62,11454884
63,11386113
64,11412200
65,11169897
66,11251009
67,11005025
68,10336222
69,11056432
70,11285536
71,11088951
72,10376749
73,11438210
74,11604766
75,11008180
76,10203329
77,11264394
78,10692780
79,11268231
80,11162206
81,10545265
82,10989720
83,10787928
84,11143060
85,11219518
86,10788761
87,10825864
88,11082937
89,11303307
90,11113492
91,11480567
92,11341277
93,11111951
94,11487415
95,10977236
96,11187529
97,11083263
98,11194203
99,10947426
100,11021659
101,10982797
102,10873160
103,11178830
104,11059725
105,11203057
106,10076818
107,10840172
108,11030315
109,10165123
110,11150193
111,10964762
112,10919113
113,11287403
114,10883030
115,11105550
116,11594283
117,11321860
118,11057674
119,11097600
120,11086648
121,11278432
122,11096331
123,11152955
124,11127439
125,11136704
126,11246282
127,10747267
128,11401189
129,11410994
130,11141891
131,11173058
132,11126825
133,11409196
134,11138293
135,11027575
136,10061646
137,11314642
138,11271094
139,11143010
140,11101885
141,11179667
142,11004917
143,11171761
144,11002555
145,13022073
146,11067157
147,11151340
148,11211715
149,11130651
150,11200485
151,11057163
152,11067790
153,11216979
154,11195961
155,11361096
156,10834477
157,11043509
158,11085859
159,10991123
160,11162710
161,10879688
162,11327144
163,11263966
164,11254123
165,11129676
166,11206006
167,10895837
168,11447838
169,11271555
170,11300479
171,11095277
172,11193243
173,13334609
174,11140675
175,11276344
176,11155380
177,13438922
178,11111328
179,11353693
180,11111853
181,13120010
182,11131596
