seq,latency_h2h_ns
0,296197
1,107081
2,124077
3,119274
4,111143
5,146845
6,133583
7,114991
8,211682
9,224021
10,243357
11,250249
12,256008
13,257757
14,272090
15,431121
16,344144
17,334024
18,307602
19,223567
20,201834
21,235727
22,221864
23,239498
24,248829
25,248166
26,271139
27,274640
28,269752
29,268573
30,265876
31,270399
32,264990
33,277398
34,275189
35,527184
36,484617
37,332424
38,308719
39,317212
40,413384
41,295231
42,287772
43,159238
44,208507
45,274245
46,213538
47,228479
48,247651
49,257557
50,262640
51,265579
52,269028
53,288260
54,274373
55,484942
56,318041
57,333521
58,315020
59,278818
60,263346
61,428572
62,869730
63,591981
64,445729
65,368764
66,376613
67,278997
68,262452
69,252929
70,254541
71,249039
72,274617
73,257400
74,243464
75,249505
76,266592
77,679516
78,525541
79,385162
80,356945
81,326322
82,408323
83,168286
84,190455
85,207740
86,227181
87,233482
88,249455
89,454367
90,389980
91,358269
92,326856
93,305773
94,291617
95,406469
96,434660
97,346415
98,300029
99,327333
100,286694
101,287855
102,286936
103,284363
104,412606
105,438864
106,283969
107,281650
108,288049
109,264033
110,413713
111,438939
112,435120
113,302257
114,270534
115,189549
116,166451
117,257272
118,200971
119,213203
120,470546
121,312234
122,303006
123,324993
124,431810
125,440166
126,297618
127,281612
128,274686
129,278752
130,278204
131,276093
132,271687
133,274017
134,394526
135,428451
136,427473
137,286341
138,261257
139,274387
140,271729
141,274794
142,276545
143,271704
144,283962
145,275332
146,151938
147,177082
148,279029
149,217325
150,500105
151,319810
152,315075
153,289757
154,313479
155,287362
156,274793
157,289666
158,305550
159,266800
160,162146
161,205685
162,207881
163,222928
164,472075
165,327469
166,335784
167,319709
168,337339
169,385297
170,450827
171,413656
172,292351
173,342145
174,315602
175,285963
176,291037
177,288496
178,412537
179,478675
180,300007
181,291525
182,721113
183,584604
184,479854
185,373500
186,341711
187,310518
188,282729
189,279957
190,277202
191,541746
192,365000
193,337672
194,323181
195,311007
196,382869
197,435098
198,401797
199,357437
200,283013
201,277264
202,277348
203,275039
204,406083
205,427646
206,438633
207,436537
208,432422
209,291288
210,283027
211,280441
212,263781
213,409475
214,432337
215,430360
216,273695
217,290430
218,277677
219,273154
220,275128
221,273929
222,274941
223,277701
224,260244
225,399600
226,410167
227,292610
228,288739
229,292539
230,406078
231,430898
232,427822
233,429168
234,431397
235,285536
236,279514
237,274843
238,412821
239,429891
240,430584
241,430264
242,427241
243,292575
244,276363
245,276571
246,277186
247,276580
248,275701
249,407826
250,428075
251,435932
252,426994
253,429890
254,425104
255,430928
256,277792
257,285860
258,288846
259,293489
260,413872
261,430198
262,425492
263,428129
264,290203
265,264865
266,418073
267,428698
268,429934
269,430404
270,434751
271,427496
272,429826
273,429670
274,430137
275,429163
276,429542
277,450522
278,436185
279,305362
280,279135
281,303501
282,277191
283,302074
284,418503
285,401015
286,429578
287,271425
288,271941
289,278508
290,296618
291,275943
292,274469
293,279239
294,275539
295,276761
296,413679
297,432716
298,430222
299,504456
300,450094
301,290163
302,277052
303,279783
304,276431
305,278105
306,410458
307,428736
308,430643
309,428290
310,435326
311,430998
312,441385
313,277655
314,287250
315,141920
316,171152
317,189863
318,214131
319,233112
320,247339
321,414387
322,330240
323,319365
324,303072
325,455729
326,276149
327,288072
328,267179
329,279217
330,275685
331,404342
332,289555
333,277843
334,276994
335,278445
336,275122
337,274520
338,278226
339,277465
340,395493
341,425115
342,287199
343,275293
344,261301
345,372644
346,287494
347,286697
348,307727
349,439400
350,457584
351,432841
352,421644
353,426697
354,440002
355,463064
356,302607
357,307447
358,276689
359,275175
360,285112
361,313351
362,408098
363,433185
364,436218
365,418895
366,429675
367,275667
368,291613
369,289342
370,280012
371,277721
372,278643
373,278740
374,410352
375,427582
376,434334
377,431165
378,437909
379,427832
380,425894
381,431590
382,384875
383,285981
384,292213
385,292331
386,277791
387,278510
388,280424
389,278322
390,421574
391,426552
392,427275
393,413810
394,290972
395,281044
396,280716
397,407451
398,430665
399,529968
400,409913
401,438104
402,440578
403,428365
404,290714
405,279463
406,275921
407,281575
408,272790
409,410627
410,434566
411,430115
412,431508
413,428425
414,426130
415,426570
416,442956
417,425455
418,431303
419,430814
420,425058
421,287290
422,279242
423,276420
424,275839
425,275850
426,408750
427,426700
428,427254
429,424667
430,437395
431,422682
432,432495
433,428959
434,410836
435,271488
436,277012
437,295540
438,436834
439,395541
440,423974
441,291019
442,273464
443,275481
444,275620
445,274241
446,271227
447,276310
448,273915
449,399021
450,427633
451,429527
452,407082
453,424049
454,429955
455,423707
456,383893
457,288873
458,280881
459,276391
460,410609
461,428073
462,289312
463,296935
464,276858
465,397188
466,429958
467,425016
468,433525
469,429426
470,434246
471,427576
472,430235
473,415172
474,286906
475,278909
476,280431
477,279963
478,277308
479,274890
480,405445
481,437368
482,437484
483,434462
484,430394
485,428078
486,434854
487,439292
488,293035
489,278210
490,280158
491,277660
492,276648
493,412818
494,430428
495,432684
496,291551
497,288501
498,280496
499,324266
500,398788
501,425647
502,444328
503,141508
504,280430
505,276601
506,274567
507,266280
508,275936
509,279317
510,278283
511,280575
512,400704
513,278980
514,277638
515,301111
516,278843
517,408841
518,403307
519,139778
520,164570
521,251950
522,200224
523,216188
524,227851
525,483281
526,344504
527,321317
528,310827
529,301190
530,297785
531,415469
532,400837
533,431143
534,290443
535,277788
536,275518
537,274623
538,277306
539,397252
540,424925
541,275902
542,276556
543,279967
544,277711
545,274624
546,421009
547,291868
548,275569
549,274653
550,279169
551,319292
552,415647
553,430199
554,431126
555,292273
556,275957
557,285703
558,278890
559,431587
560,260317
561,157108
562,142545
563,305542
564,218032
565,237488
566,486257
567,447608
568,437230
569,509506
570,303349
571,278972
572,278562
573,283791
574,402737
575,368978
576,290245
577,288649
578,281527
579,414777
580,433000
581,431693
582,289136
583,281010
584,281340
585,283751
586,283404
587,284209
588,281504
589,439807
590,428429
591,431392
592,435317
593,440637
594,446769
595,295732
596,300103
597,283399
598,734148
599,482174
600,243382
601,134608
602,164175
603,178921
604,190596
605,315841
606,360094
607,274250
608,267552
609,277552
610,451386
611,243055
612,287898
613,250424
614,355975
615,321411
616,325364
617,337086
618,320381
619,322999
620,314373
621,286230
622,424590
623,434892
624,156824
625,193220
626,646656
627,307072
628,271093
629,268574
630,265411
631,261583
632,262827
633,382158
634,254009
635,402934
636,320792
637,411952
638,389838
639,341449
640,339291
641,451325
642,464238
643,424665
644,433389
645,434830
646,287125
647,280374
648,277600
649,276245
650,280215
651,419654
652,429416
653,429791
654,429779
655,431225
656,432386
657,431592
658,432440
659,427842
660,433693
661,430633
662,452543
663,466609
664,452258
665,305972
666,302754
667,308769
668,274683
669,433991
670,408188
671,423100
672,421632
673,271904
674,262430
675,137527
676,154782
677,176349
678,202239
679,367078
680,314251
681,305305
682,308315
683,300316
684,275255
685,178453
686,201771
687,229685
688,237579
689,258541
690,263486
691,310965
692,391113
693,370615
694,354397
695,330645
696,443744
697,453424
698,414910
699,516559
700,399384
701,425617
702,434969
703,274959
704,278255
705,287697
706,293081
707,408565
708,296454
709,278905
710,280501
711,279174
712,275545
713,429462
714,432365
715,456962
716,423625
717,309622
718,304145
719,316155
720,307768
721,315946
722,432279
723,298454
724,278651
725,275392
726,279844
727,277756
728,413375
729,434474
730,429515
731,453734
732,430078
733,290048
734,280648
735,275797
736,405530
737,429091
738,434028
739,427497
740,434385
741,430370
742,450931
743,290209
744,290137
745,275676
746,139794
747,156070
748,181593
749,451920
750,318425
751,306352
752,293672
753,285090
754,283305
755,409896
756,288216
757,275685
758,288495
759,284936
760,282890
761,421248
762,431806
763,423279
764,274970
765,277712
766,262467
767,284095
768,278799
769,275395
770,281766
771,402773
772,423693
773,427227
774,275332
775,272976
776,278897
777,412068
778,427154
779,437519
780,424345
781,423605
782,424819
783,406194
784,445500
785,427895
786,443287
787,430637
788,441036
789,293732
790,281994
791,276701
792,276388
793,414201
794,292676
795,312221
796,314788
797,276911
798,270975
799,377996
800,259704
801,275109
802,270583
803,296369
804,278235
805,278336
806,405802
807,285962
808,288835
809,275127
810,282011
811,276110
812,276536
813,276779
814,407408
815,434086
816,429448
817,428634
818,424231
819,431761
820,430435
821,422905
822,296133
823,276635
824,273631
825,279542
826,274956
827,278259
828,410487
829,429803
830,432186
831,291532
832,282495
833,278407
834,278168
835,276166
836,278169
837,277648
838,278920
839,263826
840,261166
841,275515
842,279472
843,276320
844,275995
845,262795
846,405639
847,429299
848,437835
849,423599
850,423903
851,431382
852,430238
853,431413
854,428321
855,432572
856,428703
857,292565
858,275422
859,276718
860,274703
861,277356
862,277057
863,275155
864,275249
865,264721
866,276213
867,276456
868,420950
869,428612
870,430784
871,290953
872,293188
873,274313
874,279681
875,273823
876,278494
877,281942
878,398782
879,433965
880,433052
881,286515
882,277062
883,283250
884,441792
885,452372
886,455750
887,429146
888,314378
889,306747
890,276637
891,259198
892,260618
893,276157
894,276761
895,275548
896,273801
897,403143
898,431524
899,507357
900,436344
901,278321
902,281144
903,276735
904,402107
905,433799
906,438442
907,434856
908,432520
909,431261
910,431443
911,432843
912,436754
913,431342
914,443078
915,137681
916,162849
917,190660
918,210099
919,231085
920,241848
921,481387
922,479910
923,445200
924,425959
925,436261
926,436982
927,293852
928,278459
929,271779
930,289577
931,272802
932,293002
933,328443
934,405345
935,438767
936,426529
937,428750
938,433862
939,430038
940,427847
941,430997
942,430624
943,381677
944,273541
945,290243
946,289249
947,276478
948,276720
949,361403
950,288674
951,280243
952,317153
953,439386
954,403381
955,418924
956,293567
957,276195
958,279694
959,274194
960,277387
961,273934
962,263872
963,266072
964,277833
965,399864
966,434213
967,293052
968,278142
969,277664
970,402078
971,432580
972,429772
973,423279
974,436978
975,295207
976,277226
977,277932
978,274396
979,278967
980,394244
981,424146
982,436245
983,292024
984,287702
985,290824
986,277010
987,278645
988,279356
989,411386
990,432943
991,429269
992,434312
993,432862
994,433497
995,427977
996,430883
997,293455
998,292929
999,337382
1000,411710
1001,439119
1002,435066
1003,429583
1004,432093
1005,431241
1006,436103
1007,438168
1008,432110
1009,430263
1010,431461
1011,431631
1012,291147
1013,278035
1014,276672
1015,420962
1016,434455
1017,293054
1018,294161
1019,288866
1020,279311
1021,277555
1022,279347
1023,278262
1024,276646
1025,405959
1026,441623
1027,433760
1028,439218
1029,433549
1030,431326
1031,316031
1032,316198
1033,307565
1034,263090
1035,409916
1036,431454
1037,437159
1038,435076
1039,432389
1040,433520
1041,436877
1042,433552
1043,430133
1044,432763
1045,429858
1046,138219
1047,151768
1048,169761
1049,447374
1050,197308
1051,218745
1052,293394
1053,231392
1054,360098
1055,329461
1056,304846
1057,306533
1058,293667
1059,282211
1060,409248
1061,434372
1062,427959
1063,434785
1064,271749
1065,291093
1066,274394
1067,267204
1068,272877
1069,275820
1070,410775
1071,428513
1072,428050
1073,288294
1074,285417
1075,292119
1076,278349
1077,403597
1078,293267
1079,288912
1080,277690
1081,276238
1082,286607
1083,275620
1084,428287
1085,429357
1086,391263
1087,290870
1088,278352
1089,264001
1090,415132
1091,426782
1092,442074
1093,287646
1094,323129
1095,302557
1096,286460
1097,318965
1098,275949
1099,371135
1100,408955
1101,431580
1102,430617
1103,430059
1104,413698
1105,418350
1106,432738
1107,432959
1108,435643
1109,438703
1110,413657
1111,433902
1112,430553
1113,429363
1114,423364
1115,433238
1116,427729
1117,290898
1118,279911
1119,279208
1120,402480
1121,431052
1122,430243
1123,435047
1124,292515
1125,277584
1126,275842
1127,401134
1128,429503
1129,435180
1130,429215
1131,450674
1132,429081
1133,430182
1134,428064
1135,433018
1136,413909
1137,449157
1138,300024
1139,291414
1140,290733
1141,277324
1142,277267
1143,400987
1144,429440
1145,437610
1146,431119
1147,434456
1148,428553
1149,424278
1150,431953
1151,295656
1152,277638
1153,280380
1154,403358
1155,370234
1156,286876
1157,286150
1158,284911
1159,284977
1160,304490
1161,279753
1162,276319
1163,276960
1164,399813
1165,429864
1166,289552
1167,278357
1168,278372
1169,278146
1170,278391
1171,405906
1172,432351
1173,424483
1174,436419
1175,466968
1176,326104
1177,310782
1178,290105
1179,273116
1180,278914
1181,275734
1182,276999
1183,273310
1184,259364
1185,137685
1186,178263
1187,182620
1188,207133
1189,229186
1190,240508
1191,245951
1192,397140
1193,383742
1194,311253
1195,307099
1196,330852
1197,303925
1198,287201
1199,358350
1200,279603
1201,290954
1202,283958
1203,280423
1204,264212
1205,157065
1206,187859
1207,225779
1208,468427
1209,310933
1210,287729
1211,283582
1212,305797
1213,295225
1214,287601
1215,410336
1216,430635
1217,431317
1218,426832
1219,430714
1220,425125
1221,431459
1222,428991
1223,283570
1224,265219
1225,277742
1226,278521
1227,279571
1228,318642
1229,400596
1230,451719
1231,444774
1232,467627
1233,461003
1234,434751
1235,293026
1236,277604
1237,276860
1238,277086
1239,279696
1240,400621
1241,429780
1242,276172
1243,278141
1244,277064
1245,276102
1246,411122
1247,428438
1248,430905
1249,431687
1250,431766
1251,431481
1252,434630
1253,430781
1254,436651
1255,432552
1256,289323
1257,292041
1258,280869
1259,276311
1260,279035
1261,278365
1262,277567
1263,278287
1264,393173
1265,422422
1266,431358
1267,290064
1268,279387
1269,274495
1270,277469
1271,278241
1272,404242
1273,430326
1274,433399
1275,430626
1276,429725
1277,431412
1278,428580
1279,433224
1280,425908
1281,431058
1282,427796
1283,290658
1284,287885
1285,136873
1286,166227
1287,246322
1288,195173
1289,212093
1290,228971
1291,247312
1292,475229
1293,299005
1294,291165
1295,281662
1296,262738
1297,309904
1298,366139
1299,515573
1300,296909
1301,275927
1302,270052
1303,147844
1304,197609
1305,296745
1306,310643
1307,282642
1308,277345
1309,303383
1310,293735
1311,286968
1312,264580
1313,423361
1314,429945
1315,430517
1316,430496
1317,415278
1318,416681
1319,276765
1320,295190
1321,274716
1322,398474
1323,438006
1324,427769
1325,275114
1326,280596
1327,276239
1328,276861
1329,278990
1330,406145
1331,470490
1332,292962
1333,278239
1334,278510
1335,278515
1336,413777
1337,431147
1338,296488
1339,142832
1340,167273
1341,281378
1342,198245
1343,205291
1344,225410
1345,239804
1346,244282
1347,265476
1348,268933
1349,304026
1350,354052
1351,273166
1352,347401
1353,469035
1354,341331
1355,340930
1356,353386
1357,276557
1358,278294
1359,277138
1360,278521
1361,665243
1362,677472
1363,555747
1364,438187
1365,386294
1366,378030
1367,376251
1368,356550
1369,329297
1370,288798
1371,304433
1372,398859
1373,414143
1374,287828
1375,293469
1376,275136
1377,398091
1378,431751
1379,428397
1380,289036
1381,272551
1382,271320
1383,276941
1384,273168
1385,270954
1386,429560
1387,405564
1388,424554
1389,288729
1390,279911
1391,274336
1392,277034
1393,274161
1394,273452
1395,862117
1396,711028
1397,529088
1398,442514
1399,496660
1400,346709
1401,456610
1402,297868
1403,279230
1404,276017
1405,292556
1406,421306
1407,436335
1408,288029
1409,278956
1410,277580
1411,279256
1412,406568
1413,434640
1414,428161
1415,428044
1416,430920
1417,432005
1418,433249
1419,427619
1420,432613
1421,400542
1422,291213
1423,277396
1424,275846
1425,404474
1426,436547
1427,414159
1428,431767
1429,434000
1430,434946
1431,436260
1432,431631
1433,427213
1434,429385
1435,430450
1436,288116
1437,281438
1438,277073
1439,279077
1440,403114
1441,437954
1442,411072
1443,429061
1444,428927
1445,430957
1446,436330
1447,433598
1448,428007
1449,437198
1450,293268
1451,308221
1452,277394
1453,261813
1454,143066
1455,161409
1456,183080
1457,214075
1458,229683
1459,246265
1460,257299
1461,258266
1462,277542
1463,477111
1464,344145
1465,306248
1466,315113
1467,300710
1468,280079
1469,277083
1470,300332
1471,289295
1472,425669
1473,442001
1474,433139
1475,411062
1476,150878
1477,171567
1478,332279
1479,323199
1480,309578
1481,297888
1482,292271
1483,410417
1484,427646
1485,446795
1486,431665
1487,426418
1488,453327
1489,292276
1490,277428
1491,293405
1492,278980
1493,279262
1494,274696
1495,278208
1496,420482
1497,424419
1498,432627
1499,387161
1500,259847
1501,296778
1502,415015
1503,412722
1504,441606
1505,284349
1506,275570
1507,277468
1508,275873
1509,275375
1510,278982
1511,400636
1512,424902
1513,438133
1514,426672
1515,432206
1516,427938
1517,286185
1518,273370
1519,275873
1520,274046
1521,275785
1522,397953
1523,447567
1524,430396
1525,430480
1526,291720
1527,277338
1528,274777
1529,279751
1530,276200
1531,420265
1532,298836
1533,277686
1534,275470
1535,277655
1536,275918
1537,278239
1538,279013
1539,275465
1540,431236
1541,275555
1542,293201
1543,287230
1544,292696
1545,276886
1546,278656
1547,277994
1548,418616
1549,436278
1550,434466
1551,433441
1552,431788
1553,429363
1554,292148
1555,297534
1556,273443
1557,288036
1558,412264
1559,435201
1560,290514
1561,277960
1562,279106
1563,278190
1564,421366
1565,293178
1566,290928
1567,276876
1568,280485
1569,279765
1570,277246
1571,264349
1572,405278
1573,431237
1574,297268
1575,276504
1576,279153
1577,274064
1578,423564
1579,421248
1580,430298
1581,274526
1582,274846
1583,274532
1584,276831
1585,259607
1586,277736
1587,275727
1588,277589
1589,306105
1590,398285
1591,414789
1592,320710
1593,291482
1594,278669
1595,277666
1596,406683
1597,428832
1598,290261
1599,357061
1600,294231
1601,277948
1602,279313
1603,277118
1604,401258
1605,430041
1606,289177
1607,274731
1608,279149
1609,279064
1610,274646
1611,423962
1612,424320
1613,432721
1614,434734
1615,432364
1616,290970
1617,294278
1618,276693
1619,280477
1620,276847
1621,272869
1622,276540
1623,406010
1624,430867
1625,419568
1626,434210
1627,429326
1628,291668
1629,289811
1630,291365
1631,410512
1632,432760
1633,431605
1634,430875
1635,426484
1636,291960
1637,280354
1638,276495
1639,416375
1640,430164
1641,430571
1642,428630
1643,429344
1644,431748
1645,433383
1646,291426
1647,279787
1648,275694
1649,415872
1650,295067
1651,291898
1652,299030
1653,278460
1654,275021
1655,290389
1656,294939
1657,292969
1658,279417
1659,276358
1660,400739
1661,432524
1662,437148
1663,434414
1664,440197
1665,291502
1666,292024
1667,295234
1668,289538
1669,395997
1670,434330
1671,429799
1672,437223
1673,430288
1674,434694
1675,434673
1676,437459
1677,429303
1678,435293
1679,426189
1680,419412
1681,445035
1682,433363
1683,428967
1684,273989
1685,279068
1686,276202
1687,277954
1688,260279
1689,277207
1690,278773
1691,277256
1692,282800
1693,279140
1694,423435
1695,431592
