seq,latency_h2h_ns
0,614515
1,570324
2,547809
3,1001762
4,998993
5,902037
6,998477
7,808672
8,1035321
9,898337
10,690611
11,449080
12,542901
13,591045
14,938597
15,974421
16,794714
17,719271
18,1017553
19,753173
20,1006784
21,687990
22,778528
23,613131
24,631612
25,645734
26,439537
27,624896
28,493520
29,627098
30,707690
31,697591
32,721650
33,1101430
34,1057338
35,829468
36,1403582
37,1077772
38,1324841
39,1005920
40,1130190
41,1126297
42,1105888
43,1192308
44,1029029
45,985637
46,1079729
47,943298
48,1141263
49,1094129
50,1116311
51,1055259
52,953711
53,1191303
54,1085239
55,1058528
56,1023245
57,1167774
58,1120029
59,850257
60,792449
61,1146395
62,1201369
63,774943
64,1002783
65,1009409
66,895410
67,828233
68,984386
69,1072519
70,847748
71,638117
72,814860
73,1067839
74,941319
75,1018142
76,1083410
77,742895
78,522808
79,616260
80,622245
81,580924
82,794331
83,704851
84,1134823
85,856080
86,1022900
87,1095535
88,1020354
89,1065654
90,1054877
91,937745
92,992999
93,1052840
94,1069694
95,1069641
96,985506
97,939852
98,1166890
99,1156979
100,962728
101,1145677
102,1040754
103,1131241
104,749384
105,1046042
106,1110355
107,904815
108,826683
109,1186697
110,1067826
111,1079480
112,902299
113,1132526
114,949993
115,1078185
116,987438
117,823210
118,755697
119,1256740
120,990314
121,934715
122,1157287
123,1129707
124,1076967
125,1135239
126,1032652
127,891518
128,924848
129,1071198
130,1028034
131,1085682
132,1039795
133,1132590
134,993657
135,953900
136,1085009
137,1109368
138,1013180
139,973997
140,1080893
141,1167632
142,915970
143,1102664
144,778329
145,1184618
146,1180178
147,1077257
148,1043879
149,1105937
150,1108267
151,1076915
152,988660
153,1089704
154,844131
155,1143122
156,933776
157,1123402
158,1126358
159,1309735
160,997117
161,1169892
162,1112450
163,976581
164,1044705
165,900182
166,1068100
167,880120
168,1108569
169,947105
170,1021563
171,938695
172,758374
173,1076603
174,922135
175,1171739
176,1027718
177,852702
178,1090042
179,1238304
180,1098957
181,964067
182,1058740
183,1088029
184,1026783
185,749814
186,1050875
187,918013
188,1173532
189,1192697
190,1077914
191,1083149
192,934496
193,1165547
194,849839
195,826845
196,1025025
197,798100
198,1024177
199,1140955
200,1202336
201,900405
202,939441
203,1190346
204,1025646
205,908888
206,837161
207,941019
208,907270
209,1178868
210,1015532
211,878768
212,1082270
213,1089265
214,1084742
215,1156695
216,1095128
217,1076553
218,987416
219,1278757
220,1174385
221,1000071
222,1131290
223,1007920
224,1129510
225,751782
226,1050741
227,1164226
228,1043724
229,919517
230,852734
231,1050951
232,1026353
233,889783
234,861879
235,1064540
236,827199
237,1048364
238,1132212
239,1200568
240,1056892
241,1137456
242,1062864
243,1018464
244,909312
245,1162826
246,1217348
247,807663
248,979949
249,912422
250,1037899
251,1012312
252,1175399
253,958903
254,901485
255,1048960
256,1088522
257,1012037
258,1060293
259,934105
260,937789
261,969439
262,1064697
263,1127579
264,956258
265,728820
266,1130028
267,881438
268,1085686
269,785134
270,1083695
271,999685
272,1034756
273,1051643
274,1172851
275,1036761
276,1052224
277,817597
278,1004216
279,1078216
