seq,rtt_h2m_ns
3,8979038
4,7495309
5,7540946
6,7779098
7,8765846
8,8873257
9,8665847
10,8575371
11,8628304
12,8605640
13,8611826
14,8597528
15,8606111
16,8624015
17,8606094
18,8597634
19,8601956
20,8595262
21,8558069
22,8607753
23,8620932
24,8608351
25,8568674
26,8581449
27,8605367
28,9137916
29,8611698
30,8602552
31,8574917
32,8602589
33,8619993
34,8587088
35,8594719
36,8636476
37,8578376
38,7571214
39,8659298
40,8658221
41,8676909
42,8657230
43,8630755
44,8638850
45,9218430
46,8602722
47,8694504
48,8650954
49,8637167
50,8657637
51,8644211
52,8619131
53,8561394
54,8685466
55,8650556
56,8698868
57,8678435
58,8658213
59,8674012
60,8671362
61,8683685
62,8693846
63,8643070
64,8666866
65,8656650
66,8685134
67,8671916
68,8642391
69,8716472
70,8723349
71,8729471
72,8654740
73,8699601
74,8664216
75,8647612
76,8702668
77,8678178
78,8644256
79,8690911
80,8692595
81,8684461
82,8653088
83,8663210
84,8657560
85,8671291
86,8640218
87,8681733
88,8665226
89,8666864
90,8666276
91,8604852
92,8525898
93,8476151
94,8545896
95,8649948
96,8674908
97,8665782
98,8677176
99,8673284
100,8681589
101,8663852
102,8633254
103,8687311
104,8672651
105,8681355
106,8721678
107,8675868
108,8701665
109,8699107
110,8706208
111,8673253
112,8674672
113,8653196
114,8651347
115,8686846
116,8700157
117,8670518
118,8636741
119,8674895
120,8677498
121,8649472
122,8673824
123,8677834
124,8647047
125,8659805
126,8694643
127,8698512
128,8675732
129,8692517
130,8676432
131,8687172
132,8676818
133,8673495
134,8652744
135,8653367
136,8672682
137,8687779
138,8716185
139,8730661
140,8741662
141,8702821
142,8753354
143,8745331
144,8729235
145,8664273
146,8546246
147,8523278
148,8613372
149,8593619
150,8633217
151,8716079
152,8647359
153,8795556
154,8652484
155,8695165
156,8628704
157,8610027
158,8658685
159,8578886
160,8588396
161,8642532
162,8717219
163,8869979
164,8917286
165,8902159
166,8685456
167,8575230
168,7609279
169,8615443
170,9024875
171,8856203
172,8756668
173,8720967
174,8921765
175,8881826
176,8936571
177,8731552
178,8808321
179,8809889
180,8898382
181,8775578
182,8905184
183,8921882
184,8869943
185,8946194
186,8909282
187,8915118
188,8960049
189,8878839
190,8913874
191,8840785
192,8890017
193,8879791
194,8660930
195,8455865
196,8481581
197,8540839
198,8700348
199,8593447
200,8597506
201,8605850
202,8658518
203,8739818
204,8815158
205,8868567
206,8901535
207,8822611
208,9053557
209,8996478
210,9145585
211,8890425
212,8924516
213,8909082
214,8900865
215,8939759
216,8932403
217,9023154
218,9084271
219,9221068
220,9037119
221,8888686
222,7888179
223,8862742
224,9057548
225,9066191
226,8792698
227,8733206
228,7617435
229,7594357
230,8798185
231,8748135
232,8829222
233,8915113
234,8913329
235,8966091
236,8947718
237,8974247
238,8972807
239,8969343
240,9138136
241,8959518
242,8960011
243,8987348
244,8937460
245,8989749
246,8969344
247,8956361
248,8977536
249,8967481
250,8932915
251,8999289
252,8777895
253,8678039
254,8790894
255,8711310
256,8876100
257,8980423
258,8960112
259,8960639
260,8961335
261,9015072
262,8630990
263,8737103
264,8695424
265,8696710
266,8652566
267,8688019
268,8674410
269,8643737
270,8676812
271,8645911
272,8689655
273,8681574
274,8673377
275,8635439
276,8692795
277,8672723
278,8881678
279,8761327
280,8640440
281,9002743
282,9016731
283,9134124
284,9014763
285,9014278
286,8717676
287,8644348
288,8693321
289,8657935
290,8665556
291,8875773
292,8898083
293,8901542
294,9017582
295,8914181
296,8884283
297,8893285
298,9186076
299,8948311
300,9260775
301,8628567
302,8694200
303,8673826
304,8853687
305,7566752
306,7568458
307,7597344
308,8535789
309,8636671
310,8601653
311,8767116
312,8864866
313,8975897
314,8899141
315,8916149
316,8544025
317,7554030
318,7594875
319,8657375
320,8696929
321,8778824
322,9120614
323,9008219
324,9017549
325,9075350
326,8999391
327,8994199
328,9040908
329,8999394
330,9003211
331,8995832
332,8989402
333,9002905
334,9008617
335,8638196
336,8790929
337,8727980
338,8741910
339,8783490
340,8764906
341,8780815
342,8742447
343,8766561
344,8834521
345,8750888
346,8807156
347,8707919
348,8732556
349,8756622
350,8687143
351,8651804
352,8662280
353,8738472
354,8812929
355,8809138
356,8841596
357,8731089
358,8736845
359,8767201
360,8807625
361,8791585
362,8784977
363,8816396
364,8761857
365,8705408
366,8745405
367,8784428
368,8791841
369,8731770
370,8777896
371,8766489
372,8671663
373,8640825
374,8678079
375,8673734
376,8687922
377,8707457
378,8644312
379,8669111
380,8756898
381,8789139
382,8812451
383,8746602
384,8785780
385,8767683
386,8762528
387,8752727
388,8774198
389,8726319
390,8747387
391,8756606
392,8756050
393,8815956
394,8749958
395,8800011
396,8691269
397,8669090
398,8689163
399,8629812
400,8655468
401,8714779
402,8690341
403,8811373
404,8800390
405,8815137
406,8812193
407,8714054
408,8759880
409,8732723
410,8725616
411,8726819
412,8753731
413,8801813
414,8806472
415,8804557
416,8812060
417,8728725
418,8727666
419,8757236
420,8752127
421,8733884
422,8742864
423,8740401
424,8759164
425,8825174
426,8724811
427,8736848
428,8744440
429,8788434
430,8759083
431,8724833
432,8762712
433,8748347
434,8812719
435,8674444
436,8639797
437,8665530
438,8700575
439,8654976
440,8674115
441,8669821
442,8679575
443,8674063
444,8681680
445,8561931
446,8586095
447,8540903
448,7506220
449,7595530
450,7712770
451,8672248
452,8613958
453,8731944
454,8681251
455,8642501
456,8692703
457,8676364
458,8652298
459,8675146
460,8658949
461,8681633
462,8669643
463,8663628
464,8674880
465,8646893
466,8707608
467,8537235
468,8665353
469,8620997
470,8643186
471,8682880
472,8689406
473,8638528
474,8676827
475,8678593
476,8659236
477,8646873
478,8646995
479,8541565
480,8667955
481,8658024
482,8638600
483,8695347
484,8663524
485,8667347
486,8642272
487,8631693
488,8658130
489,8683552
490,8668917
491,7680045
492,8645950
493,8667011
494,8643119
495,8672231
496,8696358
497,8649431
498,8642106
499,8681794
500,8680539
501,8698151
502,8640719
503,8677606
504,8679531
505,8673400
506,8643551
507,8644708
508,8678512
509,8663759
510,8679227
511,8744869
512,8790249
513,8744072
514,8796590
515,8743196
516,8724013
517,8746306
518,8754160
519,8659177
520,8651817
521,8614608
522,8646812
523,8614494
524,8734536
525,8665658
526,8671016
527,8650990
528,8743543
529,8637472
530,8641420
531,8667824
532,8664183
533,8670878
534,8668743
535,8667264
536,8652741
537,8756150
538,8674307
539,8659689
540,8669320
541,8671434
542,8662203
543,8651125
544,8736968
545,8764551
546,8801167
547,8761012
548,8775487
549,8746095
550,8756361
551,8747736
552,8766321
553,8765420
