seq,rtt_m2h_ns
76,114638000
78,13575000
79,13583000
80,13563000
81,13583000
82,13562000
83,13591000
84,13571000
85,13582000
86,13651000
87,13579000
88,13555000
89,13592000
90,13555000
91,13599000
92,13572000
93,13587000
94,13563000
95,13571000
96,14622000
97,13591000
98,13559000
99,13570000
100,13567000
101,13587000
102,13555000
103,13591000
104,13591000
105,13689000
106,13650000
107,13583000
108,13563000
109,13591000
110,13559000
111,13579000
112,13547000
113,13579000
114,13568000
115,13583000
116,13650000
117,13596000
118,13563000
119,13571000
120,13572000
121,13587000
122,13559000
123,13588000
124,13559000
125,13575000
126,13655000
127,13583000
128,13563000
129,13592000
130,13559000
131,13595000
132,13568000
133,13587000
134,13555000
135,13583000
136,13638000
137,13583000
138,13559000
139,13571000
140,13547000
141,13587000
142,13555000
143,13580000
144,13567000
145,13583000
146,13642000
147,13579000
148,13563000
149,13579000
150,13567000
151,13587000
152,13559000
153,13689000
154,12580000
155,13587000
156,13646000
157,13596000
158,13576000
159,13587000
160,13568000
161,13574000
162,13571000
163,13604000
164,13579000
165,13595000
166,13759000
167,13591000
168,13595000
169,13600000
170,13571000
171,13591000
172,13568000
173,13587000
174,13571000
175,13587000
176,13634000
177,13567000
178,13559000
179,13575000
180,13559000
181,13567000
182,13563000
183,13587000
184,13563000
185,13583000
186,13654000
187,13587000
188,13571000
189,12591000
190,13583000
191,13682000
192,13630000
193,13579000
194,13568000
195,13579000
196,13642000
197,13592000
198,13563000
199,13603000
200,13592000
201,13567000
202,13563000
203,13596000
204,13559000
205,13587000
206,13670000
207,13603000
208,13559000
209,13608000
210,13555000
211,13571000
212,13560000
213,12576000
214,13559000
215,13575000
216,12642000
217,13583000
218,13559000
219,13587000
220,13563000
221,13582000
222,13559000
223,13583000
224,13563000
225,13587000
226,13646000
227,13575000
228,13563000
229,13586000
230,13571000
231,13595000
232,13567000
233,13591000
234,13563000
235,13587000
236,13646000
237,13592000
238,13559000
239,13583000
240,13572000
241,13587000
242,13555000
243,12591000
244,13551000
245,13583000
246,13659000
247,13591000
248,13571000
249,13600000
250,13563000
251,13582000
252,13572000
