seq,rtt_m2h_ns
772,11064000
773,14551000
774,14700000
775,14724000
776,14694000
777,14713000
778,14675000
779,14702000
780,14684000
781,14702000
782,14696000
783,14710000
784,14684000
785,14721000
786,14670000
787,14727000
788,14680000
789,14715000
790,14707000
791,14706000
792,14695000
793,14714000
794,14688000
795,14707000
796,14680000
797,14713000
798,14684000
799,14715000
800,14708000
801,14703000
802,14703000
803,14698000
804,14684000
805,14708000
806,14704000
807,14701000
808,14698000
809,14687000
810,14708000
811,14699000
812,14708000
813,14687000
814,14698000
815,14704000
816,14706000
817,14713000
818,14702000
819,14699000
820,14721000
821,14702000
822,14716000
823,14710000
824,14707000
825,14713000
826,14698000
827,14708000
828,14698000
829,14703000
830,14713000
831,14700000
832,14704000
833,14687000
834,14699000
835,14700000
836,14698000
837,14696000
838,14683000
839,14695000
840,14709000
841,14705000
842,14697000
843,14686000
844,14703000
845,14684000
846,14707000
847,14704000
848,14702000
849,14695000
850,14719000
851,14699000
852,14709000
853,14695000
854,14711000
855,14708000
856,14694000
857,14704000
858,14679000
859,14699000
860,14704000
861,14691000
862,14703000
863,14687000
864,14695000
865,14716000
866,14690000
867,14712000
868,14687000
869,14710000
870,14703000
871,14691000
872,14680000
873,14706000
874,14688000
875,14727000
876,14680000
877,14723000
878,14676000
879,14704000
880,14691000
881,14710000
882,14688000
883,14710000
884,14680000
885,14717000
886,14698000
887,14717000
888,14696000
889,14711000
890,14707000
891,14702000
892,14712000
893,14711000
894,14714000
895,14721000
896,14671000
897,14712000
898,14687000
899,14711000
900,14708000
901,14707000
902,14712000
903,14711000
904,14695000
905,14723000
906,14687000
907,14720000
908,14699000
909,14704000
910,14700000
911,14708000
912,14696000
913,14708000
914,14680000
915,14719000
916,14680000
917,14709000
918,14699000
919,14715000
920,14696000
921,14705000
922,14692000
923,14702000
924,14680000
925,14727000
926,14679000
927,14721000
928,14687000
929,14714000
930,14708000
931,14706000
932,14696000
933,14702000
934,14684000
935,14724000
936,14698000
937,14709000
938,14691000
939,14703000
940,14692000
941,14707000
942,14701000
943,14698000
944,14703000
945,14708000
946,14690000
947,14716000
948,14686000
949,14680000
950,14720000
951,14698000
952,14709000
953,14687000
954,14699000
955,14704000
956,14694000
957,14709000
958,14694000
959,14696000
960,14703000
961,14687000
962,14705000
963,14691000
964,14703000
965,14696000
966,14694000
967,14700000
968,14702000
969,14699000
970,14710000
971,14687000
972,14713000
973,14694000
974,14703000
975,14704000
976,14698000
977,14707000
