seq,rtt_h2m_ns
7,9557419
8,16465276
9,24561506
10,31579116
11,39557987
12,46635009
13,56524482
15,61531885
18,59514717
20,61561823
23,59601396
26,56527110
29,54501091
31,56655059
34,54784753
36,56636307
39,54647291
41,56598820
44,54611940
46,63636356
49,60656929
51,64643480
54,61562482
56,66523256
60,60629844
63,59671967
65,62589059
68,61566724
71,59605333
74,56676586
76,61598769
79,60590435
82,59613510
84,61700189
87,59624858
90,56556457
93,55637347
95,60587174
98,59588853
100,61610901
103,59582569
106,56601098
109,54586446
111,56618982
114,54565164
116,57589498
119,56595039
121,61592174
124,59865879
126,64566284
129,61511172
132,59513923
135,56490705
137,61472870
140,59466045
143,56525926
145,59505903
148,56504313
151,54520024
153,56478109
156,56536069
158,59509657
161,56542127
163,61525352
166,64513107
169,61530592
171,66554345
174,66515089
177,64618646
180,61579279
183,60532667
186,59569639
189,56516194
191,59584935
194,56568328
197,54573303
199,57550866
202,54589132
204,56561810
207,59571216
209,61672509
212,61610533
214,64611723
217,61596811
220,60608387
223,61507991
226,59499907
228,61520441
231,59706352
234,56585460
237,54691928
239,57829775
242,54503336
244,56592707
247,59717521
249,61545358
252,59630990
254,61679429
257,59639818
260,57577761
263,54610590
265,56629504
268,54632138
270,57602240
273,54697778
275,56644519
278,54614304
280,57629235
283,57725196
285,63618562
288,60592163
290,64764776
293,62675346
296,61594510
299,59624997
302,56603862
304,59635048
307,57588002
310,57631755
312,59657498
315,56606586
317,59631351
320,56607326
323,54603888
325,56590295
328,54623488
330,56558760
333,54673454
335,57663997
338,57654915
340,59618140
343,56780200
345,61682726
348,61694103
351,61672681
353,64632876
356,61499630
359,61540682
362,59652798
365,56636204
367,61703633
370,59688876
373,57657323
375,61792245
378,61786745
381,61769273
383,66736071
386,64766732
389,61753380
392,59711440
395,56618726
398,54647129
400,56756619
403,54766465
405,56628977
408,56734415
410,59667983
413,56573658
415,60485775
418,59641431
421,56550689
423,59394776
426,56495480
429,54539785
431,56442649
434,54621303
436,56630284
439,54639650
441,56622500
444,54960210
446,61535223
449,59479724
451,62536611
454,61520567
456,64402089
460,56532623
462,59538713
465,56808935
468,54559176
470,56524883
473,54623432
475,56489943
478,54506923
480,56529028
483,54663681
485,56590600
488,54656989
490,56735547
493,54657122
495,56559508
498,54600785
500,56624380
503,54667628
505,56595381
508,54581095
510,56546643
513,54712092
515,56665412
518,54936748
520,56518632
523,54568159
525,57454396
528,56433341
530,61549026
533,59599774
