seq,rtt_h2m_ns
3,9074323
4,7653274
5,7761351
6,338837581
7,347944262
8,18027964
9,18668856
10,16548865
11,14651198
12,12732596
13,10724541
14,8700524
15,7740907
16,7757567
17,7870425
18,7943635
19,7890582
20,7891771
21,7913916
22,7905354
23,7853843
24,7872843
25,7935405
26,7941957
27,8048482
28,7895236
29,7863499
30,7878106
31,8061562
32,7896071
33,7953224
34,7856489
35,7847111
36,7852844
37,7846796
38,7855285
39,7858727
40,7825846
41,7892148
42,7850235
43,7887507
44,7890590
45,7862660
46,7874414
47,7868452
48,7864535
49,7933433
50,7872466
51,7867350
52,7864428
53,7857864
54,7850865
55,7824369
56,7950504
57,8186631
58,8263431
59,7877427
60,8025963
61,8045917
62,7944206
63,7901267
64,7944915
65,8063253
66,7917407
67,8028296
68,7941118
69,7961715
70,7921057
71,8052151
72,8067394
73,8098471
74,8052523
75,7974544
76,8027583
77,7962785
78,8054688
79,7923113
80,7942891
81,7939620
82,7989087
83,7974343
84,7963374
85,8000010
86,7967607
87,7982614
88,8097527
89,7912322
90,7971756
91,7981198
92,8077684
93,7971013
94,8036674
95,7963627
96,7948876
97,7982309
98,7914667
99,8088719
100,8056648
101,7969908
102,8046936
103,7898357
104,7954564
105,7915163
106,7963437
107,7929990
108,7957734
109,8063235
110,8020567
111,8076218
112,9069269
113,7924547
114,7890314
115,7818108
116,7867150
117,7915202
118,7967880
119,7760067
120,7755891
121,7796086
122,7865091
123,7952445
124,7874912
125,7950774
126,7855671
127,7880712
128,9032375
129,9014258
130,8067401
131,7983440
132,7957198
133,7952977
134,8044207
135,7981613
136,8013043
137,8041295
138,8932106
139,7967255
140,8071356
141,9037467
142,8057962
143,7947201
144,7936648
145,7963205
146,7951927
147,7946850
148,8022378
149,7890161
150,7903702
151,7882745
152,7898917
153,7893967
154,7906631
155,7890968
156,7875961
157,7888746
158,8038136
159,8070477
160,7979362
161,8006006
162,7954400
163,7992739
164,7944547
165,7967902
166,7992955
167,7943846
168,8012693
169,7981453
170,7999673
171,7935570
172,7980814
173,7979125
174,7994831
175,7950271
176,7973432
177,7973033
178,7980432
179,7931327
180,7973818
181,7979087
182,7962816
183,7984108
184,7939982
185,9007491
186,7961964
187,8037211
188,7981600
189,7960097
190,7919085
191,8009210
192,7963566
193,7975891
194,7980821
195,7953314
196,7978653
197,7975365
198,7982654
199,8059943
200,7982089
201,7940302
202,8002173
203,7997751
204,7925918
205,7975562
206,7937688
207,7983072
208,7956496
209,8005740
210,7920664
