seq,rtt_h2m_ns
0,174168478
1,8525695
2,9948936
3,9685945
4,9112176
5,9560240
6,9551697
7,9555507
8,9613091
9,9501844
10,9875860
11,9608688
12,9562390
13,9529737
14,8013779
15,9866251
16,9600554
17,9814548
18,9863469
19,9426998
20,9713158
21,10470632
22,9374664
23,9733169
24,9718131
25,9807768
26,9954858
27,9526221
28,9544866
29,9562466
30,9546659
31,9559780
32,9775530
33,9519968
34,9850041
35,9652995
36,9517342
37,9610452
38,9546023
39,9077408
40,9985895
41,9558295
42,9534406
43,10433937
44,9622602
45,9653617
46,9284204
47,9667370
48,9685078
49,10083164
50,9822222
51,9652261
52,10628717
53,9347205
54,9658052
55,9555232
56,9632313
57,9550818
58,10027795
59,9219207
60,9327635
61,9626143
62,9785149
63,9685009
64,9749127
65,9685371
66,9973542
67,9663262
68,9644685
69,9330634
70,9666753
71,9621459
72,10618414
73,9922873
74,9933002
75,9613910
76,10647451
77,9617963
78,9604840
79,9636554
80,10574353
81,9653507
82,9630211
83,9663950
84,9653132
85,10594081
86,10556898
87,10607958
88,10594829
89,10160068
90,9843571
91,9589670
92,10631236
93,10613368
94,10593869
95,10634922
96,9689267
97,9604666
98,9845412
99,10567315
100,10578891
101,10591549
102,10753702
103,10743750
104,10699687
105,10554008
106,10826066
107,10598724
108,10683439
109,10605291
110,10770033
111,10728844
112,10612492
113,10300189
114,10822194
115,10398040
116,10180401
117,10236671
118,10548651
119,10501651
120,10458435
121,10552943
122,10463935
123,10556758
124,10563074
125,10457344
126,10449195
127,10548250
128,10248508
129,10047057
130,10454452
131,10393708
132,10483960
133,10087018
134,10508033
135,10539383
136,10335703
137,10277024
138,10115168
139,10561369
140,10430314
141,10427265
142,10430934
143,10509993
144,10597598
145,10061907
146,10530724
147,10466089
148,10488075
149,10399830
150,10139111
151,10543407
152,10530916
153,10637413
154,10706989
155,10042354
156,10492983
157,10551856
158,10451055
159,10425157
160,10472424
161,10640126
162,10304064
163,10567783
164,10449479
165,10470277
166,10482383
167,10530375
168,10350041
169,10473790
170,10545048
171,10301795
172,10631250
173,10622987
174,10577929
175,10385635
176,10529713
177,10515634
178,10533299
179,10507688
180,10519678
181,10495092
182,10517399
183,10392594
184,10572221
185,10463313
186,10942667
187,10493589
188,9945209
189,10651971
190,10398156
191,10488628
192,10354186
193,10383516
194,10645408
195,10527489
196,10564859
197,10550606
198,10072646
199,10558524
200,10530877
201,10466862
202,10616540
203,10549774
204,10260462
205,10302388
206,10327832
207,10681531
208,10722491
209,10204406
210,10809134
211,10506295
212,10177646
213,10490043
214,10571446
215,10591727
216,10472089
217,10457157
218,10615682
219,10590912
220,10521362
221,10526212
222,10095889
223,10581106
224,10692271
225,10462805
226,10396997
227,10628819
228,10555120
229,10299560
230,10025342
231,9992272
232,10437301
233,10450394
234,10458801
235,10491052
236,10375838
237,10550863
238,10016382
239,10679476
240,10177399
241,10664143
242,10440087
243,10585357
244,10621062
245,10540134
246,10443354
247,10636580
248,10579896
249,10531850
250,10784617
251,10528440
252,10122645
253,10484449
254,10444775
255,10565058
256,10511046
257,10116158
258,10579221
259,10563718
260,10450597
261,10423824
262,10418884
263,10224080
264,10505422
265,10372775
266,10726551
267,10698603
268,10261997
269,10087390
270,10510973
271,10362833
272,10159630
273,10120726
274,10814623
275,10504084
276,10467115
277,10417977
278,10459218
279,10623622
280,10441592
281,10474716
282,10411704
283,10566230
284,10279925
285,10296871
286,10409507
287,10410092
288,10493647
289,10656718
290,10378620
291,10522716
292,10536637
293,10302364
294,9975296
295,10550131
296,10541946
297,10314214
298,10405842
299,10503472
300,10414055
301,10158222
302,10287905
303,10605429
304,10626101
305,10405429
306,10722934
307,10172565
308,10526187
