seq,latency_m2m_ns,callback_jitter,publish_jitter
2878,14631000,14029000,314000
2879,14603000,13967000,298000
2880,14611000,14016000,298000
2881,14606000,13988000,306000
2882,14627000,14025000,306000
2883,15590000,14963000,294000
2884,14623000,14033000,306000
2885,14605000,13979000,306000
2886,14615000,14012000,298000
2887,14607000,13988000,302000
2888,14615000,14016000,302000
2889,14599000,13977000,298000
2890,14615000,14019000,298000
2891,14602000,13984000,302000
2892,14623000,14025000,306000
2893,15602000,14975000,302000
2894,14635000,14037000,314000
2895,14594000,13959000,298000
2896,14627000,14033000,306000
2897,14598000,13971000,306000
2898,14623000,14020000,302000
2899,14606000,13984000,306000
2900,14619000,14016000,302000
2901,14619000,13988000,306000
2902,14611000,14008000,302000
2903,14590000,13968000,286000
2904,14619000,14036000,298000
2905,14590000,13972000,294000
2906,15623000,15033000,298000
2907,13921000,13302000,289000
2908,14279000,13693000,298000
2909,13945000,13327000,304000
2910,14278000,13678000,302000
2911,14602000,13979000,302000
2912,14627000,14029000,306000
2913,14594000,13967000,298000
2914,14599000,14005000,287000
2915,14585000,13983000,290000
2916,15615000,15028000,294000
2917,14594000,13980000,298000
2918,14619000,14024000,298000
2919,14603000,13984000,306000
2920,14619000,14016000,302000
2921,14603000,13980000,302000
2922,14623000,14025000,306000
2923,14598000,13971000,298000
2924,14627000,14033000,306000
2925,14579000,13951000,286000
2926,14635000,14053000,314000
2927,14597000,13963000,294000
2928,14619000,14029000,302000
2929,14603000,13979000,298000
2930,14615000,14021000,302000
2931,14595000,13971000,294000
2932,15619000,15029000,302000
2933,15603000,14979000,298000
2934,14611000,14016000,298000
2935,15598000,14980000,302000
2936,15635000,15037000,314000
2937,14614000,13971000,310000
2938,14635000,14029000,314000
2939,14602000,13967000,306000
2940,14627000,14025000,309000
2941,14622000,13991000,314000
2942,14623000,14005000,306000
2943,14618000,13983000,306000
2944,14623000,14021000,310000
2945,15607000,14975000,302000
2946,14611000,14004000,298000
2947,14594000,13980000,294000
2948,15631000,15041000,306000
2949,14614000,13979000,310000
2950,14623000,14017000,302000
2951,14586000,13963000,290000
2952,14635000,14049000,310000
2953,14594000,13963000,298000
2954,14619000,14025000,302000
2955,15627000,15004000,306000
2956,14607000,13991000,302000
2957,14603000,13981000,294000
2958,14615000,14019000,298000
2959,14586000,13964000,282000
2960,14627000,14045000,302000
2961,15594000,14967000,290000
2962,13970000,13380000,313000
2963,14252000,13620000,290000
2964,15623000,15033000,298000
2965,14587000,13963000,286000
2966,14619000,14033000,298000
2967,14615000,13991000,306000
2968,15611000,15000000,298000
2969,15623000,14992000,302000
2970,14623000,14021000,306000
2971,14619000,13979000,302000
2972,14611000,14000000,294000
2973,14610000,13996000,302000
2974,14631000,14029000,306000
2975,14594000,13963000,298000
2976,13970000,13371000,313000
2977,15271000,14637000,302000
2978,15627000,15025000,306000
2979,14619000,13987000,306000
2980,14611000,14000000,298000
2981,14623000,14000000,306000
2982,14615000,14004000,298000
2983,15619000,14988000,306000
2984,14619000,14012000,298000
2985,14594000,13972000,294000
2986,14639000,14045000,310000
2987,14602000,13967000,302000
2988,14631000,14029000,306000
2989,14595000,13963000,298000
2990,14635000,14037000,310000
2991,14619000,13975000,302000
2992,14619000,14017000,302000
2993,14607000,13980000,298000
2994,13954000,13354000,305000
2995,14258000,13633000,294000
2996,15635000,15041000,306000
2997,14598000,13967000,306000
2998,14631000,14029000,306000
2999,14590000,13963000,298000
3000,14627000,14033000,306000
3001,14603000,13975000,302000
3002,14615000,14016000,302000
3003,15623000,14992000,306000
