seq,latency_m2m_ns,callback_jitter,publish_jitter
302,12569000,99908000,10281000
303,12584000,100016000,10026000
304,12569000,99984000,10222000
305,12581000,100012000,10239000
306,12585000,100005000,10164000
307,12584000,99999000,10246000
308,12576000,99992000,10317000
309,12591000,100014000,10188000
310,12584000,99994000,10255000
311,12664000,100080000,10272000
312,12584000,99920000,10135000
313,12597000,100012000,10272000
314,12580000,99984000,10211000
315,12576000,99996000,10216000
316,12584000,100008000,10230000
317,12572000,99988000,10300000
318,12572000,100000000,10298000
319,12579000,100007000,10250000
320,12580000,100001000,10525000
321,12664000,100084000,10669000
322,12587000,99922000,10389000
323,12576000,99990000,10198000
324,12576000,100000000,10277000
325,12577000,100000000,10139000
326,12565000,99988000,10214000
327,12573000,100008000,10212000
328,12585000,100013000,10149000
329,12584000,99999000,10598000
330,12589000,100004000,10793000
331,12661000,100072000,10727000
332,12587000,99926000,10516000
333,12581000,99994000,10522000
334,13576000,100996000,10888000
335,12596000,99020000,10677000
336,12584000,99988000,10399000
337,12573000,99988000,10556000
338,12565000,99992000,10759000
339,12569000,100005000,10419000
340,12585000,100015000,10706000
341,12650000,100065000,10712000
342,12585000,99935000,10717000
343,12573000,99988000,10094000
344,12572000,100000000,10511000
345,12585000,100013000,10669000
346,12581000,99996000,10800000
347,13580000,100999000,10888000
348,12583000,99002000,10812000
349,12584000,100002000,10620000
350,12580000,99996000,10620000
351,12660000,100080000,10833000
352,12585000,99925000,10701000
353,11897000,99312000,10839000
354,13593000,101695000,10840000
355,12580000,98988000,10577000
356,12580000,100000000,10653000
357,12585000,100005000,10304000
358,12577000,99991000,10669000
359,12576000,100000000,10744000
360,12576000,100000000,10745000
361,13656000,101079000,11793000
362,12568000,98913000,10822000
363,12584000,100016000,10067000
364,12591000,100006000,10555000
365,12569000,99979000,10771000
366,11917000,99348000,10836000
367,12584000,100667000,10573000
368,13565000,100981000,10847000
369,12580000,99015000,10585000
370,12573000,99992000,10726000
371,12665000,100093000,10812000
372,13748000,101083000,10870000
373,12576000,98828000,10529000
374,12575000,99999000,10547000
375,12577000,100001000,10760000
376,12564000,99988000,10616000
377,13587000,101022000,11454000
378,12588000,99002000,10632000
379,12569000,99981000,10632000
380,12580000,100011000,10780000
381,13669000,101088000,11759000
382,12577000,98908000,10649000
383,12573000,99997000,10171000
384,12580000,100007000,10669000
385,12584000,100004000,10529000
386,12577000,99993000,10608000
387,12580000,100003000,10761000
388,12572000,99992000,10620000
389,12581000,100008000,10064000
390,12588000,100007000,10764000
391,13641000,101054000,11525000
392,12577000,98935000,10565000
393,12579000,100002000,10017000
394,12573000,99995000,10653000
395,12584000,100011000,10167000
396,12584000,100000000,10306000
397,12572000,99988000,10451000
398,12580000,100008000,10452000
399,12573000,99992000,10116000
400,12576000,100004000,10688000
401,13665000,101088000,11175000
402,12569000,98904000,10552000
403,12580000,100012000,10565000
404,12573000,99993000,10569000
405,12581000,100007000,10788000
406,12586000,100006000,10508000
407,12588000,100002000,10590000
408,12584000,99996000,10102000
409,12585000,100000000,10177000
410,12588000,100004000,10534000
411,13657000,101069000,11363000
412,12584000,98927000,10616000
413,12581000,99996000,10485000
414,12584000,100004000,10620000
415,12588000,100004000,10278000
416,12585000,99997000,10284000
417,12585000,99999000,10436000
418,12588000,100004000,10093000
419,12587000,99998000,10167000
420,12588000,100002000,10236000
421,13665000,101076000,11356000
422,12568000,98904000,10247000
423,12569000,100000000,10053000
424,12588000,100020000,10128000
425,12572000,99984000,10557000
426,12572000,100000000,10473000
427,12576000,100004000,10474000
428,12576000,100000000,10475000
429,12595000,100018000,10416000
430,12580000,99986000,10637000
431,13645000,101065000,11271000
432,12587000,98941000,10657000
433,12572000,99986000,10453000
434,12572000,100000000,10524000
435,13573000,101001000,11219000
436,13572000,99999000,11502000
437,12577000,99005000,10197000
438,12581000,100003000,10256000
439,12572000,99992000,10143000
440,12581000,100009000,10763000
441,13629000,101048000,11526000
442,13576000,99947000,11556000
443,12580000,99004000,10214000
444,12584000,100004000,10492000
445,12595000,100010000,10506000
446,12581000,99987000,10291000
447,12577000,99996000,10243000
448,12591000,100013000,10244000
449,12584000,99994000,10181000
450,12593000,100008000,10182000
451,13661000,101068000,11375000
452,12584000,98924000,10343000
453,12576000,99992000,9925000
454,12581000,100004000,10082000
455,12585000,100004000,10222000
456,12588000,100004000,10210000
457,12576000,99988000,10164000
458,12583000,100006000,10090000
459,12581000,99998000,9899000
460,12576000,99996000,10163000
461,13671000,101095000,11083000
462,12576000,98905000,10385000
463,12580000,100004000,10252000
464,12580000,100000000,10257000
465,12573000,99993000,10197000
466,12584000,100011000,10195000
467,12584000,100000000,10142000
468,12576000,99992000,10219000
469,12581000,100005000,10150000
470,12584000,100003000,10290000
