seq,latency_m2m_ns,callback_jitter,publish_jitter
354,31566000,21090000,10207000
355,31406000,20828000,10024000
356,31412000,21024000,10066000
357,31523000,21094000,10160000
358,31478000,20955000,10115000
359,31510000,21032000,10136000
360,31454000,20955000,10102000
361,31651000,21186000,10266000
362,31518000,20878000,10162000
363,31566000,21037000,10188000
364,31505000,20950000,10149000
365,31475000,20959000,10097000
366,32529000,22065000,10173000
367,32540000,22000000,10162000
368,31553000,21024000,10197000
369,31531000,20967000,10153000
370,32520000,21999000,10163000
371,32598000,22067000,10218000
372,32587000,22000000,10229000
373,34260000,23663000,11886000
374,33483000,21233000,10119000
375,31590000,21108000,10217000
376,32515000,21924000,10158000
377,32601000,22076000,10217000
378,32514000,21924000,10158000
379,32521000,21996000,10143000
380,32510000,22000000,10154000
381,32447000,21926000,10080000
382,33222000,22775000,11859000
383,33451000,21229000,10077000
384,31472000,21032000,10120000
385,31455000,20972000,10081000
386,31455000,21011000,10103000
387,31502000,21036000,10139000
388,31461000,20959000,10098000
389,31485000,21024000,10111000
390,31437000,20963000,10085000
391,31404000,20956000,10030000
392,31482000,21088000,10129000
393,31463000,20971000,10089000
394,31472000,21020000,10120000
395,31442000,20959000,10068000
396,31467000,21036000,10115000
397,31503000,21024000,10128000
398,31455000,20964000,10103000
399,31420000,20954000,10046000
400,31433000,21024000,10081000
401,33226000,22782000,11852000
402,32388000,20173000,10025000
403,31494000,21105000,10130000
404,31449000,20955000,10096000
405,31426000,20967000,10063000
406,31454000,21028000,10091000
407,32451000,21996000,10077000
408,32443000,22004000,10091000
409,31478000,21024000,10104000
410,31426000,20959000,10074000
411,33490000,23053000,10116000
412,31499000,21020000,10147000
413,31469000,20958000,10105000
414,32546000,22078000,10183000
415,31497000,20951000,10134000
416,31456000,20958000,10093000
417,31566000,21111000,10192000
418,31645000,21090000,10289000
419,32446000,21790000,10064000
420,32493000,22065000,10148000
421,31478000,20967000,10104000
422,31418000,20951000,10066000
423,31527000,21098000,10164000
424,31490000,20962000,10126000
425,31444000,20955000,10070000
426,32653000,22219000,10293000
427,32581000,21918000,10212000
428,32664000,22082000,10293000
