seq,rtt_m2h_ns
384,117828000
385,124238000
386,125328000
387,126300000
388,127327000
390,95112000
391,96879000
392,97095000
393,97103000
394,97082000
395,97098000
396,95109000
397,95102000
398,95117000
399,95144000
400,95117000
401,98125000
402,98070000
403,98120000
404,98140000
405,95804000
406,95130000
407,95159000
408,95093000
409,95225000
410,95162000
411,95109000
412,95088000
413,95099000
414,95129000
415,95104000
416,95273000
417,95086000
418,95110000
419,95001000
420,95022000
421,95118000
422,95146000
423,94981000
424,95004000
425,95157000
426,95053000
427,95164000
428,95102000
429,95140000
430,95174000
431,95118000
432,95088000
433,95117000
434,95146000
435,95096000
436,95216000
437,95087000
438,95123000
439,96123000
440,96143000
441,96114000
442,96138000
443,95089000
444,95125000
445,95093000
446,95104000
447,95076000
448,95235000
449,95055000
450,95082000
451,95185000
452,95138000
453,95018000
454,95124000
455,95153000
456,95099000
457,95067000
458,96215000
459,96107000
460,95918000
461,96081000
462,95113000
463,95053000
464,95019000
465,95059000
466,95084000
467,95064000
468,95074000
469,95087000
470,95140000
471,95089000
472,95110000
473,95091000
474,95105000
475,95057000
476,95092000
477,97063000
478,97087000
479,97064000
480,97083000
481,95103000
482,95075000
483,95102000
484,95060000
485,95081000
486,95033000
487,95057000
488,95096000
489,95121000
490,95081000
491,95124000
492,95076000
493,95107000
494,95135000
495,95298000
496,96356000
497,96188000
498,96212000
499,96240000
500,95267000
501,95291000
502,95255000
503,95282000
504,95377000
505,95209000
506,95289000
507,95041000
508,95081000
509,95044000
510,95053000
511,95025000
512,95058000
513,95137000
514,95106000
515,96103000
516,96138000
517,96102000
518,96134000
519,95086000
520,95052000
521,95072000
522,95101000
523,95134000
524,95083000
525,95032000
526,95075000
527,95178000
528,95196000
529,95299000
530,95189000
531,95216000
532,95177000
533,95202000
534,96188000
535,96157000
536,96111000
537,96220000
538,95191000
539,95201000
540,95243000
541,95262000
542,95143000
543,95265000
544,95338000
545,95229000
546,95199000
547,95079000
548,95099000
549,95056000
550,95082000
551,95055000
552,95147000
553,96077000
554,96181000
555,96073000
556,96183000
557,95116000
558,95092000
559,95115000
560,95062000
561,95104000
562,96803000
563,96045000
564,96031000
565,96110000
566,96072000
567,95109000
568,95057000
569,95080000
570,95124000
571,95076000
572,95086000
573,95071000
574,95023000
575,95042000
576,95073000
577,95101000
578,95060000
579,95092000
580,95116000
581,96944000
582,97048000
583,97083000
584,97099000
585,97066000
586,95017000
587,95126000
588,95012000
589,95105000
590,95056000
591,95109000
592,95053000
593,95075000
594,95115000
595,95058000
596,95097000
597,95056000
598,95081000
599,95047000
600,95068000
601,95092000
602,95127000
603,95023000
604,95111000
605,95144000
606,95186000
607,95200000
608,95375000
609,95187000
610,96185000
611,96220000
612,96257000
613,96325000
614,95240000
615,95201000
616,95278000
617,95323000
618,95147000
619,95155000
620,95213000
621,95150000
622,95189000
623,95144000
624,95166000
625,95128000
626,95164000
627,95199000
628,95143000
629,96218000
630,96167000
631,97025000
632,97209000
633,96158000
634,96109000
635,95211000
636,95163000
637,95185000
638,95172000
639,95268000
640,95366000
641,95185000
642,95200000
643,95177000
644,95196000
645,95125000
646,95277000
647,95219000
648,95238000
649,95268000
650,95229000
651,95239000
652,95226000
653,95240000
654,95256000
655,95245000
656,95189000
657,95116000
658,95170000
659,95193000
660,95148000
661,95193000
662,95131000
663,95089000
664,95210000
665,95218000
666,95189000
667,96196000
668,96212000
669,96166000
670,96214000
671,95291000
672,95188000
673,95151000
674,95177000
675,95125000
676,95237000
677,95112000
678,95146000
679,95109000
680,95124000
681,95239000
682,95201000
683,95148000
684,95190000
685,95215000
686,96265000
687,96173000
688,96123000
689,96142000
690,95186000
691,95145000
692,95161000
693,95128000
694,95143000
695,96913000
696,97147000
697,97197000
698,97131000
699,97176000
700,95127000
701,95359000
702,95107000
703,94995000
704,95377000
705,95054000
706,95072000
707,95039000
708,95054000
709,95014000
710,95180000
711,95226000
712,95118000
713,95052000
714,95105000
715,95037000
716,95072000
717,95123000
718,95054000
719,95029000
720,95065000
721,95081000
722,95057000
723,95081000
724,96072000
725,96027000
726,96067000
727,96095000
728,95124000
729,95082000
730,94970000
731,95135000
732,95022000
733,95054000
734,95097000
735,95200000
736,95000000
737,95113000
738,95062000
739,95085000
740,95059000
741,95074000
742,95024000
743,96044000
744,96065000
745,96073000
746,96056000
747,95084000
748,95031000
749,95072000
750,95091000
751,95119000
752,95155000
753,95102000
754,95061000
755,95109000
756,95054000
757,95072000
758,95108000
759,95063000
760,95235000
761,95065000
762,96053000
763,96151000
764,96264000
765,96201000
766,95245000
767,95277000
768,95225000
769,95186000
770,95219000
771,95177000
772,95225000
773,95240000
774,95264000
775,95233000
776,95261000
777,95347000
778,95245000
779,95196000
780,95223000
781,96217000
782,96253000
783,96205000
784,96236000
785,95263000
786,95211000
787,95189000
788,95204000
789,95224000
790,95197000
791,95222000
792,95178000
793,95218000
794,95303000
795,95048000
796,95013000
797,95034000
798,95218000
799,95240000
800,96377000
801,96268000
802,96245000
803,96190000
804,95219000
805,95171000
806,95188000
807,95235000
808,95179000
809,96947000
810,97184000
811,97281000
812,97231000
813,97278000
814,95158000
815,95259000
816,95157000
817,95261000
818,95205000
819,95228000
820,95200000
821,95220000
822,95046000
823,95080000
824,95092000
825,95211000
826,95213000
827,95106000
828,95231000
829,95102000
830,95123000
831,95177000
832,95114000
833,95210000
834,95100000
835,95117000
836,95148000
837,95196000
838,96107000
839,96131000
840,96324000
841,96219000
842,95148000
843,95118000
844,95134000
845,95151000
846,95125000
847,95301000
848,95112000
849,95071000
850,94962000
851,95272000
852,95159000
853,95185000
854,95077000
855,95190000
856,95199000
857,96204000
858,96162000
859,96200000
860,96294000
861,95259000
862,95205000
863,95239000
864,95340000
865,95210000
866,95263000
867,95227000
868,95162000
869,95199000
870,95222000
871,95195000
872,95227000
873,95165000
874,95200000
875,95233000
876,96154000
877,96181000
878,96219000
879,96248000
880,95195000
881,95233000
882,95189000
883,95215000
884,95182000
885,95193000
886,95228000
887,95126000
888,95226000
889,95118000
890,95133000
891,95149000
892,95129000
893,95084000
894,95111000
895,97152000
896,97260000
897,97135000
898,97115000
899,95131000
900,95150000
901,95106000
902,95149000
903,95100000
904,95076000
905,95087000
906,95106000
907,95136000
908,95090000
909,95118000
910,95081000
911,95109000
912,95138000
913,95102000
914,96101000
915,96113000
916,96095000
917,96108000
918,95147000
919,95112000
920,95115000
921,95151000
922,95117000
923,95142000
924,95110000
925,95129000
926,95153000
927,95205000
928,95084000
929,95103000
930,95062000
931,95177000
932,95196000
933,96129000
934,96085000
935,96109000
936,96068000
937,95104000
938,95119000
939,95152000
940,95110000
941,95131000
942,95191000
943,95126000
944,95077000
945,95118000
946,95069000
947,95109000
948,95063000
949,95087000
950,95111000
951,95148000
952,96128000
953,96105000
954,96136000
955,96143000
956,95094000
957,95155000
958,95089000
959,95129000
960,95093000
961,95116000
962,95166000
963,95119000
964,95131000
965,95188000
966,95130000
967,95151000
968,95196000
969,95064000
970,95031000
971,96114000
972,96212000
973,96161000
974,96136000
975,95147000
976,95168000
977,95130000
978,95238000
979,95329000
980,95227000
981,95104000
982,95137000
983,95164000
984,95193000
985,95067000
986,95194000
987,95057000
988,95093000
989,95122000
990,96194000
991,96080000
992,96260000
993,96133000
994,95078000
995,95120000
996,96446000
997,96552000
998,96527000
999,96548000
1000,97557000
1001,96588000
1002,96542000
1003,97617000
1004,98547000
1005,97560000
1006,97527000
1007,97638000
1008,97633000
1009,97544000
1010,97495000
1011,98593000
1012,99486000
1013,98534000
1014,98539000
1015,99535000
1016,99670000
1017,99553000
1018,100609000
1019,99572000
1020,98531000
1021,97609000
1022,97444000
1023,98515000
1024,98705000
1025,99474000
1026,98515000
1027,97543000
1028,96572000
1029,96440000
1030,95420000
1031,95593000
1032,95468000
1033,95581000
1034,95543000
1035,95560000
1036,98307000
1037,99496000
1038,99531000
1039,99556000
1040,99592000
1041,96539000
1042,96534000
1043,96580000
1044,97498000
1045,98423000
1046,100453000
1047,100477000
1048,101455000
1049,100419000
1050,98452000
1051,98443000
1052,98378000
1053,98455000
1054,98471000
1055,98438000
1056,97470000
1057,96498000
1058,96421000
1059,96535000
1060,97543000
1061,97557000
1062,98569000
1063,97540000
1064,100300000
1065,100523000
1066,100556000
1067,100481000
1068,100504000
1069,97532000
1070,97474000
1071,97511000
1072,97507000
1073,100178000
1074,101499000
1075,100540000
1076,101461000
1077,101535000
1078,98564000
1079,97535000
1080,98522000
1081,97565000
1082,97484000
1083,98496000
1084,98431000
1085,98526000
1086,99515000
1087,98601000
1088,98609000
1089,99406000
1090,99457000
1091,98421000
1092,98441000
1093,97465000
1094,97473000
1095,96447000
1096,97447000
1097,98435000
1098,99439000
1099,99443000
1100,100421000
1101,100442000
1102,99475000
1103,98421000
1104,97461000
1105,97462000
1106,97445000
1107,98470000
1108,99392000
1109,100379000
1110,102129000
1111,102469000
1112,101489000
1113,100448000
1114,99498000
1115,96439000
1116,96439000
1117,96410000
1118,97479000
1119,97433000
1120,98430000
1121,98503000
1122,99425000
1123,99486000
1124,100428000
1125,100428000
1126,100424000
1127,100589000
1128,100428000
1129,101403000
1130,101481000
1131,101485000
1132,101406000
1133,99426000
1134,98471000
1135,98462000
1136,98466000
1137,98458000
1138,102446000
1139,103447000
1140,103434000
1141,103449000
1142,101173000
1143,100429000
1144,100593000
1145,100502000
1146,100432000
1147,103494000
1148,103440000
1149,102449000
1150,102601000
1151,99152000
1152,98464000
1153,97440000
1154,97479000
1155,97455000
1156,98398000
1157,97503000
1158,98495000
1159,99495000
1160,99511000
1161,99425000
1162,100421000
1163,100428000
1164,99453000
1165,98399000
1166,97452000
1167,97313000
1168,96269000
1169,97347000
1170,98398000
1171,99324000
1172,99405000
1173,100341000
1174,102070000
1175,102401000
1176,102340000
1177,102340000
1178,102331000
1179,100283000
1180,100418000
1181,100339000
1182,100338000
1183,102084000
1184,102572000
1185,102335000
1186,101452000
1187,101387000
1188,99374000
1189,99301000
1190,99386000
1191,100378000
1192,102124000
1193,102389000
1194,102374000
1195,101337000
1196,101352000
1197,99410000
1198,98376000
1199,97409000
1200,98404000
1201,98340000
1202,97371000
1203,98380000
1204,99359000
1205,99281000
1206,99358000
1207,99381000
1208,98344000
1209,98345000
1210,98340000
1211,100350000
1212,101382000
1213,102353000
1214,102349000
1215,101090000
1216,100504000
1217,100352000
1218,100352000
1219,100430000
1220,102371000
1221,102356000
1222,102384000
1223,101409000
1224,100035000
1225,98350000
1226,98436000
1227,98289000
1228,99370000
1229,98390000
1230,99386000
1231,99370000
1232,99398000
1233,98348000
1234,99336000
1235,99343000
1236,99332000
1237,99339000
1238,99314000
1239,99367000
1240,99363000
1241,99375000
1242,99301000
1243,100378000
1244,100310000
1245,100301000
1246,100237000
1247,101145000
1248,101346000
1249,101341000
1250,101342000
1251,101357000
1252,100335000
1253,100335000
1254,100340000
1255,100339000
1256,102060000
1257,102348000
1258,102352000
1259,102348000
1260,102343000
1261,100363000
1262,100347000
1263,100567000
1264,100576000
1265,102229000
1266,102494000
1267,102531000
1268,102500000
1269,102501000
1270,100497000
1271,100505000
1272,100714000
