seq,rtt_m2h_ns
856,147175000
857,159242000
858,171136000
859,183173000
867,97816000
868,95036000
869,94993000
870,94999000
871,95274000
872,95067000
873,95096000
874,95058000
875,95019000
876,95032000
877,95087000
878,95093000
879,95207000
880,95041000
881,94989000
882,95146000
883,95055000
884,95043000
885,95088000
886,95044000
887,95075000
888,95012000
889,95066000
890,95004000
891,95049000
892,95064000
893,95101000
894,95011000
895,95105000
896,95036000
897,95072000
898,95032000
899,95058000
900,95077000
901,95055000
902,95000000
903,95050000
904,95072000
905,95093000
906,95117000
907,95088000
908,95091000
909,95067000
910,94947000
911,95115000
912,94940000
913,95111000
914,95134000
915,95101000
916,95050000
917,95084000
918,95041000
919,95083000
920,95029000
921,95139000
922,95081000
923,95057000
924,95072000
925,95043000
926,95120000
927,95096000
928,95043000
929,95075000
930,95037000
931,94986000
932,95081000
933,95055000
934,95146000
935,95043000
936,95063000
937,95023000
938,95044000
939,95016000
940,95172000
941,95063000
942,95030000
943,95401000
944,95013000
945,95040000
946,95052000
947,95039000
948,95031000
949,95139000
950,95200000
951,95075000
952,96075000
953,96099000
954,96045000
955,96010000
956,95066000
957,95073000
958,94955000
959,95081000
960,95015000
961,95056000
962,95010000
963,95107000
964,94985000
965,95031000
966,95042000
967,95090000
968,95126000
969,95073000
970,95015000
971,96055000
972,96042000
973,96083000
974,96052000
975,95058000
976,95012000
977,95058000
978,95069000
979,95116000
980,95063000
981,95176000
982,95128000
983,95092000
984,95045000
985,95146000
986,95042000
987,95062000
988,95081000
989,95056000
990,96113000
991,96081000
992,96041000
993,96072000
994,95045000
995,95055000
996,96388000
997,97403000
998,98393000
999,99616000
1000,101445000
1001,101446000
1002,101362000
1003,101392000
1004,100517000
1005,100364000
1006,100428000
1007,100441000
1008,100359000
1009,100517000
1010,100439000
1011,100436000
1012,100430000
1013,100449000
1014,100492000
1015,100375000
1016,100426000
1017,100514000
1018,100279000
1019,100252000
1020,100429000
1021,100370000
1022,100442000
1023,100435000
1024,100416000
1025,100309000
1026,102032000
1027,102368000
1028,102432000
1029,102376000
1030,102440000
1031,100513000
1032,100366000
1033,100444000
1034,100427000
1035,102112000
1036,102378000
1037,102379000
1038,102370000
1039,102678000
1040,101410000
1041,101280000
1042,101414000
1043,101431000
1044,102222000
1045,102361000
1046,102429000
1047,102361000
1048,102430000
1049,100381000
1050,100351000
1051,100434000
1052,100575000
1053,102250000
1054,102367000
1055,102449000
1056,102516000
1057,102450000
1058,100441000
1059,100449000
1060,100362000
1061,100359000
1062,102107000
1063,102322000
1064,102317000
1065,102338000
1066,102308000
1067,100317000
1068,100394000
1069,100328000
1070,100307000
1071,102123000
1072,102256000
1073,102402000
1074,102311000
1075,102341000
1076,100326000
1077,100393000
1078,100391000
1079,100265000
1080,101919000
1081,102335000
1082,102338000
1083,102279000
1084,102325000
1085,100343000
1086,100208000
1087,100274000
1088,100342000
1089,102015000
1090,102201000
1091,102276000
1092,102275000
1093,102213000
1094,100271000
1095,100357000
1096,100215000
1097,100350000
1098,102015000
1099,102374000
1100,102274000
1101,102237000
1102,102358000
1103,100509000
1104,100277000
1105,100303000
1106,100276000
1107,102029000
1108,102290000
1109,102251000
1110,102168000
1111,102255000
1112,100251000
1113,100236000
1114,100235000
1115,100378000
1116,102052000
1117,102317000
1118,102316000
1119,102325000
1120,102369000
1121,100390000
1122,100318000
1123,100316000
1124,100320000
1125,102053000
1126,102263000
1127,102467000
1128,102284000
1129,102341000
1130,100314000
1131,100281000
1132,100259000
1133,100257000
1134,102013000
1135,102414000
1136,102265000
1137,102278000
1138,102271000
1139,100282000
1140,100260000
1141,100282000
1142,100269000
1143,102010000
1144,102263000
1145,102284000
1146,102402000
1147,102280000
1148,100273000
1149,100287000
1150,100278000
1151,100283000
1152,102022000
1153,102291000
1154,102219000
1155,102298000
1156,102281000
1157,100286000
1158,100285000
1159,100294000
1160,100272000
1161,102046000
1162,102251000
1163,102309000
1164,102242000
1165,102246000
1166,100292000
1167,100244000
1168,100224000
1169,100243000
1170,102029000
1171,102267000
1172,102306000
1173,102247000
1174,102254000
1175,100316000
1176,100235000
1177,100312000
1178,100245000
