seq,rtt_h2m_ns
0,286514703
1,29986165
2,23208474
3,11208628
4,11084424
5,10541426
6,11138508
7,11116070
8,11254646
9,11078652
10,11085777
11,11139135
12,10333204
13,11086670
14,11112124
15,10593327
16,10285253
17,10990588
18,11410298
19,11314414
20,11645058
21,11336748
22,11319823
23,11338733
24,11315313
25,11159508
26,13562853
27,11406304
28,12349610
29,11386466
30,11340491
31,11373335
32,12321855
33,11580860
34,13176446
35,10872644
36,13314909
37,11575098
38,12314591
39,11246956
40,12514036
41,11175530
42,12699237
43,10997382
44,12295710
45,11081291
46,13496786
47,11499864
48,12345397
49,11167868
50,12818667
51,11277048
52,10564631
53,10293880
54,10806981
55,11332552
56,11337125
57,11618907
58,10842265
59,11077097
60,11148038
61,11235554
62,11242590
63,11497250
64,11428121
65,10609715
66,10896091
67,11101194
68,11333366
69,11226635
70,10807924
71,10514219
72,10637606
73,11262147
74,11652197
75,11399174
76,10664801
77,11348773
78,11304389
79,11243667
80,11056755
81,11251767
82,11379323
83,11216386
84,11256894
85,11241968
86,11262442
87,11259576
88,11229113
89,11270887
90,11246923
91,10509970
92,11123434
93,11254471
94,11337600
95,11340281
96,11527450
97,11193275
98,11422208
99,11231293
100,11250900
101,10861542
102,11353903
103,11367798
104,11141048
105,11169458
106,11433683
107,11314439
108,11296615
109,11366862
110,11041847
111,10288469
112,10794838
113,11297619
114,11077498
115,10577973
116,11351818
117,11304769
118,11259619
119,11211014
120,11124951
121,11320541
122,10540741
123,11421970
124,11135864
125,10694753
126,10351911
127,10651010
128,11411390
129,11271400
130,10451675
131,10471105
132,10578052
133,10361941
134,10320233
135,10227428
136,11096500
137,11057181
138,10300948
139,10873239
140,10252164
141,11017320
142,10604798
143,10894719
144,10516128
145,10971967
146,10990772
147,10876215
148,11404022
149,11103558
150,10845285
151,10328845
152,10826016
153,10970636
154,10910380
155,11065197
156,10520317
157,10961572
158,10912766
159,10954818
160,10996573
161,11022009
162,11064152
163,11157343
164,11100477
165,11056702
166,11109259
167,10425179
168,10695031
169,11254103
170,11358015
171,10833877
172,11167623
173,10481910
