seq,latency_h2h_ns
0,819134
1,1022245
2,1127557
3,1169538
4,1143582
5,1063106
6,860779
7,1064294
8,1093529
9,1110759
10,1052056
11,1080736
12,914015
13,923099
14,1049439
15,867047
16,1136934
17,1177448
18,1183252
19,1225644
20,989727
21,1110178
22,781243
23,957227
24,1133884
25,845131
26,923695
27,1148733
28,874845
29,1002998
30,966693
31,822414
32,1054327
33,1047986
34,1059805
35,918393
36,1076665
37,1055815
38,1062142
39,1180525
40,984218
41,1169350
42,1073645
43,1076994
44,1064829
45,1171309
46,784606
47,1176733
48,1069946
49,1317243
50,1106646
51,1138127
52,800261
53,1067112
54,1193055
55,981532
56,1140435
57,931768
58,1075553
59,1142969
60,1051907
61,1186189
62,1011746
63,1162135
64,1006975
65,1081140
66,1108378
67,1121013
68,894095
69,1270502
70,1057721
71,1123047
72,1030804
73,941583
74,1177097
75,923542
76,1149561
77,1089940
78,1085842
79,1223427
80,1114257
81,814017
82,1191273
83,1158744
84,1079739
85,1053326
86,805190
87,1064994
88,1174846
89,1213573
90,1057580
91,1179314
92,1047741
93,1134598
94,1099970
95,820086
96,1171762
97,1109662
98,1173054
99,1140128
100,1177115
101,1141959
102,1011478
103,887672
104,1142459
105,1130022
106,1146258
107,1209551
108,1135767
109,1153594
110,946922
111,1113728
112,1044995
113,907189
114,1136167
115,858714
116,1199744
117,1141512
118,1051050
119,1137667
120,1142108
121,1175026
122,1217552
123,1019556
124,976018
125,953277
126,928087
127,1160299
128,1076570
129,1229320
130,1046846
131,1171800
132,1127863
133,841023
134,1042244
135,901213
136,1099525
137,1165646
138,1071587
139,1139210
140,1161935
141,1155410
142,1124404
143,1145978
144,1192250
145,1077453
146,1074665
147,1126031
148,1160605
149,860316
150,1147305
151,971945
152,1128879
153,1117819
154,976105
155,868868
156,1256661
157,1072017
158,1169984
159,1246894
160,938602
161,1083987
162,1181553
163,1169297
164,1154593
165,992687
166,1197002
167,1090882
168,1172500
169,1180844
170,1222399
171,1166534
172,1171310
173,1092211
174,1139460
175,1006454
176,1124525
177,1143835
178,1118826
179,1305856
180,1113047
181,1165063
182,1007178
183,1110265
184,1152126
185,1146393
186,1207758
187,847542
188,894113
189,1273317
190,1079291
191,1180839
192,1011435
193,996146
194,1169375
195,854587
196,994796
197,1168325
198,966012
199,1417247
200,1179160
201,980768
202,883614
203,857111
204,1139027
205,994360
206,1207077
207,1173586
208,965071
209,1024835
210,1195461
211,1141004
212,1090716
213,838536
214,968693
215,807529
216,1111519
217,1003227
218,1137079
219,968099
220,1149516
221,1132483
222,775352
223,1033506
224,1189525
225,788904
226,843566
227,1038702
228,1116093
229,1157255
230,1194660
231,1109082
232,1056299
233,1107467
234,1139092
235,1037153
236,1054105
237,1135555
238,1183867
239,1229320
240,1125232
241,1189705
242,1125710
243,1151777
244,965477
245,1062332
246,796362
247,1016849
248,1132318
249,1204802
250,1168503
251,1063198
252,1199677
253,1050410
254,1054861
255,916633
256,1043539
257,1113689
258,1050263
259,1111364
260,1124525
261,1198572
262,836017
263,1144066
264,1049844
265,1053835
266,1125582
267,1161562
268,997436
269,1279214
270,1161738
271,1176695
272,1121031
273,962849
274,1091372
275,1092164
276,1132532
277,1003423
278,1108622
279,1181365
280,1122017
281,1166003
282,910241
283,1086686
284,803840
285,1161590
286,1174512
287,1125286
288,1151394
289,1238369
290,1159172
291,1081549
292,1163920
293,1181039
294,1087439
295,1125525
296,1164578
297,1152669
298,1172062
299,1369894
300,1170528
301,1173757
302,762184
303,1052500
304,1098328
305,1024457
306,1193890
307,1050553
308,1123294
309,1167061
310,1170190
311,1115339
312,1124592
313,876518
314,892252
315,1169675
316,1166535
317,1165032
318,948529
319,1280255
320,1157100
321,1164341
322,1168997
323,1004166
324,1016645
325,1149078
326,1137335
327,1138227
328,1173646
329,1225059
330,1132621
331,1189177
332,1163822
333,1167966
334,957776
335,1111956
336,1167655
337,1010262
338,1188463
339,1020068
340,890134
341,978511
342,967589
343,1125220
344,1127396
345,1046115
346,1117067
347,1196841
348,893150
349,1239173
350,1170744
351,1120067
352,1130394
353,1177589
354,1164277
355,1057772
356,1136831
357,1127064
358,1139936
359,1194248
360,1118247
361,1182083
362,1147847
363,1133025
364,1077333
365,1151285
366,1088155
367,1155284
368,1129382
369,1122686
370,1113610
371,1169685
372,1163151
373,1070731
374,1161721
375,1166741
376,1121047
377,1181160
378,1133232
379,1061236
380,1121562
381,1141169
382,1154689
383,1213412
384,1148003
385,930261
386,1172341
387,1178065
388,1138765
