seq,rtt_h2m_ns
2,343097104
3,28722423
4,32666595
5,39832095
6,42462382
7,49889489
8,53060794
9,60050726
10,63018138
12,59841143
13,64856996
15,60095220
16,63058429
18,59649861
19,62778063
21,60445101
22,62970644
24,59945032
25,63075715
27,60321717
28,63081416
30,59746983
31,62684310
33,59793804
34,62616146
36,59569393
37,62786583
39,59853743
40,62905351
42,59870582
43,62900925
45,59692820
46,62915757
48,59661466
49,62920396
51,59681240
52,62898348
54,59627374
55,62765677
57,59704300
58,62906143
60,59790261
61,62869700
63,59674902
64,62893687
66,59682362
67,62904004
69,60043637
70,62913230
72,59941279
73,64742350
75,59803214
76,62757895
78,59851292
79,62779296
81,59922159
82,62987480
84,59916361
85,63010714
87,59952218
88,62774817
90,59419023
91,62797783
93,59514346
94,62761967
96,59402704
97,62894649
99,59529566
100,62619461
102,59747315
103,62799970
105,59675428
106,62778938
108,59557603
109,62665931
111,59645143
112,62661364
114,59778492
115,62910166
117,59845193
118,62816096
120,59842648
121,62828538
123,59454755
124,62658897
126,59250111
127,62691517
129,59604774
130,62846019
132,59737354
133,64973561
135,59582239
136,62755435
138,59469476
139,62619091
141,59599066
142,62652094
144,59634126
145,62757577
147,59763282
148,62773650
150,59726336
151,62779171
153,59364321
154,62765555
156,59761976
157,62838034
159,59603366
160,62839961
162,59701373
163,62868321
165,59652160
166,62821229
168,59670890
169,62831764
171,59679159
172,62784160
174,59841216
175,62807850
177,59706236
178,62715109
180,59507389
181,62802699
183,59646606
184,62794596
186,59637295
187,62826846
189,59957854
190,62828420
192,59644373
193,62830633
195,59371547
196,62855145
198,59698650
199,62854828
201,59688168
202,62851205
204,59746617
205,62871544
207,59694277
208,62824383
210,59667783
211,62812029
213,59689580
214,62835458
216,59729049
217,62812835
219,59669093
220,62799496
222,59665384
223,62769128
225,59635775
226,62802736
228,59673694
229,62813524
231,59757034
232,62817744
234,59697627
235,62839304
237,59667499
238,62800263
240,59672944
241,62823870
243,59714153
244,62848164
246,59677215
247,62850325
249,59722673
250,62816204
252,59700434
253,62824278
255,59686558
256,62808036
258,59644398
259,62835353
261,59633402
262,62714892
264,59665661
265,62602396
267,59599556
268,62729486
270,59873718
271,62798990
273,59813050
274,62806800
276,59772438
277,62719854
279,59620305
280,62756720
282,59517700
283,62732293
285,59818752
286,62831612
288,59690091
289,62803369
291,59680813
292,62807861
294,59719013
295,62803583
297,59728235
298,62812222
300,59681809
301,62790439
303,59510860
304,62781213
306,59628483
307,62806354
309,59698409
310,62803792
312,59637604
313,62714684
315,59640984
316,62748469
318,59704074
319,62793343
321,59660751
322,62743943
324,59601928
325,62727146
327,59685844
328,62805856
330,59797211
331,62779674
333,59677379
334,62701018
336,59642077
337,62773064
339,59653465
340,62829897
342,59770865
343,62812964
345,59708706
346,62821257
348,59637556
349,62811260
351,59679952
352,62781561
354,59673894
355,62815367
357,59708969
358,62821695
360,59749330
361,62849742
363,59665885
364,62740771
366,59601924
367,62764204
369,59699552
370,62805050
372,59664680
373,63053160
375,60333576
376,62936546
378,60310997
379,63207252
381,60123874
382,62942958
384,60126779
385,62905281
387,60450150
388,62943660
390,60292109
391,62941042
393,60115040
394,62972446
396,60197150
397,62790356
399,60279646
400,62905967
402,60491458
403,62815170
405,60378840
406,63018255
408,60204477
409,63013218
411,60163013
412,62984694
414,60180075
415,62924357
417,60331574
418,62974226
420,60355440
421,62967811
423,60179381
424,62914876
426,60150971
427,63054944
429,60437281
430,62649820
432,59695118
433,63006505
435,60115415
436,63026304
438,60264351
439,63072978
441,60395253
442,62986009
444,60387257
445,63030879
447,60284899
448,62993910
450,60134184
451,63004082
453,60141802
454,62913194
456,60382408
457,62935516
459,60360077
460,62888693
462,60091521
463,62905806
465,60174234
466,63035644
468,60294670
469,62842133
471,60248591
472,63035019
474,60263897
475,62892155
477,60310311
478,63026026
480,60219777
481,62911678
483,60222893
484,62825463
486,59792185
487,62627862
489,60087252
490,62910169
492,59593942
493,62917728
495,59399367
496,62993994
498,60016012
499,62801685
501,59635258
502,62790564
504,59400949
505,62761903
507,59528534
508,62766302
510,59670380
511,62894676
513,59633967
514,62892071
516,59672108
517,62887082
519,59713855
520,62882388
522,59736034
523,62891090
525,59655762
526,62955017
528,59614247
529,62920734
531,59726294
532,62878768
534,59679554
535,62885060
537,59695199
538,62880106
540,59743689
541,62923747
543,59682663
544,62804227
546,59622884
547,62856681
549,59720809
550,62839664
552,59643960
553,62856069
555,59689966
556,62805948
558,59795405
559,62803784
561,59597053
562,62792184
564,59640269
565,62939830
567,59722361
568,62829114
570,59589997
571,62806163
573,59688916
574,62820497
576,59722114
577,62824604
579,59714908
580,62853239
582,59695946
583,62828489
585,59716058
586,62823905
588,59712910
589,62836440
591,59669872
592,62786900
594,59594219
595,62800697
597,59671907
598,62820225
600,59722931
601,62815009
603,59522705
604,62795338
606,59672611
607,62819986
609,59725894
610,62859841
612,59690998
613,62855172
615,59707693
616,62709615
618,59636480
619,62955322
621,59806880
622,62930222
624,59896760
625,62765983
627,59612885
628,62814731
630,59591854
631,62796340
633,59618007
634,62763079
636,59568794
637,62787202
639,59631083
640,62771549
642,59659060
643,62807798
645,59696267
646,62884787
648,59679935
649,63034514
651,59793919
652,62868477
654,59642314
655,63013600
657,60053704
658,62743634
660,59574163
661,62880568
663,59604343
664,63003686
666,59600481
667,62937298
669,59622965
670,62845515
672,59438381
673,62699563
675,59361839
676,63024554
678,59939376
679,62898944
681,59826481
682,62786410
684,59377361
685,62810746
687,59569062
688,62779246
690,59586496
691,62762803
693,59687046
694,62770016
696,59573231
697,62755731
699,59572731
700,62809863
702,59609825
703,62773107
705,59635447
706,62901211
708,59714108
709,62856272
711,59665390
712,62921145
714,59607202
715,63016089
717,59709431
718,62980322
720,59927348
721,62969946
723,59455366
724,62895351
726,60206869
727,62927108
729,59697242
730,62879188
732,59817744
733,62711915
735,59260987
736,62581921
738,59666807
739,62866902
741,59687056
742,62833197
744,59663517
745,62832583
747,59691977
748,62834087
750,59677981
751,62804539
753,59574544
754,62828476
