seq,rtt_h2m_ns
3,351443373
4,33981946
5,42611087
6,49727186
7,52655165
8,59484673
9,62563605
11,59656707
12,62610065
14,59564761
15,62592647
17,59502066
18,62575815
20,59694350
21,62546869
23,59649763
24,62517856
26,59600918
27,62544346
29,59559599
30,62565120
32,59527293
33,62508258
35,59600004
36,62568808
38,59628329
39,62662905
41,59637485
42,62718385
44,59708358
45,62727480
47,59428102
48,62626928
50,59522086
51,62557549
53,59578126
54,62509202
56,59646973
57,62705583
59,59673682
60,62755744
62,59723214
63,62912661
65,59773897
66,62670677
68,59638246
69,62718006
71,59712440
72,62822369
74,59589585
75,62695128
77,59466130
78,62712158
80,59611008
81,62794199
83,59647141
84,62737503
86,59673007
87,62700523
89,59568486
90,62614394
92,59250797
93,62509325
95,59268673
96,62891066
98,59925519
99,62871772
101,59923820
102,62749965
104,59558748
105,62642665
107,59564659
108,62805872
110,59633911
111,62687093
113,59659411
114,62751169
116,60380976
117,63653675
119,59560116
120,62686152
122,59730711
123,62750659
125,59576144
126,62817427
128,59464295
129,62660053
131,59649562
132,62710251
134,59693766
135,62735566
137,59507194
138,62697371
140,59585043
141,62698717
143,59654580
144,62677104
146,59458399
147,62688959
149,59554518
150,62682993
152,59652692
153,62799258
155,59331043
156,62776508
158,59524021
159,62810777
161,59607150
162,62670810
164,59564390
165,62675857
167,59675392
168,62707581
170,59690665
171,62670213
173,59521407
174,62695157
176,59536076
177,62749503
179,59466464
180,62691981
182,59630351
183,62771699
185,59595332
186,62698981
188,59401419
189,62686348
191,59590581
192,62675933
194,59597736
195,62662529
197,59716062
198,62694124
200,59608844
201,62754217
203,59483568
204,62742336
206,59569391
207,62690575
209,59654281
210,62765075
212,59556943
213,62814331
215,59505090
216,62755096
218,59598219
219,62828396
221,59580096
222,62805423
224,59602542
225,62779075
227,59594429
228,62707667
230,59665740
231,62678180
233,59551514
234,62786399
236,59533111
237,62795272
239,59766661
240,62749508
242,59624846
243,62669479
245,59380123
246,62666061
248,59585934
249,62670277
251,59579083
252,62759861
254,59738071
255,62669569
257,59358994
258,62701553
260,59474821
261,62688972
263,59905254
264,62666273
266,59376759
267,62681933
269,59680914
270,62520632
272,59566265
273,62799749
275,59283104
276,62668332
278,59857021
279,62493761
281,59689459
282,62805417
284,59185479
285,62771536
287,59762994
288,62847755
290,60000994
291,62692961
293,59698746
294,62711503
296,59511617
297,62821743
299,59578913
300,62723989
302,59609668
303,62702619
305,59554678
306,62841457
308,59561816
309,62654911
311,59522949
312,62766968
314,59549535
315,62796743
317,59674045
318,62709273
320,59692809
321,62729954
323,59560428
324,62682381
326,59612628
327,62669377
329,59682335
330,62742151
332,59529807
333,62797742
335,59470336
336,62619158
338,59511123
339,62561626
341,59517196
342,62653586
344,59599442
345,62792815
347,59595918
348,62749519
350,59569355
351,62631527
353,59583322
354,62693428
356,59840414
357,62625223
359,59639503
360,62651875
362,59552906
363,62633581
365,59552168
366,62638533
368,59505134
369,62641570
371,59592292
372,62634453
374,59652443
375,62759085
377,59685374
378,62592935
380,59594126
381,62629394
383,59543431
384,62602994
386,59592539
387,62616117
389,59686840
390,62659133
392,59673056
393,62592505
395,59286860
396,62708749
398,59488194
399,62657993
401,59564489
402,62687401
404,59446512
405,62680634
407,59696330
408,62572135
410,59726713
411,62899462
413,59466091
414,62617909
416,59486487
417,62584541
419,59605418
420,62606369
422,59570871
423,62686430
425,59509669
426,62695802
428,59647000
429,62677314
431,59862591
432,62735987
434,59837492
435,62707575
437,59489361
438,62648323
440,59415769
441,62581727
443,59606756
444,62655735
446,59491532
447,62695118
449,59616100
450,62540637
452,59698892
453,62696637
455,59187884
456,62562894
458,59556998
459,62633299
461,59426644
462,62514430
464,59488718
465,62555178
467,59452596
468,62574151
470,59612581
471,62536059
473,59693608
474,62578023
476,59703096
477,62700316
479,59532947
480,62552286
482,59501809
483,62575752
485,59576611
486,62516208
488,59684967
489,62642886
491,59626037
492,62663494
494,59554800
495,62564370
497,59674447
498,62542304
500,59534446
501,62529190
503,59508727
504,62603430
506,59584042
507,62540873
509,59588327
510,62670998
512,59616544
513,62682272
515,59596272
516,62590715
518,59566694
519,62542368
521,59566226
522,62555234
524,59748809
525,62634303
527,59651427
528,62560613
530,59703343
531,62533490
533,59593218
534,62543612
536,59419732
537,62625977
539,59575801
540,62525697
542,59622061
543,62548825
545,59623923
546,62575391
548,59621770
549,62552547
551,59558958
552,62555268
554,59585288
555,62560872
557,59697364
558,62534224
560,59503459
561,62515748
563,59526200
564,62621411
566,59687116
567,62724991
569,59631239
570,62682120
572,59563255
573,62569440
575,59662397
576,62564205
578,59669111
579,62636957
581,59710381
582,62553975
584,59533427
585,62784950
587,59493970
588,62552818
590,59506440
591,62767298
593,59439106
594,62567023
596,59624617
597,62672830
599,59707661
600,62567205
602,59667076
603,62538222
605,59477663
606,62582694
608,59504510
609,62556003
611,59437373
612,62559197
614,59640819
615,62648672
617,59715113
618,62567547
620,59736087
621,62816079
623,59512160
624,62670990
626,59553609
627,62567478
629,59695007
630,62548098
632,59583806
633,62679956
635,61075217
636,63522013
638,59465673
639,62454977
641,59277386
642,62163017
644,59763740
645,62656097
647,59720234
648,62701911
650,59657381
651,62617556
653,59694502
654,62653861
656,59747241
657,62630126
659,59705432
660,62702012
662,59591488
663,62635727
665,59650929
666,62696769
668,59689303
669,62570920
671,59690836
672,62599365
674,59460604
675,62629060
677,59438692
678,62586055
680,59742953
681,62613815
683,59721035
684,62581094
686,59790716
687,62637126
689,59711118
690,62586409
692,59639499
693,62590851
695,59754690
696,62701513
698,59633079
699,62677580
701,59797424
702,62578596
704,59704518
705,62650587
707,59629570
708,62681004
710,59763830
711,62627261
713,59761746
714,62700461
716,59638242
717,62588344
719,59589614
720,62723527
722,59570072
723,62673926
725,59810493
726,62703076
728,59689435
729,62664115
731,59758278
