seq,rtt_h2m_ns
4,10146936
5,7661444
6,7832644
7,8177261
8,9597503
9,9379479
10,9135748
11,9130468
12,8666078
13,8253946
14,8150249
15,8188681
16,8483028
17,8257344
18,8857129
19,10092912
20,8950439
21,8231949
22,9154342
23,9178018
24,8113768
25,8117287
26,8135876
27,9252184
28,9538617
29,9470133
30,9561915
31,9547946
32,9098572
33,8056684
34,8335912
35,9058687
36,8760034
37,9273039
38,9583846
39,9519857
40,9263618
41,9498329
42,9215659
43,9294989
44,9537927
45,9568097
46,9616413
47,9310299
48,9544260
49,9525018
50,9518959
51,9792233
52,9532552
53,9573532
54,9564705
55,9225980
56,9798253
57,9570784
58,9558266
59,9693994
60,8038818
61,8041424
62,8266235
63,8193680
64,8147096
65,8087892
66,9118845
67,9062907
68,9721846
69,9482673
70,9576994
71,9574832
72,9329199
73,9489479
74,9531037
75,9537445
76,9891404
77,9487055
78,9183993
79,9729225
80,9484732
81,9498801
82,9733377
83,9018637
84,8173903
85,8765903
86,9046750
87,9471508
88,9534882
89,9307555
90,9640289
91,9664544
92,9311238
93,9281585
94,8910575
95,9231723
96,9502240
97,9558403
98,9557128
99,9510183
100,9822069
101,9955329
102,9527526
103,9203119
104,9854365
105,9572606
106,8111270
107,8686758
108,9086617
109,9716103
110,9535794
111,9519507
112,9503197
113,9261249
114,10194341
115,9308751
116,9846083
117,9751629
118,9593210
119,9513916
120,9543465
121,9643068
122,9298295
123,9534378
124,9535770
125,9232998
126,9594995
127,9593540
128,9543471
129,9576278
130,9551456
131,9525459
132,9812655
133,9954168
134,9303542
135,9530703
136,9493381
137,8915205
138,7908138
139,8016529
140,8273982
141,8235723
142,8238620
143,8650882
144,8162918
145,7996796
146,8286196
147,8268780
148,8214591
149,8206937
150,8236584
151,9173380
152,9884792
153,9500493
154,9581016
155,9242078
156,9350729
157,9137825
158,9413776
159,9451680
160,9276025
161,9110746
162,8153130
163,9134617
164,9702615
165,9244463
166,9468952
167,9475836
168,9535046
169,9425206
170,9031871
