seq,rtt_h2m_ns
531,10599646
532,10509901
533,10236229
534,10027708
535,10552952
536,10371277
537,10542835
538,10368638
539,10174229
540,10530377
541,9647044
542,10503207
543,10500199
544,9672327
545,10012135
546,10497673
547,9271398
548,10528200
549,10537298
550,10142536
551,9794381
552,10170266
553,9314958
554,10358590
555,9769127
556,10467106
557,9703127
558,10489858
559,9306368
560,10258828
561,9454617
562,8971829
563,10592556
564,10151495
565,9656670
566,10352039
567,9955472
568,10109929
569,9967179
570,10208580
571,9697315
572,10234738
573,10274272
574,10273415
575,10503015
576,10192086
577,9632125
578,10277088
579,10325955
580,9900156
581,9994668
582,8779179
583,10375186
584,9595086
585,10450268
586,10336314
587,10482913
588,9522283
589,10394088
590,10180716
591,10524021
592,10466644
593,9380962
594,10174987
595,9921337
596,10442217
597,9686147
598,10036406
599,10284090
600,10520940
601,9674499
602,10541644
603,10151079
604,10136803
605,10573010
606,9599188
607,10519806
608,10433692
609,9882015
610,10287756
611,9799854
612,10392479
613,9954104
614,10203315
615,10036154
616,10430198
617,10519180
618,9688944
619,10524954
620,10537868
621,10537195
622,10191518
623,10601264
624,10469732
625,9771404
626,10318905
627,10542478
628,10140760
629,9627549
630,10400387
631,10501447
632,10402292
633,10468932
634,9608199
635,10197957
636,10559625
637,10654006
638,10526805
639,10332507
640,10492332
641,9672539
642,10127828
643,10304230
644,10428161
645,10396674
646,10149309
647,10300097
648,10302568
649,10169241
650,9548768
651,10476733
652,10426165
653,10345730
654,10328179
655,9275754
656,10761545
657,10590877
658,10338057
659,9812694
660,10261903
661,9328350
662,10383835
663,10329926
664,9415632
665,10444948
666,10152979
667,10260033
668,10458720
669,10473484
670,10461974
671,9567580
672,10561073
673,10487637
674,10300233
675,9068161
676,10480372
677,9453134
678,10312380
679,9630801
680,10087358
681,9590013
682,10086160
683,10788975
684,9768306
685,10579932
686,10653003
687,10289758
688,9620019
689,10597721
690,10443262
691,10697322
692,10700784
693,9805925
694,10695670
695,9734610
696,10484785
697,10580825
698,10274634
699,9811298
700,10816732
701,10641502
702,10672383
703,10632109
704,10647498
705,10972297
706,10249833
707,10759622
708,10642905
709,10131065
710,10564454
711,10629465
712,10403053
713,10539497
714,9518745
715,10373502
716,10516367
717,10070213
718,10484554
719,10603311
720,10623654
721,10422313
722,10385689
723,10827848
724,10698801
725,10169404
726,10090814
727,9765885
728,10349063
729,10290863
730,10171158
731,10448794
732,9687312
733,10657087
734,9811340
735,9481309
736,10414101
737,10523545
738,10214854
739,10514501
740,9721602
741,10584936
742,10392585
743,10454242
744,9694099
745,10511229
746,10357914
747,10631090
748,10597619
749,10532638
750,9671097
751,10396969
752,9547493
753,10498846
754,10154842
755,9985719
756,10114616
757,10435852
758,10491525
759,9707754
760,10109277
761,10415398
762,9565684
763,10406734
764,10026719
765,10387679
766,10250139
767,10457749
768,9617458
769,10364809
770,10142016
771,10453775
772,10387814
773,10353929
774,9583328
775,10371353
776,9621664
777,10284723
778,9385183
779,10701704
780,9745391
781,10544118
782,10450616
783,10472406
784,9834886
785,10021343
786,10380910
787,10405347
788,10316724
789,10022912
790,9862683
791,10338938
792,8999369
793,10118213
794,10381899
795,10445639
796,10562834
797,9351964
798,10583247
799,9745516
800,10893386
801,10003976
802,10336820
803,10517631
804,10614160
805,10448860
806,10479357
807,10461872
808,10552150
809,9803302
810,10460271
811,10525461
812,10573240
813,10625009
814,10415032
815,10489123
816,10463755
817,10486589
818,9467126
819,10478542
820,9703184
821,10618609
822,9171394
823,9298476
824,10555623
825,10519189
826,10295175
827,10202787
828,10507381
829,10415534
830,10729169
831,10588893
832,10545675
833,9659330
834,10409421
835,10590807
836,10406763
837,10509587
838,10505120
839,9881585
840,10606749
841,9737842
842,10343185
843,10471995
844,10438682
