seq,rtt_h2m_ns
1,10249295
2,10363990
3,10743487
4,10659188
5,10435344
6,10630724
7,10643803
8,10743323
9,11745982
10,10708059
11,10783338
12,10682752
13,10710611
14,10666949
15,11645366
16,10498174
17,10670691
18,10667581
19,11777101
20,10388603
21,10483819
22,10717847
23,10671079
24,10663635
25,10772873
26,10659746
27,10653297
28,11537957
29,11492676
30,10531512
31,10668158
32,10683438
33,10689422
34,10520422
35,10618469
36,10601559
37,10615977
38,10739809
39,11624951
40,10589087
41,10755365
42,10771672
43,10740906
44,10707453
45,10448883
46,10487219
47,10568853
48,10617047
49,11554317
50,10521744
51,10452920
52,10561828
53,10464725
54,10384594
55,10730749
56,10561155
57,10493354
58,10604700
59,11497701
60,10446990
61,10515436
62,10600683
63,10448926
64,10533804
65,10674460
66,10616716
67,10586061
68,10656407
69,11592798
70,10497006
71,10536543
72,10503277
73,10501624
74,10571188
75,10590586
76,10606484
77,10660682
78,11603935
79,11595115
80,10373164
81,10493848
82,10629475
83,10585878
84,10578667
85,10657941
86,10607261
87,10682936
88,10484112
89,11545888
90,10466640
91,10594653
92,10557712
93,10479001
94,10549636
95,10581434
96,10583491
97,10659708
98,10453744
99,11996242
100,9493863
101,9502158
102,9605027
103,9592808
104,9536165
105,9442826
106,9500249
107,9401515
108,10455127
109,11604527
110,9303721
111,9425738
112,9530955
113,9418680
114,10340089
115,10491506
116,10503970
117,10545479
118,10426823
119,12385034
120,10290449
121,10473813
122,10450964
123,10426126
124,10378553
125,10520814
126,11596086
127,9577645
128,9564645
129,11567087
130,9424401
131,10471325
132,10466612
133,10547977
134,10544564
135,9477591
136,10594089
137,10544251
138,10478664
139,11549628
140,9495256
141,9553430
142,9577886
143,9472159
144,9481796
145,9485522
146,9495719
147,9473991
148,9594791
149,11455712
150,10486961
151,10469502
152,10494816
153,10610304
154,10581775
155,10622287
156,10607952
157,10338382
158,10497432
159,11507160
160,9589440
161,9590684
162,9563559
163,10497208
164,10448327
165,10555203
166,10515207
167,10588702
168,10596620
169,11607277
170,9500822
171,9467779
172,9531012
173,9583923
174,10568888
175,10423438
176,10563612
177,10597282
178,10612289
179,11509687
180,9487516
181,9518636
182,9602306
183,9624057
184,10618770
185,10486818
186,10619870
187,10477222
188,10534640
189,10617609
190,10613265
191,10412531
192,10436275
193,10638011
194,10628255
195,10630272
196,10537695
197,10598240
198,10611440
199,10605087
200,10632466
201,10393672
202,10578225
203,10593088
204,10612078
205,10532118
206,10671310
207,10565017
208,10600776
209,10476883
210,10609243
211,10503900
212,10597899
213,10514362
214,10636125
215,9494315
216,9399401
217,9499372
218,10579837
219,10492611
220,10640493
221,9580131
222,10471184
223,10383385
224,10523681
225,10612715
226,10593250
227,10573308
228,10621417
229,10601824
230,10622464
231,10575870
232,10498787
233,10630556
234,10523490
235,10499285
236,10478753
237,11196044
238,10363498
239,10354038
240,10340121
241,10317000
242,10291654
243,10338337
244,10324642
245,10350249
246,10307521
247,10336855
248,10335823
249,10346610
250,10332921
251,10328499
252,10343534
253,10320240
254,10414511
255,10400396
256,10485010
257,10447834
258,10521313
259,10558868
260,10524479
261,10582430
262,10426138
263,11300086
264,9564266
265,9581782
266,9569787
267,9577285
268,10503149
269,10513546
270,10598281
271,10544782
272,10564102
273,10449182
274,10514662
275,10561719
276,10582501
277,10517132
278,10527831
279,10533691
280,10571758
281,10572282
282,10552651
283,10562527
284,11504407
285,9582627
286,9546829
287,9575363
288,9515215
289,9563430
290,9622993
291,9525446
292,9571219
293,9582512
294,9553151
295,9483277
296,9476399
297,9432006
298,9533137
299,10570943
300,10577682
301,10507616
302,10593306
303,10508901
304,11495241
305,9627050
306,9597946
307,9575721
308,10483510
309,11653665
310,9536645
311,9464352
312,10406511
313,10343089
314,10433765
315,10441974
316,10406006
317,10431596
318,10445354
319,10442087
320,10350230
321,11329939
322,9360509
323,9431821
324,11428367
325,9407671
326,11394517
327,9442093
328,9488390
329,9403631
330,9467875
331,9342384
332,9322771
333,9453608
334,9452515
335,9437143
336,10395037
337,9355402
338,10427520
339,10418272
340,10397045
341,9455131
342,9316885
343,9336275
344,10410959
345,10453767
346,10464161
347,9449168
348,9329621
349,9421677
350,9428672
351,9457786
352,9407574
353,9447379
354,9449261
355,9436272
356,9443888
357,9374104
358,9627831
359,9614339
360,10538756
361,10466826
362,10479205
363,10600573
364,11529830
365,10603921
366,10618194
367,10486558
368,10482432
369,10649762
370,10646143
371,10581736
372,10367190
373,10314649
374,11319132
375,10303885
376,11348867
377,9327518
378,9344000
379,9373100
380,9315101
381,9358494
382,9343179
383,9366372
384,9326451
385,9343057
386,9352853
387,9374342
388,9348282
389,9364610
390,9354240
391,9355604
392,9343813
393,9361185
394,9324879
395,9346901
396,9352103
397,9353459
398,9545891
399,10440301
400,10527427
401,10545966
402,10503149
403,10534714
404,10508932
405,10580262
406,10514376
407,10521457
408,10607542
409,10581010
410,10658047
411,10689952
412,10536340
413,10598694
414,10605044
415,10507233
416,10537743
417,10574115
418,10635151
419,10608666
420,10524656
421,10517398
422,10577430
423,10467402
424,10506102
425,10526519
426,10544107
427,10430615
428,9451564
429,10430457
430,10498005
431,10554358
432,10490748
433,10393506
434,10495582
435,10520624
436,10515528
437,10491642
438,10441693
439,10509949
440,9504395
441,9504018
442,9517494
443,9476332
444,9534224
445,9481666
446,9479798
447,9448699
448,9503916
449,9503198
450,10384579
451,10517133
452,10485528
453,10689381
454,10585485
455,9838343
456,10701781
457,10333917
458,10726311
459,10708548
460,10723552
461,10759999
462,10724898
463,10699747
464,10791381
465,10639507
466,10706071
467,10679258
468,10665219
469,10749789
470,10652019
471,10633842
472,10741922
473,10671401
474,10695082
475,10684825
476,10638292
477,10702939
478,11658832
479,10643590
480,10721067
481,10666615
482,10594427
483,10639808
484,10539560
485,10631261
486,10624597
487,10518366
488,10479104
489,10574344
490,10640153
491,9513312
492,9628683
493,9629386
494,9633247
495,9642127
496,10559775
497,10467391
498,10581957
499,10527842
500,10599895
501,10630160
502,10640774
503,9602751
504,9631958
505,9638714
506,9575056
507,9566717
508,10554788
509,10625087
510,10447968
511,10512698
512,10792107
513,10466789
514,10574500
515,10535615
516,10590159
517,10431183
518,10526202
519,10562358
520,10559579
521,10617072
522,10582258
523,10428512
524,10459738
525,10495080
526,10578677
527,11535949
528,10571102
529,10560300
530,10533153
531,10544431
532,10540536
533,10587774
534,10573047
535,10560809
536,10559855
537,10548507
538,10596742
539,10518516
540,10569961
541,10563130
542,10533528
543,10581039
544,10521879
545,11525857
546,10526401
547,10449729
548,10603806
549,10548740
550,10587617
551,10466289
552,10594714
553,10578238
554,10574806
555,10555142
556,10511537
557,10573979
558,10572216
559,10601649
560,10588824
561,10512172
562,10502084
563,10572475
564,10561713
565,10963878
566,10546584
567,10592219
568,10481645
569,10579359
570,11534991
571,9410824
572,9552361
573,10547892
574,10615192
575,10529068
576,10542081
577,10588403
578,10580683
579,10533870
580,10429686
581,10541049
582,10553651
583,10562833
584,10439065
585,10503939
586,10551882
587,10452345
588,10528745
589,10440847
590,10582224
591,10512513
592,10441498
593,10527034
594,10594292
595,10595656
596,10591958
597,10581884
598,10586859
599,10589234
600,10537331
601,10585808
602,10528398
603,10596029
604,10593827
605,10574128
606,10581233
607,10563980
608,10480605
609,10609083
610,10539684
611,10570375
612,10538063
613,9685180
614,9667696
615,9695385
616,9666831
617,9541116
618,9628830
619,9468724
620,10406500
621,11430119
622,9438081
623,9439613
624,9479360
625,9416042
626,9455396
627,10424400
628,10453402
629,10451753
630,10420578
631,10406182
632,11415849
633,9457702
634,9472222
635,10437045
636,9439078
637,9433532
638,9407684
639,9443142
640,9440610
641,9458765
642,9458130
643,9447350
644,9445328
645,9305442
646,10437211
647,10458208
648,10459628
649,10442721
650,10333523
651,10440054
652,10452951
653,10450195
654,10342542
655,10468975
656,10456909
657,10303897
658,10431371
659,10514001
660,10318325
661,10603911
662,10573051
663,10569200
664,10360932
665,10455680
666,10417886
667,10334226
668,10413201
669,10443004
670,10407719
671,10439092
672,10422560
673,10307899
674,10426424
675,10427992
676,10411749
677,10452649
678,10425958
679,10460087
680,10424573
681,11434146
682,9432470
683,9448333
684,9456715
685,9430416
686,9464176
687,9398626
688,10427161
689,10456295
690,10431432
691,10417191
692,10430515
693,10427784
694,10470411
695,10445824
696,10432375
697,10432818
698,10430943
699,10437549
700,10429572
701,10447022
702,10424509
703,10450906
704,10449347
705,10360042
706,10411832
707,10435962
708,10427015
709,10456028
710,10429256
711,11441760
712,9406367
713,10414263
714,10449429
715,10439441
716,10454302
717,10453974
718,10436764
719,10447839
720,10456271
721,10328362
722,10450471
723,10320880
724,10454341
725,10402507
726,10438561
727,10437934
728,10436404
729,10430845
730,10437553
731,10436021
732,10453051
733,10458997
734,10437402
735,10355490
736,10454938
737,10453646
738,10463644
739,10610898
740,10573948
741,10605378
742,10576792
743,10587836
744,10580112
745,10563351
746,10587499
747,10559068
748,11568206
749,9594828
750,9556120
751,10563305
752,10586432
753,10618373
754,10605533
755,10581340
756,10903332
757,10376362
758,10608264
759,11603624
760,9449844
761,9536591
762,10515699
763,10647274
764,10690660
765,10663920
766,10568403
767,10592227
768,10600364
769,10579188
770,10449484
771,10384573
772,10539045
773,10605256
774,10495161
775,10532599
776,10575837
777,11524327
778,9435698
779,9546111
780,9561724
781,9591850
782,9567536
783,9587265
784,9653527
785,9663662
786,9641172
787,9556225
788,9429877
789,10557621
790,10555994
791,10558546
792,11579172
793,9586107
794,9585330
795,9592922
796,10541495
797,11582870
798,9589975
799,9588564
800,9592359
801,9593058
802,9573653
803,10538432
804,10607079
805,10608273
806,11609868
807,10573201
808,10570558
809,10683927
810,10605752
811,11536212
812,9566094
813,10592160
814,10564510
815,10539290
816,9318003
817,9586730
818,10653480
819,10607818
820,10570811
821,10600743
822,10578729
823,10511414
824,10581553
825,10572544
826,10593866
827,10573325
828,10594250
829,10540788
830,10422126
831,10431631
832,10621031
833,10608010
834,10558811
835,10603804
836,10612141
837,10675432
838,11633276
839,10588443
840,10590588
841,10667813
842,10614484
843,11582118
844,9502203
845,10568763
846,10601630
847,10574973
848,10586437
849,11503448
850,9617806
851,9980733
852,10600865
853,10480621
854,10569471
855,10624891
856,9575011
857,10559174
858,10556034
859,10588231
860,10597368
861,10547164
862,10614574
863,10629452
864,10540146
865,10595243
866,10601219
867,10604220
868,11448604
869,9353317
870,9617312
871,10422509
872,10563867
873,10482721
874,9602656
875,9458926
876,10339373
877,11535368
878,9605049
879,10497902
880,10589141
881,10625666
882,10652780
883,10663959
884,11603670
885,10541896
886,11537588
887,10606833
888,11534039
889,9452213
890,9593693
891,10542107
892,10598628
893,10671890
894,10561397
895,10411658
896,10475768
897,10468962
898,11518730
899,9544126
900,10520189
901,11589772
902,10418042
903,11482842
904,9439037
905,10534205
906,10490003
907,10590392
908,10540409
909,10512119
910,10544805
911,10566531
912,10548195
913,10365751
914,10609310
915,10478788
916,10547393
917,10450567
918,10589086
919,10601390
920,10511361
921,10438980
922,10588076
923,10609787
924,10579964
925,10618463
926,10549397
927,10566060
928,11543974
929,10568282
930,10470009
931,11676157
932,10629685
933,10648350
934,10647820
