seq,latency_m2m_ns,callback_jitter,publish_jitter
335,34705000,23595000,12344000
336,34700000,21987000,10313000
337,32824000,22140000,10477000
338,32775000,21935000,10411000
339,32835000,22060000,10472000
340,32771000,21936000,10400000
341,32754000,21991000,10393000
342,32831000,22069000,10460000
343,32891000,22067000,10535000
344,34783000,23885000,12412000
345,34988000,22213000,10617000
346,32837000,21857000,10490000
347,32992000,22139000,10629000
348,33000000,22007000,10629000
349,33042000,22051000,10687000
350,32992000,21941000,10620000
351,32837000,21854000,10482000
352,32987000,22142000,10619000
353,34865000,23883000,12506000
354,35196000,22326000,10817000
355,32909000,21729000,10554000
356,32921000,22004000,10558000
357,33200000,22278000,10841000
358,33004000,21797000,10621000
359,33041000,22053000,10689000
360,33000000,21943000,10632000
361,33000000,22000000,10632000
362,34806000,23806000,12431000
363,34866000,22068000,10491000
364,32940000,22082000,10581000
365,33001000,22052000,10642000
366,32944000,21935000,10568000
367,32931000,21996000,10572000
368,32951000,22012000,10576000
369,33009000,22065000,10650000
370,32878000,21862000,10503000
371,34874000,24004000,12518000
372,34952000,22070000,10573000
373,32858000,21921000,10510000
374,32950000,22077000,10582000
375,32873000,21928000,10515000
376,32955000,22076000,10591000
377,32878000,21924000,10515000
378,32882000,22004000,10511000
379,33075000,22201000,10720000
380,34823000,23740000,12452000
381,35086000,22271000,10715000
382,33029000,21950000,10673000
383,33036000,22000000,10671000
384,32970000,21926000,10599000
385,33036000,22074000,10672000
386,32965000,21921000,10594000
387,33029000,22072000,10666000
388,32965000,21927000,10594000
389,34623000,23666000,12261000
390,33870000,21239000,10490000
391,32838000,21984000,10490000
392,32862000,22008000,10490000
393,32854000,22000000,10498000
394,32865000,22004000,10494000
395,32777000,21919000,10421000
396,32865000,22081000,10494000
397,32776000,21919000,10423000
398,34607000,23821000,12228000
399,33823000,21226000,10460000
400,32894000,22071000,10530000
401,32836000,21943000,10481000
402,32839000,21994000,10468000
403,32827000,21996000,10471000
404,32914000,22079000,10550000
405,32831000,21917000,10467000
406,32845000,22013000,10473000
407,34564000,23720000,12200000
408,33810000,21246000,10439000
409,32793000,21991000,10429000
410,32869000,22077000,10507000
411,32866000,21996000,10513000
412,32808000,21932000,10435000
413,32789000,21991000,10433000
414,32746000,21949000,10368000
415,32726000,21988000,10364000
416,34542000,23808000,12171000
417,33763000,21229000,10400000
418,32914000,22151000,10554000
419,32708000,21791000,10330000
420,32836000,22140000,10486000
421,32786000,21933000,10419000
422,32717000,21931000,10338000
423,32780000,22071000,10423000
424,32781000,21991000,10404000
425,32767000,21996000,10407000
426,32799000,22024000,10424000
427,32688000,21897000,10325000
428,32775000,22079000,10408000
429,32766000,21991000,10386000
430,32766000,22009000,10400000
431,32767000,22000000,10408000
432,32793000,22018000,10426000
433,32775000,21982000,10408000
434,32784000,22009000,10409000
435,32776000,22000000,10409000
436,32709000,21933000,10342000
437,32766000,22049000,10396000
438,32775000,22009000,10404000
439,32694000,21927000,10325000
440,32769000,22073000,10404000
441,32698000,21930000,10333000
442,32932000,22226000,10556000
443,32684000,21761000,10322000
444,32775000,22083000,10404000
445,32763000,21996000,10410000
446,32768000,21995000,10391000
447,32758000,22000000,10397000
448,32713000,21946000,10333000
449,32763000,22059000,10399000
450,32893000,22131000,10531000
451,32763000,21869000,10400000
452,32772000,22009000,10417000
453,33734000,22954000,10357000
454,32798000,22072000,10435000
455,32853000,22055000,10500000
456,32872000,22009000,10499000
457,32866000,22004000,10511000
458,32819000,21945000,10447000
459,32788000,21977000,10434000
460,32870000,22074000,10499000
461,32862000,21999000,10506000
462,35858000,24988000,11216000
463,33576000,21996000,10489000
464,32802000,21949000,10438000
465,32866000,22063000,10501000
466,32796000,21930000,10424000
467,32841000,22054000,10477000
468,32781000,21941000,10419000
469,32775000,21993000,10422000
470,32864000,22078000,10490000
471,34782000,23929000,10419000
472,32790000,22007000,10426000
473,32713000,21924000,10354000
474,32862000,22140000,10490000
475,32850000,21996000,10494000
476,32866000,22008000,10486000
477,32701000,21852000,10351000
478,32804000,22085000,10431000
479,32714000,21919000,10353000
480,34815000,24093000,10443000
481,32798000,21992000,10442000
482,32806000,22000000,10435000
483,32726000,21928000,10363000
484,32819000,22084000,10456000
485,32806000,21988000,10434000
486,32188000,21391000,9826000
487,31758000,21569000,10398000
488,32773000,22004000,10392000
489,34911000,24149000,11274000
490,33507000,21868000,10408000
491,32754000,21983000,10402000
492,32777000,22005000,10404000
493,32827000,22060000,10474000
494,32777000,21940000,10396000
495,32759000,22000000,10412000
496,32781000,22006000,10410000
497,32773000,22000000,10418000
498,32781000,22000000,10410000
499,32833000,22059000,10477000
500,32845000,22004000,10473000
501,32973000,22137000,10618000
502,32862000,21880000,10482000
503,32961000,22116000,10613000
504,32785000,21807000,10405000
505,32829000,22061000,10482000
506,32849000,22003000,10478000
507,32763000,21923000,10410000
508,32773000,22000000,10400000
509,32758000,21995000,10396000
510,32845000,22079000,10474000
511,33047000,22209000,10686000
512,32847000,21794000,10469000
513,32898000,22062000,10543000
514,33040000,22134000,10653000
515,32829000,21808000,10482000
516,32839000,21991000,10472000
517,32771000,21932000,10411000
518,32783000,22004000,10408000
519,32835000,22060000,10475000
520,32989000,22146000,10606000
521,33045000,22070000,10688000
522,32853000,21798000,10474000
523,32819000,21978000,10464000
524,32771000,21944000,10392000
525,32890000,22135000,10546000
526,32839000,21929000,10468000
527,32750000,21919000,10388000
528,32772000,22013000,10400000
529,32833000,22069000,10477000
530,32771000,21931000,10400000
531,32837000,22074000,10482000
532,32906000,22061000,10535000
533,32823000,21925000,10467000
534,34643000,23812000,12260000
535,34760000,22132000,10404000
536,32853000,22086000,10490000
537,32782000,21929000,10427000
538,32786000,21995000,10414000
539,32767000,21990000,10412000
540,32858000,22082000,10486000
541,32773000,21924000,10417000
542,32712000,21931000,10333000
543,34507000,23803000,12143000
544,33810000,21303000,10448000
545,32815000,22004000,10459000
546,32827000,22005000,10456000
547,32807000,21987000,10452000
548,32819000,22004000,10448000
549,32738000,21928000,10376000
550,32827000,22080000,10456000
