seq,rtt_m2h_ns
155,11605000
156,10819000
157,12239000
158,11568000
159,11547000
160,11246000
161,11474000
162,10828000
163,12239000
164,12236000
165,11404000
166,12243000
167,11075000
168,11548000
169,11346000
170,11195000
171,11570000
172,11268000
173,11174000
174,12231000
175,11362000
176,12240000
177,11507000
178,11494000
179,11520000
180,10955000
181,11382000
182,11157000
183,11320000
184,11582000
185,11255000
186,11582000
187,11062000
188,10750000
189,12239000
190,12239000
191,12243000
192,11519000
193,10942000
194,11539000
195,11572000
196,12235000
197,11498000
198,12243000
199,11512000
200,11199000
201,12231000
202,11544000
203,11581000
204,11544000
205,12235000
206,11281000
207,10970000
208,11351000
209,10919000
210,11152000
211,12235000
212,12231000
213,11133000
214,12231000
215,11139000
216,12231000
217,11415000
218,12239000
219,12243000
220,11383000
221,11511000
222,10495000
223,11576000
224,12223000
225,11580000
226,12227000
227,12235000
228,12227000
229,12247000
230,11148000
231,12235000
232,12231000
233,11267000
234,12227000
235,12235000
236,11577000
237,11547000
238,12231000
239,12227000
240,12310000
241,12240000
242,11306000
243,12231000
244,12227000
245,12252000
246,12235000
247,10811000
248,11318000
249,11516000
250,12239000
251,11503000
252,12227000
253,11231000
254,11332000
255,11575000
256,12231000
257,12235000
258,12235000
259,12247000
260,12231000
261,12239000
262,11565000
263,12239000
264,11495000
265,12227000
266,12231000
267,12314000
268,10680000
269,11490000
270,11527000
271,12235000
272,12243000
273,11145000
274,11539000
275,11562000
276,12235000
277,12231000
278,12239000
279,11586000
280,12309000
281,11515000
282,10754000
283,12243000
284,12239000
285,12247000
286,12247000
287,12303000
288,12235000
289,12247000
290,11111000
291,12247000
292,12239000
293,11145000
294,12248000
295,12243000
296,11535000
297,11280000
298,11335000
299,12239000
300,12239000
301,12231000
302,11346000
303,12227000
304,11545000
305,12223000
306,12236000
307,11029000
308,10938000
309,12242000
310,11357000
311,12231000
312,12231000
313,11184000
314,11581000
315,11054000
316,11520000
317,12246000
318,12239000
319,11548000
320,12235000
321,12235000
322,11125000
323,10651000
324,11551000
325,12239000
326,11254000
327,11577000
328,12235000
329,11511000
330,11484000
331,11518000
332,12235000
333,11392000
334,11276000
335,11313000
336,11149000
337,12239000
338,11566000
339,11470000
340,11576000
341,11268000
342,11509000
343,11195000
344,12235000
345,11486000
346,12235000
347,12239000
348,11175000
349,12247000
350,11125000
351,11572000
352,12231000
353,11293000
354,12238000
355,12259000
356,11473000
357,12231000
358,12231000
359,12252000
360,12247000
361,12247000
362,12239000
363,12248000
364,11565000
365,12239000
366,11285000
367,10865000
368,11502000
369,10741000
370,11371000
371,11505000
372,11440000
373,11015000
374,11531000
375,11177000
376,11523000
377,11572000
378,12227000
379,11514000
380,12239000
381,11185000
382,11486000
383,12263000
384,11549000
385,12235000
386,11357000
387,11484000
388,12231000
389,11393000
390,12239000
391,11539000
392,11499000
393,11330000
394,12238000
395,10936000
396,12231000
397,12243000
398,11515000
399,11488000
400,11462000
401,11491000
402,11474000
403,11572000
404,12231000
405,11569000
406,11545000
407,12290000
408,12227000
409,11369000
410,10728000
411,12239000
412,11495000
413,11038000
414,12227000
415,11318000
416,10959000
417,11132000
418,12239000
419,11271000
420,12239000
421,11488000
422,12243000
423,11495000
424,12239000
425,11615000
426,11123000
427,10658000
428,11129000
429,11439000
430,11258000
431,11292000
432,12240000
433,11177000
434,12239000
435,12239000
436,12236000
437,11441000
438,12215000
439,11462000
440,12240000
441,11318000
442,12227000
443,12239000
444,12236000
445,11327000
446,11104000
447,11480000
448,12240000
449,10942000
450,11320000
451,11488000
452,12243000
453,11079000
454,12231000
455,11420000
456,11457000
457,11288000
458,11468000
459,11443000
460,11490000
461,11448000
462,11339000
463,12235000
464,12227000
465,11244000
466,12235000
467,11315000
468,11569000
469,12299000
470,11019000
471,11546000
472,11361000
473,11191000
474,12235000
475,11267000
476,11450000
477,11402000
478,11458000
479,11423000
480,11469000
481,11291000
482,11476000
483,11454000
484,11398000
485,11331000
486,11490000
487,10907000
488,11556000
489,11338000
490,11349000
491,11485000
492,11427000
493,11079000
494,11429000
495,11484000
496,11373000
497,12255000
498,12235000
499,12235000
500,11527000
501,12240000
502,11523000
503,11019000
504,12227000
505,11364000
506,11326000
507,12235000
508,12231000
509,11462000
510,11257000
511,12231000
512,11478000
513,11111000
514,11417000
515,11527000
516,12223000
517,12240000
518,11222000
519,11335000
520,11430000
521,11415000
522,11493000
523,11399000
524,11181000
525,12243000
526,11231000
527,11347000
528,11459000
529,10608000
530,10556000
531,11226000
532,11462000
533,11157000
534,11325000
535,11095000
536,11397000
537,12302000
538,11536000
539,11583000
540,11498000
541,11458000
542,12235000
543,11527000
544,12239000
545,11535000
546,11568000
547,10986000
548,11498000
549,12235000
550,11446000
551,12306000
552,11452000
553,11214000
554,11454000
555,11147000
556,11531000
557,11288000
558,11342000
559,11099000
560,11482000
561,11428000
562,11412000
563,11314000
564,11276000
565,11440000
566,11424000
567,11038000
568,10320000
569,11465000
570,11444000
571,11398000
572,11029000
573,11125000
574,11458000
575,11267000
576,11369000
577,11007000
578,11544000
579,10581000
580,10561000
581,11292000
582,11141000
583,12243000
584,11555000
585,11432000
586,11425000
587,10967000
588,11070000
589,11178000
590,10815000
591,11449000
592,11351000
593,11458000
594,11517000
595,11197000
596,11443000
597,11395000
598,11466000
599,10998000
600,11451000
601,11268000
602,11436000
603,11137000
604,11454000
605,11339000
606,11461000
607,11141000
608,11184000
609,10390000
610,10427000
611,11428000
612,11396000
613,11306000
614,11204000
615,11025000
616,12235000
617,11442000
618,11409000
619,11467000
620,11418000
621,12231000
622,11350000
623,11409000
624,11232000
625,11275000
626,11361000
627,11137000
628,11444000
629,11420000
630,11376000
631,11430000
632,11389000
633,11086000
634,11462000
635,11038000
636,11392000
637,11449000
638,11332000
639,11470000
640,11411000
641,11184000
642,12235000
643,11393000
644,11562000
645,11469000
646,11427000
647,12244000
648,11564000
649,11484000
650,10890000
651,11492000
652,11366000
653,11142000
654,11520000
655,11158000
656,11380000
657,11426000
658,11458000
659,11440000
660,11477000
661,11306000
662,11393000
663,11042000
664,11546000
665,11448000
666,11403000
667,11372000
668,11611000
669,11377000
670,11494000
671,11531000
672,11490000
673,11118000
674,11508000
675,11192000
676,11426000
677,11554000
678,11503000
679,11552000
680,11515000
681,11229000
682,12239000
683,11506000
684,11470000
685,12247000
686,11255000
687,11509000
688,11401000
689,11238000
690,11079000
691,11320000
692,11368000
693,11189000
694,11422000
695,11112000
696,11581000
697,12243000
698,11576000
699,11470000
700,11587000
701,12239000
702,10895000
703,11550000
704,11462000
705,11405000
706,12235000
707,12239000
708,11548000
709,11564000
710,10932000
711,11562000
712,11280000
713,11157000
714,12223000
715,11444000
716,11564000
717,11577000
718,11558000
719,12235000
720,11354000
721,12243000
722,11500000
723,11518000
724,11443000
725,12246000
726,11567000
727,10849000
728,10770000
729,11545000
730,12243000
731,11479000
732,11527000
733,11142000
734,11379000
735,11553000
736,11384000
737,11560000
738,12231000
739,11435000
740,11550000
741,11367000
742,12227000
743,11582000
744,11485000
745,11525000
746,11555000
747,11528000
748,11351000
749,11037000
750,11293000
751,11535000
752,11511000
753,11139000
754,11503000
755,10508000
756,11228000
757,12235000
758,11175000
759,11557000
760,11528000
761,11510000
762,11527000
763,11431000
764,11253000
765,11593000
766,11195000
767,11516000
768,12231000
769,10915000
770,11147000
771,11523000
772,11287000
773,11397000
774,11221000
775,11474000
776,11493000
777,11554000
778,11568000
779,11552000
780,12235000
781,12251000
782,11374000
783,11415000
784,11466000
785,11514000
786,11381000
787,10887000
788,11477000
789,11573000
790,11395000
791,11445000
792,11541000
793,11248000
794,11406000
795,11466000
796,11484000
797,11400000
798,11554000
799,11478000
800,11506000
801,11474000
802,12231000
803,11262000
804,10882000
805,11480000
806,11439000
807,11062000
808,10903000
809,11490000
810,11185000
811,11496000
812,11381000
813,11019000
814,11399000
815,11090000
816,11400000
817,11508000
818,11336000
819,11439000
820,11403000
821,11520000
822,11504000
823,11180000
824,11501000
825,11393000
826,11162000
827,11119000
828,11440000
829,10923000
830,10562000
831,10865000
832,11531000
833,11002000
834,11544000
835,10795000
836,11531000
837,11502000
838,11403000
839,11506000
840,10991000
841,11506000
842,11561000
843,11507000
844,11489000
845,11366000
846,11225000
847,10836000
848,11079000
849,10907000
850,11090000
851,11531000
852,12235000
853,11046000
854,11377000
855,10993000
856,11447000
857,11480000
858,12239000
859,11408000
860,12227000
861,11344000
862,11480000
863,11427000
864,11391000
865,11420000
866,12235000
867,11422000
868,11410000
869,11366000
870,11415000
871,11448000
872,11404000
873,11033000
874,11418000
875,11240000
876,12231000
877,11477000
878,12239000
879,11119000
880,11361000
881,11465000
882,11506000
883,11196000
884,11310000
885,11478000
886,11447000
887,11174000
888,11241000
889,11358000
890,11539000
891,11230000
892,11325000
893,11250000
894,11269000
895,11328000
896,11334000
897,11380000
898,11213000
899,11327000
900,11341000
901,11323000
902,12231000
903,11337000
904,11284000
905,11333000
906,11361000
907,10741000
908,11363000
909,10649000
910,11107000
911,11357000
912,12231000
913,11143000
914,11375000
915,11368000
916,11385000
917,11434000
918,11329000
919,11453000
920,12239000
921,11318000
922,12299000
923,11390000
924,11210000
925,11386000
926,11215000
927,11416000
928,11283000
929,10853000
930,11281000
931,11485000
932,11362000
933,11066000
934,11297000
935,11409000
936,11103000
937,11079000
938,11319000
939,11351000
940,11526000
941,11495000
942,10915000
943,11427000
944,11199000
945,11359000
946,11130000
947,11360000
948,11340000
949,12243000
950,11411000
951,11321000
952,11287000
953,11177000
954,11418000
955,11326000
956,11319000
957,11395000
958,11314000
959,11408000
960,11381000
961,11480000
962,11386000
963,11415000
964,11328000
965,10807000
966,11405000
967,10663000
968,11411000
969,11295000
970,11411000
971,11441000
972,11414000
973,10967000
974,11341000
975,11313000
976,11429000
977,11384000
978,11425000
979,12239000
980,11167000
981,11191000
982,11243000
983,11130000
984,11455000
985,11332000
986,11385000
987,11415000
988,11404000
989,10942000
990,11380000
991,11356000
992,11476000
993,11023000
994,11415000
995,11300000
996,12243000
997,11434000
998,11489000
999,11370000
1000,12322000
1001,12291000
1002,12282000
1003,12305000
1004,11565000
1005,12323000
1006,11627000
1007,12311000
1008,12312000
1009,11184000
1010,11091000
1011,12291000
1012,12303000
1013,11390000
1014,12305000
1015,11477000
1016,12282000
1017,12303000
1018,12340000
1019,12307000
1020,12287000
1021,12305000
1022,11456000
1023,12311000
1024,11460000
1025,12303000
1026,12294000
1027,11058000
1028,11265000
1029,12291000
1030,12295000
1031,11461000
1032,11407000
1033,11468000
1034,12302000
1035,11535000
1036,11417000
1037,12310000
1038,12282000
1039,12298000
1040,11586000
1041,12363000
1042,12305000
1043,12292000
1044,11594000
1045,11553000
1046,12305000
1047,12313000
1048,11546000
1049,11643000
1050,12307000
1051,10947000
1052,12302000
1053,11503000
1054,12312000
1055,12307000
1056,11613000
1057,11585000
1058,12291000
1059,11598000
1060,11635000
1061,12312000
1062,12286000
1063,12287000
1064,11568000
1065,11618000
1066,12291000
1067,12318000
1068,12286000
1069,11278000
1070,11591000
1071,12286000
1072,12282000
1073,11303000
1074,12291000
1075,12305000
1076,12282000
1077,12303000
1078,11472000
1079,12295000
1080,12290000
1081,11313000
1082,12309000
1083,12309000
1084,12296000
1085,12306000
1086,11566000
1087,10927000
1088,11108000
1089,10712000
1090,11457000
1091,12290000
1092,12309000
1093,11552000
1094,12286000
1095,12306000
1096,12310000
1097,12306000
1098,12306000
1099,12309000
1100,12306000
1101,11355000
1102,12286000
1103,12305000
1104,12286000
1105,12291000
1106,12287000
1107,12319000
1108,12302000
1109,12295000
1110,12306000
1111,11394000
1112,12286000
1113,11319000
1114,12282000
1115,11549000
1116,12291000
1117,11495000
1118,12291000
1119,11478000
1120,12295000
1121,11549000
1122,12286000
1123,11625000
1124,12286000
1125,12287000
1126,12302000
1127,12313000
1128,11054000
1129,12290000
1130,11211000
1131,10965000
1132,12291000
1133,11312000
1134,12302000
1135,12302000
1136,12278000
1137,12286000
1138,12293000
1139,12295000
1140,12290000
1141,12302000
1142,12282000
1143,11390000
1144,12282000
1145,12311000
1146,12287000
1147,11174000
1148,12291000
1149,11189000
1150,12303000
1151,11641000
1152,12291000
1153,11370000
1154,12310000
1155,12291000
1156,12291000
1157,12312000
1158,12291000
1159,12295000
1160,12295000
1161,11520000
1162,12291000
1163,12291000
1164,12287000
1165,12355000
1166,11512000
1167,12313000
1168,11376000
1169,10856000
1170,11380000
1171,12291000
1172,12305000
1173,11346000
1174,12286000
1175,11411000
1176,12305000
1177,12287000
1178,12282000
1179,12295000
1180,12291000
1181,11086000
1182,11264000
1183,11441000
1184,12295000
1185,12291000
1186,12315000
1187,12323000
1188,12291000
1189,12295000
1190,12291000
1191,12309000
1192,12291000
1193,11334000
1194,12286000
1195,12296000
1196,12295000
1197,12296000
1198,11520000
1199,12306000
1200,12295000
1201,12291000
1202,12315000
1203,11635000
1204,12287000
1205,11631000
1206,12303000
1207,11510000
1208,12341000
1209,12306000
1210,12309000
1211,12287000
1212,12291000
1213,11379000
1214,12306000
1215,12287000
1216,12286000
1217,12310000
1218,11445000
1219,13456000
1220,12290000
1221,12286000
1222,12291000
1223,11201000
1224,12278000
1225,12292000
1226,12291000
1227,12318000
1228,11522000
1229,11235000
1230,12290000
1231,11363000
1232,12278000
1233,11378000
1234,12287000
1235,12282000
1236,12286000
1237,12303000
1238,12282000
1239,12307000
1240,12286000
1241,12286000
1242,11288000
1243,10697000
1244,12291000
1245,12302000
1246,12349000
1247,12310000
1248,12302000
1249,10799000
1250,10911000
1251,12299000
1252,12306000
1253,11410000
1254,12282000
1255,12302000
1256,12305000
1257,12291000
1258,12282000
1259,12295000
1260,12307000
1261,12291000
1262,12291000
1263,12291000
1264,12286000
1265,12291000
1266,12282000
1267,11624000
1268,11555000
1269,12295000
1270,12290000
1271,11619000
1272,12286000
1273,11338000
1274,12291000
1275,12312000
1276,11457000
1277,11417000
1278,12278000
1279,12310000
1280,12290000
1281,11506000
1282,12299000
1283,12291000
1284,12290000
1285,12295000
1286,12295000
1287,13454000
1288,12286000
1289,12295000
1290,12309000
1291,12306000
1292,12306000
1293,11394000
1294,12309000
1295,11476000
1296,11241000
1297,12291000
1298,12310000
1299,11612000
1300,11388000
1301,11611000
1302,10832000
1303,11485000
1304,12310000
1305,12303000
1306,12287000
1307,12320000
1308,12282000
1309,11246000
1310,10307000
1311,10611000
1312,12282000
1313,11258000
1314,12286000
1315,12291000
1316,12291000
1317,12305000
1318,12286000
1319,12295000
1320,11413000
1321,12311000
1322,12282000
1323,12291000
1324,12282000
1325,12291000
1326,12282000
1327,10737000
1328,11602000
1329,11278000
1330,11389000
1331,12302000
1332,11614000
1333,11086000
1334,11606000
1335,11579000
1336,11627000
1337,11229000
1338,11624000
1339,12306000
1340,11644000
1341,12291000
1342,11628000
1343,11376000
1344,11625000
1345,11464000
1346,12282000
1347,13460000
1348,11241000
1349,11480000
1350,12290000
1351,11630000
1352,12282000
1353,11418000
1354,11587000
1355,11641000
1356,12291000
1357,10874000
1358,11462000
1359,12309000
1360,11054000
1361,12287000
1362,11130000
1363,10690000
1364,11627000
1365,12291000
1366,11625000
1367,13467000
1368,11223000
1369,12316000
1370,10894000
1371,12287000
1372,11583000
1373,11423000
1374,12292000
1375,11608000
1376,11373000
1377,11615000
1378,12305000
1379,11489000
1380,11597000
1381,12291000
1382,12316000
1383,11307000
1384,12295000
1385,11574000
1386,11603000
1387,13464000
1388,11336000
1389,11579000
1390,12295000
1391,11595000
1392,11625000
1393,11396000
1394,11627000
1395,11388000
1396,11561000
1397,12316000
1398,11576000
1399,11407000
1400,12290000
1401,11492000
1402,11582000
1403,12302000
1404,11582000
1405,13480000
1406,13444000
1407,13446000
1408,11311000
1409,10527000
1410,11482000
1411,11633000
1412,11619000
1413,11576000
1414,11616000
1415,12286000
1416,11633000
1417,11454000
1418,11621000
1419,11594000
1420,12309000
1421,12323000
1422,10659000
1423,12302000
1424,12303000
1425,11597000
1426,12291000
1427,13461000
1428,11238000
1429,12309000
1430,10685000
1431,12286000
1432,10617000
1433,11354000
1434,12282000
1435,11581000
1436,12282000
1437,12302000
1438,11597000
1439,11595000
1440,11059000
1441,12305000
1442,11272000
1443,12303000
1444,11620000
1445,11522000
1446,11546000
1447,12313000
1448,11149000
1449,11598000
1450,12286000
1451,11329000
1452,11579000
1453,11275000
1454,11460000
1455,11340000
1456,11381000
1457,11617000
1458,11600000
1459,11644000
1460,12286000
1461,11559000
1462,12302000
1463,11021000
1464,12282000
1465,12291000
1466,12306000
1467,13461000
1468,10928000
1469,12309000
1470,11624000
1471,12302000
1472,11067000
1473,11598000
1474,11626000
1475,11548000
1476,11576000
1477,11620000
1478,11579000
1479,11415000
1480,12295000
1481,11499000
1482,10832000
1483,11496000
