seq,latency_h2h_ns
0,186370
1,268884
2,136289
3,114576
4,96223
5,95310
6,122115
7,116026
8,112462
9,138291
10,166303
11,202001
12,195268
13,190549
14,215261
15,234383
16,484973
17,353695
18,320747
19,296020
20,307153
21,266761
22,261208
23,270230
24,269251
25,269745
26,272665
27,261748
28,284684
29,274366
30,284558
31,272757
32,279874
33,269601
34,269374
35,477590
36,327992
37,208247
38,234779
39,245823
40,257166
41,254449
42,269150
43,261813
44,262773
45,279756
46,288292
47,274125
48,293138
49,285341
50,445057
51,336487
52,321423
53,304921
54,300364
55,492563
56,478161
57,293893
58,264049
59,267134
60,198554
61,165367
62,168570
63,456077
64,288007
65,171212
66,354791
67,307858
68,288398
69,288745
70,263997
71,276850
72,268224
73,265236
74,274586
75,274429
76,255619
77,406410
78,404744
79,418571
80,145094
81,195622
82,199696
83,205697
84,221303
85,238354
86,242268
87,266698
88,262535
89,261879
90,263630
91,510490
92,308857
93,305555
94,281856
95,300946
96,426718
97,435267
98,405646
99,507326
100,425342
101,426355
102,418813
103,417373
104,422317
105,410056
106,416198
107,400481
108,266387
109,254948
110,258680
111,256488
112,254847
113,254440
114,257684
115,259215
116,257243
117,396733
118,417237
119,278208
120,306088
121,267439
122,266217
123,268453
124,307195
125,296335
126,266131
127,271937
128,270962
129,269586
130,268343
131,261558
132,269499
133,266811
134,402278
135,430476
136,425287
137,268319
138,148210
139,200971
140,192244
141,426039
142,338305
143,303284
144,266591
145,255436
146,266582
147,252515
148,268144
149,396130
150,429279
151,270022
152,265683
153,254296
154,255947
155,388928
156,264075
157,260046
158,259474
159,258621
160,393573
161,420512
162,424620
163,419039
164,417203
165,417941
166,269212
167,252679
168,254876
169,393823
170,414369
171,414266
172,265961
173,256384
174,267810
175,255352
176,399564
177,267977
178,268784
179,269138
180,143890
181,174436
182,189922
183,198725
184,219158
185,238562
186,235600
187,240209
188,256011
189,493627
190,364088
191,331159
192,302806
193,285425
194,418591
195,404594
196,396293
197,402091
198,280090
199,396448
200,265254
201,411744
202,418297
203,426684
204,427613
205,281511
206,268633
207,268195
208,273850
209,416204
210,419192
211,280402
212,280659
213,270227
214,268847
215,270427
216,272433
217,270503
218,289152
219,404751
220,274090
221,266581
222,257111
223,274388
224,271502
225,250812
226,257434
227,254839
228,253825
229,391618
230,414412
231,407162
232,320300
233,265193
234,255575
235,255717
236,405654
237,266774
238,265285
239,266334
240,256144
241,255313
242,254079
243,258619
244,255144
245,253862
246,256360
247,255444
248,256899
249,254840
250,330718
251,264752
252,268467
253,269089
254,412715
255,274641
256,263481
257,255011
258,259785
259,255587
260,258443
261,256543
262,275826
263,264460
264,268077
265,165295
266,218463
267,207946
268,219778
269,237306
270,256171
271,378718
272,318948
273,320413
274,293984
275,445198
276,442399
277,281950
278,273421
279,273551
280,843986
281,698900
282,512442
283,422734
284,348021
285,336287
286,455744
287,300844
288,278632
289,303567
290,325856
291,261262
292,262173
293,265858
294,272656
295,260646
296,413742
297,428287
298,442498
299,519129
300,447182
301,275552
302,290308
303,258797
304,274827
305,401245
306,268297
307,275501
308,265343
309,275247
310,404336
311,413937
312,258795
313,257606
314,257931
315,252951
316,251904
317,255443
318,258780
319,388777
320,426208
321,419945
322,426795
323,414565
324,419208
325,417351
326,419390
327,421370
328,417990
329,420302
330,423098
331,418815
332,268106
333,271139
334,259106
335,253586
336,392111
337,270039
338,257255
339,255884
340,256848
341,255289
342,260114
343,264172
344,254812
345,259680
346,255632
347,255787
348,254887
349,390192
350,417701
351,415960
352,253137
353,255812
354,257610
355,255306
356,397073
357,422292
358,416246
359,422154
360,413948
361,410778
362,267345
363,266589
364,269004
365,391843
366,419054
367,416606
368,413820
369,420099
370,424090
371,420213
372,424523
373,421919
374,418741
375,418113
376,267129
377,257265
378,255332
379,398739
380,253697
381,256721
382,255701
383,271800
384,273525
385,266197
386,261747
387,256815
388,256757
389,394948
390,344538
391,264513
392,288367
393,287291
394,261260
395,257991
396,404861
397,266736
398,265804
399,323570
400,259887
401,256579
402,258525
403,258291
404,257809
405,258128
406,256699
407,257974
408,257727
409,258840
410,406940
411,412191
412,420762
413,420879
414,424032
415,417231
416,417903
417,417310
418,352122
419,266410
420,253733
421,254878
422,256642
423,388482
424,265475
425,254479
426,256767
427,257223
428,313738
429,267668
430,265587
431,253000
432,392378
433,267877
434,255879
435,251366
436,260029
437,256070
438,252941
439,255397
440,255080
441,258189
442,397572
443,416610
444,421205
445,418907
446,137410
447,155626
448,274117
449,185774
450,204085
451,224329
452,459944
453,308285
454,282016
455,273820
456,271696
457,408474
458,423327
459,414880
460,414444
461,423683
462,416883
463,425921
464,424877
465,302462
466,277186
467,255221
468,251641
469,394615
470,419022
471,397261
472,424217
473,402165
474,267965
475,273079
476,257478
477,257942
478,401589
479,420741
480,419848
481,418494
482,425243
483,422554
484,419465
485,416952
486,417134
487,420375
488,420465
489,417878
490,427369
491,422517
492,431102
493,417376
494,420936
495,420357
496,422411
497,422739
498,424670
499,504885
500,424305
501,416896
502,419388
503,415888
504,426397
505,417977
506,419804
507,270267
508,274753
509,259208
510,259193
511,393274
512,444201
513,268787
514,256364
515,274436
516,874446
517,502402
518,194381
519,212553
520,225440
521,241664
522,251587
523,255248
524,485492
525,327779
526,329573
527,389676
528,424093
529,396947
530,424728
531,392718
532,275803
533,256024
534,255310
535,390075
536,418048
537,271148
538,268290
539,259886
540,261115
541,260826
542,262426
543,397699
544,397200
545,271549
546,260788
547,265293
548,260725
549,269704
550,394647
551,271157
552,257356
553,271494
554,260812
555,260746
556,275869
557,391871
558,420462
559,429811
560,424598
561,418509
562,427997
563,426835
564,428335
565,430336
566,429228
567,424402
568,428653
569,425901
570,432332
571,279092
572,270301
573,260055
574,271079
575,258982
576,264977
577,400348
578,417557
579,427155
580,267510
581,260131
582,262555
583,267312
584,256771
585,264073
586,269215
587,263389
588,265022
589,399630
590,423360
591,281903
592,271161
593,259887
594,269639
595,258636
596,208405
597,259933
598,106990
599,587518
600,291760
601,412814
602,204625
603,186270
604,174839
605,225381
606,242752
607,291631
608,294784
609,192499
610,235524
611,171861
612,191820
613,198171
614,219232
615,219911
616,235572
617,243227
618,249916
619,575911
620,355754
621,335872
622,320135
623,307293
624,186776
625,260558
626,192318
627,99792
628,110383
629,132364
630,157189
631,173264
632,313164
633,275131
634,282200
635,274132
636,266575
637,509815
638,362028
639,320343
640,306899
641,294103
642,461422
643,418866
644,437966
645,393806
646,432711
647,435442
648,448029
649,413963
650,435214
651,286564
652,272243
653,269257
654,141919
655,193123
656,205917
657,199862
658,370895
659,313036
660,292722
661,317095
662,282398
663,295318
664,277755
665,292430
666,279416
667,258916
668,270177
669,260961
670,263250
671,258157
672,399206
673,387820
674,266075
675,285769
676,257214
677,256289
678,406605
679,419519
680,266962
681,272577
682,256986
683,256404
684,252224
685,151616
686,176836
687,285559
688,208562
689,229737
690,520622
691,315554
692,289971
693,307706
694,309451
695,375095
696,407802
697,428166
698,269665
699,353135
700,278496
701,257366
702,258953
703,404370
704,430975
705,425512
706,426267
707,421715
708,427331
709,425383
710,429248
711,422462
712,416569
713,425610
714,427079
715,269020
716,257281
717,257391
718,259791
719,255831
720,256216
721,391289
722,422279
723,416729
724,419019
725,423842
726,423872
727,401371
728,269228
729,264824
730,270990
731,254486
732,256478
733,274092
734,395484
735,420272
736,423669
737,249442
738,144129
739,186159
740,190182
741,199239
742,221892
743,447996
744,314223
745,289775
746,276205
747,267909
748,307252
749,394646
750,416604
751,422851
752,422505
753,291502
754,271882
755,257128
756,255315
757,256485
758,398667
759,422204
760,415876
761,415874
762,423346
763,419688
764,419850
765,414952
766,381134
767,266139
768,267396
769,305799
770,412170
771,301996
772,276879
773,260378
774,258089
775,257850
776,401222
777,305731
778,272904
779,255885
780,255784
781,253332
782,254566
783,255429
784,395198
785,413556
786,269328
787,267236
788,257280
789,343934
790,398448
791,423136
792,275296
793,272675
794,255968
795,394013
796,425130
797,411254
798,266536
799,374976
800,258353
801,410173
802,427371
803,270046
804,268442
805,257896
806,256655
807,256634
808,393094
809,413550
810,425059
811,419617
812,422727
813,443736
814,422601
815,421825
816,425055
817,424053
818,418507
819,437750
820,397557
821,415491
822,420836
823,420118
824,395267
825,419533
826,412076
827,371430
828,268724
829,271914
830,253569
831,390378
832,419080
833,440195
834,415072
835,422430
836,417623
837,416589
838,269659
839,265534
840,254730
841,255452
842,257091
843,255394
844,253928
845,257785
846,397862
847,414676
848,417289
849,399855
850,417404
851,416126
852,416436
853,413417
854,269246
855,257067
856,256699
857,284286
858,428178
859,424329
860,389211
861,408805
862,416307
863,420981
864,255808
865,253314
866,252914
867,256595
868,254179
869,256777
870,255870
871,256147
872,406114
873,415523
874,268008
875,271385
876,256418
877,254719
878,257411
879,255429
880,390388
881,422911
882,422619
883,267985
884,255017
885,309468
886,406897
887,265712
888,264716
889,271273
890,256669
891,254846
892,393602
893,412836
894,267204
895,271251
896,259196
897,256481
898,394827
899,492604
900,276635
901,256298
902,261396
903,256511
904,395870
905,417563
906,271346
907,256220
908,254910
909,389963
910,264594
911,268303
912,271941
913,255530
914,260470
915,254996
916,254212
917,383136
918,265016
919,263494
920,268934
921,263648
922,258696
923,256203
924,258809
925,256640
926,257117
927,256304
928,255586
929,255076
930,400594
931,425311
932,420177
933,415977
934,424886
935,271699
936,255504
937,255465
938,256534
939,394870
940,418712
941,415608
942,418648
943,422268
944,414965
945,434710
946,300863
947,298172
948,256259
949,257297
950,254696
951,255781
952,396352
953,416086
954,414795
955,422466
956,268078
957,256201
958,253963
959,396892
960,414027
961,292689
962,270868
963,267283
964,254135
965,385691
966,419151
967,264749
968,254996
969,255347
970,267973
971,418489
972,412021
973,420871
974,429185
975,421889
976,415695
977,264132
978,271205
979,254897
980,257523
981,252646
982,387648
983,414863
984,265424
985,268595
986,274419
987,256772
988,388308
989,267550
990,253669
991,256696
992,257363
993,254215
994,423999
995,269221
996,267723
997,267397
998,266633
999,489332
1000,406121
1001,417969
1002,422387
1003,416272
1004,422520
1005,420626
1006,426977
1007,258793
1008,256283
1009,255430
1010,256717
1011,256618
1012,256425
1013,257834
1014,416617
1015,414315
1016,422810
1017,417043
1018,268716
1019,285889
1020,288672
1021,253564
1022,257384
1023,255386
1024,258210
1025,254218
1026,404554
1027,418924
1028,413328
1029,414164
1030,421395
1031,424904
1032,270103
1033,259851
1034,288775
1035,421287
1036,404168
1037,138039
1038,158595
1039,180064
1040,201719
1041,222085
1042,506588
1043,288393
1044,311363
1045,300139
1046,293753
1047,305321
1048,282564
1049,270197
1050,269165
1051,261916
1052,401648
1053,274012
1054,273477
1055,258436
1056,390723
1057,415693
1058,417676
1059,417644
1060,420194
1061,404087
1062,418357
1063,413999
1064,269311
1065,136380
1066,167749
1067,168028
1068,196469
1069,211055
1070,227084
1071,245697
1072,342683
1073,287592
1074,326274
1075,344166
1076,417360
1077,267737
1078,267824
1079,716052
1080,287573
1081,291889
1082,268958
1083,255695
1084,416496
1085,420761
1086,268297
1087,257255
1088,251661
1089,255747
1090,262550
1091,258047
1092,254103
1093,256690
1094,258820
1095,254831
1096,395582
1097,417656
1098,428037
1099,320344
1100,259829
1101,252599
1102,256148
1103,398516
1104,424714
1105,288276
1106,257498
1107,257322
1108,259716
1109,258473
1110,259483
1111,392801
1112,417392
1113,418275
1114,419423
1115,419838
1116,403865
1117,269707
1118,267851
1119,255067
1120,390538
1121,417682
1122,421485
1123,419448
1124,420995
1125,270772
1126,286829
1127,270183
1128,254676
1129,259351
1130,257143
1131,254648
1132,257674
1133,256055
1134,389354
1135,267969
1136,255445
1137,256779
1138,257156
1139,254504
1140,256523
1141,391697
1142,420851
1143,424061
1144,425422
1145,391519
1146,267730
1147,266447
1148,274038
1149,256069
1150,388807
1151,427814
1152,416113
1153,414786
1154,417088
1155,257432
1156,252460
1157,254082
1158,283954
1159,418595
1160,455019
1161,445983
1162,445904
1163,431711
1164,448652
1165,450801
1166,432588
1167,407137
1168,420731
1169,415584
1170,415110
1171,414617
1172,419909
1173,392853
1174,420223
1175,257432
1176,266320
1177,253002
1178,254011
1179,255924
1180,255014
1181,255459
1182,256528
1183,394067
1184,134684
1185,162086
1186,274106
1187,187148
1188,313990
1189,290743
1190,281292
1191,276063
1192,409265
1193,423680
1194,419002
1195,421970
1196,426454
1197,413603
1198,266112
1199,341207
1200,255899
1201,255394
1202,257609
1203,255024
1204,255028
1205,255632
1206,387704
1207,418918
1208,417652
1209,418845
1210,274387
1211,267867
1212,257191
1213,256870
1214,389301
1215,419675
1216,418822
1217,303012
1218,271378
1219,273623
1220,257356
1221,255621
1222,255314
1223,255688
1224,397051
1225,447042
1226,421219
1227,418017
1228,419973
1229,426514
1230,428546
1231,419864
1232,417883
1233,268223
1234,275633
1235,254699
1236,253783
1237,255777
1238,254529
1239,390553
1240,427723
1241,453601
1242,467587
1243,294441
1244,287167
1245,291821
1246,293469
1247,274795
1248,257707
1249,255600
1250,259238
1251,259235
1252,394468
1253,270333
1254,268228
1255,257893
1256,258050
1257,388725
1258,415466
1259,421244
1260,419380
1261,418257
1262,427111
1263,415502
1264,423106
1265,437141
1266,415905
1267,419732
1268,422630
1269,423393
1270,423284
1271,414682
1272,416044
1273,415710
1274,331560
1275,139180
1276,154672
1277,178533
1278,200497
1279,357353
1280,284243
1281,276410
1282,270455
1283,418309
1284,399315
1285,174465
1286,196720
1287,323711
1288,307715
1289,295607
1290,288097
1291,277320
1292,432443
1293,431255
1294,346070
1295,279814
1296,273810
1297,256513
1298,393967
1299,321454
1300,259364
1301,256370
1302,256712
1303,253532
1304,393433
1305,418070
1306,424866
1307,296694
1308,296286
1309,256472
1310,255657
1311,256532
1312,255794
1313,256314
1314,404630
1315,424557
1316,427069
1317,266802
1318,142261
1319,163896
1320,186786
1321,211965
1322,226894
1323,236383
1324,244793
1325,429140
1326,312582
1327,316488
1328,285123
1329,293126
1330,270883
1331,262376
1332,258401
1333,253246
1334,399886
1335,426892
1336,421009
1337,323637
1338,152174
1339,197102
1340,297514
1341,309539
1342,280020
1343,271503
1344,264038
1345,255502
1346,258777
1347,271931
1348,403319
1349,427301
1350,420301
1351,418656
1352,419215
1353,438451
1354,430317
1355,450767
1356,424812
1357,424234
1358,416864
1359,412472
1360,408227
1361,265947
1362,259357
1363,259011
1364,423076
1365,447410
1366,416505
1367,433528
1368,450392
1369,440115
1370,297036
1371,289309
1372,743617
1373,514150
1374,507244
1375,486368
1376,350243
1377,301090
1378,302711
1379,301408
1380,263454
1381,275793
1382,288870
1383,280657
1384,272939
1385,271052
1386,393698
1387,356326
1388,340233
1389,308547
1390,292677
1391,462476
1392,432209
1393,254966
1394,259292
1395,262382
1396,262043
1397,259068
1398,257591
1399,327486
1400,390616
1401,266057
1402,270410
1403,257259
1404,257949
1405,254000
1406,259041
1407,254642
1408,253680
1409,254523
1410,256568
1411,257014
1412,393858
1413,423133
1414,417945
1415,416193
1416,266080
1417,272764
1418,139782
1419,165975
1420,186014
1421,206106
1422,233102
1423,247914
1424,489643
1425,319397
1426,301960
1427,294819
1428,283878
1429,256808
1430,279848
1431,393451
1432,417883
1433,419604
1434,425781
1435,270045
1436,256294
1437,252923
1438,257056
1439,255923
1440,259498
1441,401482
1442,425620
1443,416921
1444,419901
1445,415466
1446,421906
1447,267963
1448,259852
1449,257423
1450,255354
1451,257860
1452,392261
1453,285435
1454,152695
1455,178444
1456,200383
1457,219756
1458,367470
1459,335608
1460,326815
1461,304801
1462,294110
1463,506041
1464,354361
1465,280277
1466,340544
1467,278436
1468,273334
1469,277833
1470,256120
1471,398537
1472,268849
1473,255809
1474,257964
1475,255429
1476,254969
1477,255561
1478,264690
1479,393380
1480,415093
1481,413104
1482,416693
1483,417165
1484,417959
1485,414424
1486,269930
1487,257395
1488,254211
1489,256621
1490,259688
1491,252703
1492,257243
1493,259064
1494,257118
1495,255140
1496,389907
1497,414976
1498,268471
1499,352606
1500,260625
1501,256151
1502,258311
1503,258718
1504,390859
1505,267262
1506,256336
1507,256544
1508,258770
1509,255254
1510,391684
1511,424411
1512,267839
1513,257344
1514,254594
1515,256160
1516,255318
1517,257531
1518,256171
1519,255917
1520,259413
1521,390071
1522,407312
1523,421552
1524,416326
1525,418040
1526,416360
1527,271930
1528,270409
1529,258587
1530,397631
1531,410970
1532,424346
1533,393208
1534,415717
1535,268029
1536,283417
1537,267381
1538,275351
